trade_date,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2022-01-04,0.34856717164693085,-0.11135027569840977,-0.3839229400313767,0.20445624843519236,0.0,0.18106827646026086,0.0,0.0,0.0,0.17402883210562667,0.0,0.09187947135198925,-0.2701980774454415,0.0,-0.08464706151290277,0.0,-0.1498816453118693
2022-01-05,0.21535599791023816,0.19460316650371967,0.0,-0.041767335458186346,-0.38334891497184953,-0.0881672725375292,0.0,0.23749596671336956,-0.37189552996189523,0.0,0.0,0.0,-0.11482094707053961,0.08952376157148065,0.0,0.26302110730119194,0.0
2022-01-06,0.0,-0.05524249402424268,0.0,-0.15125905942961904,0.0,0.10796760414333992,0.2702256524368849,-0.17604450849086367,0.0,-0.3673996837419567,0.14926248739741063,0.0,0.23349504476279412,0.0,0.0,0.2390492112595705,-0.250054254313318
2022-01-07,-0.07978471135151516,0.0,0.21559811355823918,-0.28083429342547395,-0.24042374003165726,0.0,0.0,0.20262546510137106,-0.255947258065863,0.0,-0.14300999712549067,0.0,0.0,0.12414641776249723,0.0,0.3456264697423505,0.1120035338355421
2022-01-11,0.0,0.0633023428162463,0.3750064008188622,-0.14548725454733974,-0.11799777358273021,0.0,0.0,0.05549672562990039,0.30390506059801853,-0.16021054596592127,0.2022894701369726,0.0,0.0,-0.4183347109748098,0.0,0.0,-0.15796971492919892
2022-01-12,-0.1309663176901752,0.0,-0.19748532359320536,-0.39152230706138896,0.3476299455337993,0.0,0.0932038028576097,0.0,-0.13151039908561757,0.19259119610477962,0.0,0.0,0.0,-0.14851565256961294,0.1312372675732706,0.23533778793054083,0.0
2022-01-13,0.2874856320034717,-0.24962511647816002,0.0,-0.11437994307510943,-0.2676055083945678,0.0,-0.1886220074165545,0.0,0.0,0.0,0.0,0.04515588124800808,-0.17976742463560832,0.18451901880895757,0.3533071629463117,0.0,0.1295323049932509
2022-01-14,0.09923246338751991,0.0,0.3021053581850276,-0.1730517861206438,-0.18089027551118256,0.0,0.0,0.3185557770482451,-0.24048812923761878,0.0,0.0,-0.25930084003934245,0.0,0.0,0.11421518366864832,-0.1462689690912124,0.1658912177105591
2022-01-17,0.0,0.19672365888589444,0.0,-0.2718512613409538,0.0,0.36848499587622047,0.07495934857765453,0.0,0.0,-0.18416900309044792,-0.1349645840004307,0.0,-0.14673227240268677,0.18496031616397499,0.17487168049625557,0.0,-0.2622828791654808
2022-01-19,0.0,-0.29147887587360094,0.2757829011938694,-0.27019678723522333,-0.10016118803738303,0.13580167483238748,0.28205422494162646,0.0,0.0,-0.20902541897437066,0.0,0.0,0.0,0.0,0.2060010828632537,-0.12913772987942224,0.10036011616886306
2022-01-20,0.16425611388026898,0.27146472081855644,0.0,-0.3865963694952478,0.0,0.0,-0.12056264100649162,0.0,-0.18194568772537983,0.21086939432611504,0.0,-0.16296129673682888,0.0,0.0,0.13243173285423235,0.2209780381208273,-0.1479340050360519
2022-01-21,-0.18952357125208952,0.3779218909774787,-0.08784250588366223,0.1412640276840409,0.0,0.15569990662752442,-0.2780457908861345,0.0,0.0,0.0,0.18945839672028897,0.0,-0.07931223774268284,-0.365275894235431,0.0,0.13565577799066708,0.0
