trade_date,daily_return,long_ret,short_ret,sigma_s,dispersion_indicator,scale,signal_mode,gap_open_coef,dispersion_metric,signal_mean,signal_std,gross_exposure,turnover,weight_concentration,active_count,gap_mean,gap_std,gross_return,slippage_cost
2015-01-05,-0.016338858983040102,-2.1414326630987474e-05,0.0036825553435908855,0.16784412901671844,0.453463859956866,1.0,gap_residual,0.7,long_short_mean_gap,0.13165511871082683,0.5229621630739618,2.0,2.0,1.0963325479778194,10,-0.06393228465248552,0.2335425618781203,0.0036611410169598976,0.02
2015-01-06,-0.03737644061288339,-0.010667828799275424,0.009899320035385052,0.1925118681679571,0.01684118725474091,1.0,gap_residual,0.7,long_short_mean_gap,-0.00038257042949332035,0.007173332282147917,2.0,3.660793184899301,0.6955575428749672,10,-0.013665513314613494,0.005768261697736933,-0.0007685087638903756,0.03660793184899301
2015-01-07,-0.012785220306477342,0.01412703345264502,-0.0058699480478018925,0.17770530961893752,0.01543926924029302,1.0,gap_residual,0.7,long_short_mean_gap,0.0015895956802217147,0.007541114005630363,2.0,2.104230571132047,0.7606380090681172,10,-0.009147449392195734,0.006176018681816839,0.008257085404843127,0.02104230571132047
2015-01-08,-0.0080765971252691,0.004182099231041016,0.005127381759413043,0.13625447730731166,0.01800093398654796,1.0,gap_residual,0.7,long_short_mean_gap,-0.0022066404109783544,0.008703939012036248,2.0,1.738607811572316,0.7221525515490014,10,0.008447606922118172,0.006056900136553291,0.00930948099045406,0.01738607811572316
2015-01-09,-0.026923497124221808,-0.0002770217116861466,0.007680589267746354,0.10849990813319947,0.016808012447409437,1.0,gap_residual,0.7,long_short_mean_gap,0.00045747908472357375,0.008422323674161293,2.0,3.4327064680282016,0.753090978283522,10,0.0055852323218165655,0.009880034735331942,0.007403567556060208,0.034327064680282016
2015-01-13,-0.0275488890084854,0.004171508355616637,0.004507110895787491,0.09184296001643302,0.0115193354765315,1.0,gap_residual,0.7,long_short_mean_gap,1.3195013840358757e-05,0.004711272290644622,2.0,3.6227508259889527,0.6417357368072468,10,-0.010350265264493634,0.004057544798475028,0.008678619251404125,0.036227508259889525
2015-01-14,-0.019282208694774483,0.0015790876931608365,0.008688441025845659,0.15232073448878808,0.029157452644004888,1.0,gap_residual,0.7,long_short_mean_gap,-0.00569539679415497,0.01725149252791332,2.0,2.954973741378098,0.8792108969338567,10,-0.002231936756802516,0.009291614120718165,0.010267528719006496,0.029549737413780978
2015-01-15,-0.02455558657909042,0.005791570859779486,-0.002898788713782372,0.1629838501579089,0.008954258715406204,1.0,gap_residual,0.7,long_short_mean_gap,-0.0008824927546411333,0.0038742926293544883,2.0,2.744836872508753,0.6906771467018049,10,0.003337900738508514,0.006286902238553326,0.0028927821459971137,0.027448368725087532
2015-01-16,-0.03700237973194214,8.404921961590857e-05,-0.0042223205835561625,0.1827996460457284,0.0254023709958068,1.0,gap_residual,0.7,long_short_mean_gap,-0.003148528843439779,0.010945777761192332,2.0,3.2864108368001888,0.6789599105043197,10,-0.011637916817890268,0.006026453708444618,-0.0041382713639402545,0.03286410836800189
2015-01-19,-0.04140225417420122,-0.0020788319673339267,0.0006765777931327056,0.10097435016380883,0.016873093824936604,1.0,gap_residual,0.7,long_short_mean_gap,-0.003548383501349888,0.0074735629523016885,2.0,4.0,0.7141917060276411,10,0.014047709539003401,0.009712579998356997,-0.0014022541742012213,0.04
2015-01-21,-0.034339133341161225,-0.0037466345545107763,0.007263000667314529,0.11007997342001724,0.008953693789933714,1.0,gap_residual,0.7,long_short_mean_gap,-0.0023657076863914904,0.0041954654947150396,1.9999999999999998,3.7855499453964976,0.7276806167434013,10,0.0005170965975046124,0.005106043046618503,0.003516366112803753,0.03785549945396498
2015-01-22,-0.030353009917954865,-0.0030939608350511617,0.0035245810111950394,0.08029668631274575,0.012139044956705435,1.0,gap_residual,0.7,long_short_mean_gap,0.0011997925864415588,0.005217950892273013,2.0,3.078363009409874,0.6658467314689805,10,0.0005544746627014404,0.00573665077041171,0.0004306201761438775,0.030783630094098742
2015-01-23,-0.021413259138757364,0.0019231683363819321,0.002820225352371168,0.1646608613229438,0.01749990099632277,1.0,gap_residual,0.7,long_short_mean_gap,-0.0032220568942001935,0.0082890654558476,2.0,2.615665282751046,0.7632008693700266,10,0.013136832866502704,0.0071512232139071315,0.0047433936887531,0.026156652827510462
2015-01-26,-0.01882414655355362,0.0072030319928373205,-0.006612500357795147,0.12886176300839602,0.02267505129977847,1.0,gap_residual,0.7,long_short_mean_gap,-0.0015564964318832827,0.011591399235463222,1.9999999999999998,1.9414678188595793,0.8104103067088057,10,-0.008793692436849961,0.0077132886562269135,0.0005905316350421732,0.019414678188595793
2015-01-27,-0.026226571964272524,0.011041596274140909,-0.0015893826808025932,0.08847753833322172,0.015938131055317318,1.0,gap_residual,0.7,long_short_mean_gap,0.0011232127454111095,0.00782381106700744,2.0,3.5678785557610837,0.7710958299082911,10,0.009033977312019381,0.010241842570194374,0.009452213593338313,0.03567878555761084
2015-01-28,-0.02888221284937639,0.00926427563431555,-0.002468288669995927,0.23261781244815166,0.017184680204383553,1.0,gap_residual,0.7,long_short_mean_gap,-0.004337353917644815,0.007759860776711097,1.9999999999999998,3.5678199813696017,0.7039170858294509,10,-6.0429195383280546e-05,0.005818677643339718,0.0067959869643196245,0.035678199813696014
2015-01-29,-0.02290910067600517,0.0011127009063863346,0.00010634522720817592,0.17853978412825197,0.020020681088757163,1.0,gap_residual,0.7,long_short_mean_gap,-0.003633086188727257,0.011591989898484615,2.0,2.412814680959968,0.836685363756872,10,-0.004917743938218069,0.007181856225795564,0.0012190461335945106,0.024128146809599682
2015-01-30,-0.029680468061848018,-0.0013195711596720296,-0.0016610127524378042,0.0792706575092811,0.015606536621649547,1.0,gap_residual,0.7,long_short_mean_gap,0.0016634370459665177,0.00814144955834472,2.0,2.6699884149738184,0.7868064731558374,10,0.004215044945492891,0.006191556696019626,-0.0029805839121098336,0.026699884149738184
