ticker,open_price,signal,weight,action,etf_amount,quantity
1617.T,45200.0,0.0023193600697413164,0.18904147608151,BUY,180800.0,4
1618.T,33600.0,0.0025031185967065994,0.197114654017324,BUY,168000.0,5
1619.T,48800.0,-0.002522704731328318,0.0,HOLD,0.0,0
1620.T,38860.0,-0.0002268935339624356,0.0,HOLD,0.0,0
1621.T,29970.0,-0.009925026957613325,-0.3260505228835802,SELL,269730.0,9
1622.T,34200.0,0.00021126477810939903,0.0,HOLD,0.0,0
1623.T,70900.0,0.004294709342219871,0.27582572726955396,BUY,212700.0,3
1624.T,86930.0,-0.0002958734008837727,0.0,HOLD,0.0,0
1625.T,65710.0,-0.009826828073209004,-0.32201881566384943,SELL,262840.0,4
1626.T,43980.0,-0.004784581152623701,-0.1150015624974327,SELL,87960.0,2
1627.T,11595.0,-0.004822772320636548,-0.11656956002348778,SELL,104355.0,9
1628.T,20580.0,-0.0019835282669541376,0.0,HOLD,0.0,0
1629.T,270.0,-0.004915083512995966,-0.12035953893164984,SELL,108000.0,400
1630.T,36610.0,-0.003221195950516509,0.0,HOLD,0.0,0
1631.T,35100.0,0.00033339429463641324,0.10179080346435469,BUY,70200.0,2
1632.T,38980.0,0.003393386278894628,0.2362273391672573,BUY,194900.0,5
1633.T,50500.0,-0.002727356947047954,0.0,HOLD,0.0,0
