trade_date,linear_return,corrected_return,net_linear,net_corrected
2020-01-06,-0.0072829415348890265,-0.0072829415348890265,-0.009282941534889027,-0.009282941534889027
2020-01-07,0.004456178559305326,0.004456178559305326,0.002456178559305326,0.002456178559305326
2020-01-08,0.010006232829933326,0.01010603704809267,0.008006232829933325,0.00810603704809267
2020-01-09,0.014479618350936843,0.014479618350936843,0.012479618350936843,0.012479618350936843
2020-01-10,0.003735915701160728,0.0037704652987179056,0.0017359157011607278,0.0017704652987179056
2020-01-14,1.6558541305044096e-05,-3.580102969863501e-05,-0.001983441458694956,-0.002035801029698635
2020-01-15,0.0035323241163752444,0.0036254337297577603,0.0015323241163752443,0.0016254337297577602
2020-01-16,0.009236416907635875,0.009236416907635875,0.007236416907635875,0.007236416907635875
2020-01-17,0.01540988979518888,0.015474113459176781,0.01340988979518888,0.013474113459176781
2020-01-20,0.001517418519336669,0.001517418519336669,-0.0004825814806633311,-0.0004825814806633311
2020-01-22,0.003280165002357359,0.0033726053273140395,0.0012801650023573589,0.0013726053273140394
2020-01-23,0.00016509132094321495,0.0002478872195012735,-0.001834908679056785,-0.0017521127804987265
2020-01-24,-0.0026405844892397534,-0.0026970831056915144,-0.004640584489239753,-0.004697083105691514
2020-01-27,0.0071940146264953195,0.007427482404691273,0.0051940146264953194,0.005427482404691273
2020-01-28,0.004854085195144817,0.005044289206194752,0.002854085195144817,0.0030442892061947517
2020-01-29,-0.0010892250275908923,-0.0010394603450803739,-0.0030892250275908924,-0.003039460345080374
2020-01-30,0.00420901979123073,0.004377139561520116,0.00220901979123073,0.0023771395615201163
2020-01-31,0.004759312958658255,0.004802547237457535,0.002759312958658255,0.0028025472374575353
2020-02-03,0.010744894072602896,0.0108860951703201,0.008744894072602896,0.0088860951703201
2020-02-04,0.005735917668254669,0.005651669719811658,0.0037359176682546687,0.003651669719811658
2020-02-05,0.006746175540743459,0.006746175540743459,0.004746175540743459,0.004746175540743459
2020-02-06,0.018098709075162242,0.018217074280176198,0.01609870907516224,0.0162170742801762
2020-02-07,0.0003393056432720394,-0.00032090589152622916,-0.0016606943567279606,-0.0023209058915262294
2020-02-10,-0.004050742354808231,-0.004058573607708836,-0.006050742354808231,-0.006058573607708836
2020-02-12,-0.0012752119897211681,-0.0013102381853024906,-0.003275211989721168,-0.0033102381853024904
2020-02-13,0.003517039141737749,0.0035802265218999765,0.0015170391417377491,0.0015802265218999765
2020-02-14,0.0025176393816563267,0.0024883683231199734,0.0005176393816563266,0.0004883683231199734
2020-02-17,0.0062459184371371585,0.0062459184371371585,0.0042459184371371585,0.0042459184371371585
2020-02-19,0.01976001867539014,0.019835976036543992,0.017760018675390142,0.017835976036543993
2020-02-20,0.001004191680940734,0.000906141435680042,-0.0009958083190592661,-0.001093858564319958
2020-02-21,0.01302983955975287,0.013036295267974451,0.01102983955975287,0.011036295267974451
2020-02-25,0.008125801096319817,0.008179523207533616,0.006125801096319817,0.006179523207533616
2020-02-26,0.004425047537651873,0.0043669375277060885,0.002425047537651873,0.0023669375277060884
2020-02-27,0.010174427445395949,0.010160937929800749,0.008174427445395949,0.008160937929800749
2020-02-28,0.0057503018187396535,0.005505665420884137,0.0037503018187396535,0.0035056654208841373
2020-03-02,0.0004759360520059765,0.0004759360520059765,-0.0015240639479940235,-0.0015240639479940235
2020-03-03,-0.0020837598884129497,-0.0020837598884129553,-0.00408375988841295,-0.004083759888412955
2020-03-04,0.005232123871170748,0.0052321238711707475,0.0032321238711707483,0.0032321238711707475
2020-03-05,0.004438955342227505,0.0043653861479323606,0.0024389553422275046,0.0023653861479323605
2020-03-06,0.026379746533977046,0.02604138315311464,0.024379746533977044,0.02404138315311464
2020-03-09,0.039889565194531684,0.039889565194531684,0.03788956519453168,0.03788956519453168
2020-03-10,0.003858056821433686,0.0033680326881592735,0.0018580568214336861,0.0013680326881592734
2020-03-11,-0.005380364481376664,-0.005380364481376662,-0.007380364481376664,-0.007380364481376662
2020-03-12,0.025844325278958517,0.026201288135759435,0.023844325278958516,0.024201288135759433
2020-03-13,0.04199900125014884,0.04199900125014884,0.03999900125014884,0.03999900125014884
