trade_date,linear_return,corrected_return
2016-12-05,0.0070806456136498636,0.007077578902817993
2016-12-06,0.01151226708117254,0.01156940393520818
2016-12-07,0.020379216034161943,0.020460485958452127
2016-12-08,0.005607639210595206,0.005461520307765213
2016-12-09,0.01314934818839534,0.013624347759140431
2016-12-12,0.012660286119234587,0.012771424767385948
2016-12-13,0.008696818441086033,0.00878794100582495
2016-12-14,0.005851271918232783,0.005914238983454714
2016-12-15,-0.0008707891001888746,-0.000692781776212107
2016-12-16,0.004945121129022983,0.004932453464551546
2016-12-19,0.01733365408398866,0.01733219233515687
2016-12-20,0.0018793724194394457,0.0018929412216018046
2016-12-21,0.0008031546680246232,0.000927733710890055
2016-12-22,0.0013488947585958777,0.0013151704759866358
2016-12-26,0.0077040236130243205,0.0077040236130243205
2016-12-28,0.009223377368684036,0.00948155451929802
2016-12-29,0.006673415852443694,0.006906661232913002
2016-12-30,-0.004540036623216686,-0.004583190179441481
2017-01-04,0.020447241185856477,0.020450588263823677
2017-01-05,0.00862125495716951,0.008712088440516078
2017-01-06,0.009257614346255251,0.009258961823283774
2017-01-10,0.0032408752217259274,0.0032408752217259274
2017-01-11,0.009836828592950504,0.00994942619805653
2017-01-12,0.01162641942152266,0.01177589968981167
2017-01-13,0.004502174181931579,0.004604538362578642
2017-01-16,0.008576954594427016,0.008676822620517347
2017-01-18,-9.611829728892857e-05,0.0001812193810719722
2017-01-19,0.004449865531828909,0.004429953838969708
2017-01-20,0.0073219802196538165,0.0073219802196538165
2017-01-23,-8.997217661589087e-05,-8.740956844571367e-05
2017-01-24,0.000193347731405716,0.0002513084058578882
2017-01-25,0.010160980313601815,0.010160980313601815
2017-01-26,0.005375809440931219,0.005375960336023602
2017-01-27,0.003967770611066358,0.003967770611066358
2017-01-30,0.00448012262079224,0.004369749398513771
2017-01-31,0.01038258068481493,0.010345254527140425
2017-02-01,0.01436254875503105,0.01436254875503105
2017-02-02,0.007170684507459759,0.007196497561170839
2017-02-03,0.009645436922628932,0.00975404168789412
2017-02-06,0.016887312560590593,0.01715104499090225
2017-02-07,-0.0032296950378634696,-0.0031690044345509503
2017-02-08,0.018042494346611877,0.018042494346611877
