,AR,RISK,R/R,Sharpe,MDD,Total Return,avg_turnover,avg_cost,avg_gross_exp
baseline,0.989123203970384,0.2716311206618509,3.641420767842456,3.641420767842457,-0.1141396565614744,39618.39878432345,1.583632275005005,0.002,2.0
approach1_c0_cross,0.9470512806582926,0.2743565080436841,3.4519001842212518,3.4519001842212518,-0.12511355960794535,25134.76339355267,1.5807569429712838,0.0020000000000000005,2.0
approach2_v0_ext,0.8871799343048827,0.271232192593997,3.270924169509951,3.270924169509951,-0.1435868099552936,13317.467573992471,1.5821692841614134,0.0020000000000000005,2.0
approach3_tikhonov,0.989123203970384,0.2716311206618509,3.641420767842456,3.641420767842457,-0.1141396565614744,39618.39878432345,1.583632275005005,0.002,2.0
approach4_rrr,0.9102581060639986,0.26376191477389643,3.4510596681264447,3.4510596681264447,-0.11501906729159395,17431.474618223438,1.5780243757069252,0.002,2.0
approach5_c0_tikhonov,0.9470512806582926,0.2743565080436841,3.4519001842212518,3.4519001842212518,-0.12511355960794535,25134.76339355267,1.5807569429712838,0.0020000000000000005,2.0
approach6_continuous,0.9938942369738073,0.2725194377229739,3.647058152175324,3.6470581521753243,-0.10549257490563357,41601.828681450635,1.5835720131854834,0.0020000000000000005,2.0
