trade_date,baseline,direction_A,sigma_yy_E,dir_A+sigE,disabled
2015-01-05,0.0019128339500226654,-0.010554290724910221,0.002746614154292555,-0.011057893429809123,0.002485582433442826
2015-01-06,-0.007285946457648483,-0.006912461467686363,-0.010096470885296258,-0.005835016244785237,-0.004926387823461763
2015-01-07,0.005540445330634216,0.008633788621599484,0.003967131173065399,0.007561353674385366,0.007976225276563985
2015-01-08,0.013663267443035634,0.01383340108407876,0.0128550665364888,0.012922923106513075,0.013823538357028613
2015-01-09,0.007197310262713764,0.006766578610901459,0.007505653850179204,0.007842504525311628,0.007311148147668419
2015-01-13,0.012740125638127032,-0.012201908920592157,0.012930403643861048,-0.013161876217436223,0.009716577660080767
2015-01-14,0.008125336923789951,0.007105730167169854,0.008674198186041995,0.007548941335156148,0.007249045621554204
2015-01-15,-0.0020278820896209287,-0.005925918462214131,0.0005028670887942544,-0.006209844086755498,-0.001769602060504478
2015-01-16,0.0016222689398980715,0.0015286283025193216,0.0025159668024869715,0.0023788572891429143,0.0016072445336275218
2015-01-19,0.004185252889006043,0.0036845519182273755,0.004157836292435571,0.0036274323544784027,0.003678157391980801
2015-01-21,0.0049998378256341965,-3.695761378331736e-05,0.006606349608894852,0.0015459007697874807,0.004846633678638072
2015-01-22,0.007840622219071548,-0.008153896957469644,0.006332934135947976,-0.009541741662023269,0.008664338562184562
2015-01-23,-0.0007969162107779545,-0.0037053404571344654,-0.0014046926423614456,-0.004960701652465019,0.00020595879352115418
2015-01-26,0.015143600833944074,0.015090076682335996,0.015539656874575425,0.015410434879524619,0.015364851602261712
2015-01-27,0.004474577833786077,0.0039386423929778265,0.00622740635732264,0.005734395595015897,0.0039472093111998785
2015-01-28,-0.00499746059718543,0.002158694517819926,-0.005333930023635155,0.003582220520603435,-0.005474096568042756
2015-01-29,0.0028036699948368543,0.002810993121806252,0.0029211260113299,0.002811819919019923,0.003061503674279196
2015-01-30,-0.0022476483732595588,-0.0016802834960768895,-0.0026747753233199115,-0.0036212832202380256,-0.0016791834686919933
2015-02-02,0.009307138238848984,0.009152757524789239,0.008485173952641055,0.009052259022276857,0.009214077726024748
2015-02-03,0.024036304521236562,0.0255621667902523,0.024504529586727018,0.027903598969455417,0.0255671357113054
2015-02-04,0.010273389321707375,-0.013382400600201932,0.010402640087469982,-0.013320588580504587,0.00916364205548887
2015-02-05,0.007341309409137249,0.006334777000905104,0.009356017579522237,0.008303258210292982,0.006717055642157541
2015-02-06,0.0041253907785039935,0.005406776926993718,0.0030081259684353167,0.006580730752431598,0.0054077761111275225
2015-02-09,0.0021590955234123757,0.0047601115505332406,0.0004117974338145227,0.004581778651727014,0.0047601115505332406
2015-02-10,0.0022497974316827976,0.001791630785770829,0.0024943533205408416,0.0022651566997342583,0.001383350476489738
2015-02-12,-0.000998830807417974,-3.47294030216183e-05,-0.00036744076973999735,0.0003655309260829089,-0.0002574312943607912
2015-02-13,0.01632238571355764,0.01272168890181324,0.019897412082398352,0.016987330968581186,0.013631079362593279
2015-02-16,0.0042668084132716656,0.0038302562890803952,0.004533265000485076,0.004030030216499529,0.004796649749288206
2015-02-18,0.008257082207931445,0.005033634433015041,0.008078240524486226,0.005742055840977602,0.0060003058721792586
2015-02-19,0.0022386100835429584,-0.002265250545789897,0.003756545739964744,-0.0022535205142942038,0.0009497034249712766
2015-02-20,0.002300032525726893,0.00013622551089974354,0.0014324760972313103,-0.0006514763666284845,0.002441792235732114
2015-02-23,0.0052798427179560296,0.005792459738786282,0.0067897498111784286,0.008011141511169061,0.0054146131233419785
2015-02-24,0.009747389731898062,0.009541111408816827,0.009803457945129188,0.009599539116355882,0.00972979205707054
2015-02-25,0.020334572794365992,0.020580422715287983,0.022714286486692027,0.02376396575354332,0.02077007734359879
2015-02-26,0.006332147322670222,-0.00656042055901242,0.006930058304563754,-0.008100810185331469,0.005337163430329902
