trade_date,raw_pca,residual_pca,raw_blpx,residual_blpx
2019-10-30,0.3266518686460296,0.1252573544695701,0.3204708956095589,0.22761988127484145
2019-10-31,0.3229958874565083,0.1268307866065145,0.3260639600119167,0.2241093659250606
2019-11-01,0.3243504961525894,0.1254971065044065,0.32202844942607334,0.22812394791693086
2019-11-05,0.3240302963869992,0.12549487485774963,0.3232025007629099,0.22727232799234132
2019-11-06,0.32520158117748177,0.1250422500316015,0.3225949108386585,0.22716125795225825
2019-11-07,0.3263868380982252,0.12429169083203945,0.32359919705574247,0.22572227401399297
2019-11-08,0.3260350045519708,0.12435194980927432,0.3242684735519178,0.22534457208683709
2019-11-11,0.32311999213993003,0.12629289263282742,0.32705016906921236,0.22353694615803016
2019-11-12,0.32317820721909374,0.12596964252342516,0.32696921143443,0.22388293882305113
2019-11-13,0.3215615707904914,0.12769525696860518,0.32879610324685793,0.22194706899404562
2019-11-14,0.3220531383634811,0.12802406656271614,0.32828718218772596,0.22163561288607675
2019-11-15,0.3169840497530102,0.13004139451809585,0.3324703010235384,0.22050425470535562
2019-11-18,0.3187278962070636,0.12871069576816416,0.33088743295757006,0.22167397506720207
2019-11-19,0.3166783600935651,0.12987523572554555,0.3331445553259698,0.22030184885491957
2019-11-20,0.3166151352683512,0.13006133450221471,0.33321978544150244,0.22010374478793154
2019-11-21,0.32222112839239464,0.12405037472679502,0.32313856002143987,0.23058993685937051
2019-11-22,0.3217508282158762,0.12427244417239558,0.3232806826760309,0.23069604493569734
2019-11-25,0.3229610860993533,0.12464091059095928,0.32503078285081705,0.22736722045887034
2019-11-26,0.3228531572289342,0.12445667861959775,0.3260007272740398,0.22668943687742835
2019-11-27,0.32151223331794077,0.12534512857130273,0.3277370951246895,0.22540554298606702
2019-11-28,0.3234754200239269,0.12607666954983401,0.3270944072524455,0.22335350317379365
2019-12-02,0.32059236825803755,0.12696240293592004,0.3293545751306511,0.22309065367539138
2019-12-03,0.32201831324006913,0.12831964028001086,0.32860000250352117,0.2210620439763988
2019-12-04,0.3229094614697071,0.12818396842316712,0.32778631262925856,0.2211202574778672
2019-12-05,0.3196802646767328,0.13223846406522985,0.33083424189401794,0.21724702936401954
2019-12-06,0.32149846799664766,0.1299006106655154,0.3287462381417035,0.21985468319613347
2019-12-09,0.3228186260143878,0.1288854338896066,0.3275006058631392,0.22079533423286632
2019-12-10,0.3232715999375314,0.12843355426204184,0.3269946598196534,0.2213001859807734
2019-12-11,0.3256541533286265,0.12484599596353038,0.31916065682589867,0.23033919388194438
2019-12-12,0.3266744415001066,0.12486252661175366,0.32252742081082986,0.22593561107730997
2019-12-13,0.3209717422631956,0.12987646438529524,0.328533053970746,0.22061873938076335
2019-12-16,0.32283389096640225,0.12863706123911917,0.32700118713782433,0.22152786065665428
2019-12-17,0.32218633829010135,0.13026934419403943,0.3278123972021873,0.21973192031367195
2019-12-18,0.3191813217730695,0.13333162865519213,0.3311529558824552,0.21633409368928316
2019-12-19,0.3190328859819377,0.13319857240992725,0.3312999888451699,0.2164685527629651
2019-12-20,0.3033516375483657,0.14210483295634851,0.3448217720957537,0.20972175739953205
2019-12-23,0.3090351213437975,0.13527923613593365,0.33907743051912964,0.2166082120011391
2019-12-24,0.3103104247279821,0.13463236468383616,0.3376532558137394,0.21740395477444235
2019-12-25,0.30955314766471903,0.1353090236676532,0.3382590737174882,0.2168787549501395
2019-12-27,0.3102231827725347,0.13191251951127186,0.3313960396299398,0.22646825808625362
2019-12-30,0.3115282586820342,0.1316977736919191,0.32917345840429924,0.22760050922174738
2020-01-06,0.30334823907438113,0.13556882135224232,0.3382261587465433,0.22285678082683327
2020-01-07,0.31611428799376784,0.1293341943273296,0.3308726685468491,0.22367884913205346
2020-01-08,0.3125626287732992,0.1303887222805677,0.33395308501567683,0.22309556393045615
2020-01-09,0.3120301598197044,0.12982942559677893,0.33018565335061234,0.2279547612329043
2020-01-10,0.31170281964033203,0.12969040185561395,0.3296624754771017,0.22894430302695226
2020-01-14,0.3173716609413511,0.12824139309544189,0.32106034961666075,0.23332659634654618
2020-01-15,0.31768732237679015,0.1277482369067764,0.3140366747363978,0.24052776598003558
2020-01-16,0.31812742705183567,0.12820488719915202,0.31801980490670295,0.23564788084230948
2020-01-17,0.3214034016108601,0.12677158080337111,0.3155611983035425,0.23626381928222612
2020-01-20,0.3211387683784191,0.12671180657173625,0.31589787756851045,0.23625154748133415
2020-01-22,0.31953291506626746,0.12755801317219811,0.3237220030334314,0.22918706872810313
2020-01-23,0.31826508489229927,0.12738797558332224,0.32730366925272775,0.2270432702716507
2020-01-24,0.3269837846565269,0.123724739970891,0.31965334754595764,0.22963812782662454
2020-01-27,0.32429312866972,0.12367341948248589,0.32571790300629255,0.22631554884150168
2020-01-28,0.3242027429614767,0.12390064731441969,0.32536068038357535,0.2265359293405282
2020-01-29,0.3188818949514205,0.1261460378224195,0.3306132637811206,0.22435880344503933
2020-01-30,0.31687488959639504,0.1278800553925709,0.3325137623387801,0.22273129267225383
2020-01-31,0.314218687201784,0.13513031966263506,0.3362965874400854,0.21435440569549552
2020-02-03,0.31396199101447286,0.13617458699301205,0.33685336967837953,0.2130100523141355
2020-02-04,0.3154092254678,0.13611659338464396,0.335519424981116,0.21295475616644005
2020-02-05,0.32112445310086046,0.13409365264731166,0.33076584852615826,0.21401604572566973
2020-02-06,0.32156075070761314,0.1349357526353597,0.33031883992187044,0.2131846567351567
2020-02-07,0.3208947848278371,0.13633663930002304,0.3310894435688831,0.21167913230325688
2020-02-10,0.3204915818694553,0.13749364108626724,0.33156322442123687,0.21045155262304063
2020-02-12,0.3252265243623037,0.13424704845119448,0.3273865472052429,0.21313987998125894
2020-02-13,0.3259863149808309,0.13360623139490826,0.32654413244680436,0.21386332117745638
2020-02-14,0.3243991333523281,0.13493760696478604,0.328184588888007,0.2124786707948789
2020-02-17,0.32620524024151665,0.13110734967218993,0.32611805690033707,0.21656935318595633
2020-02-19,0.32906330877768003,0.12366517520977863,0.32280193238649346,0.22446958362604805
2020-02-20,0.33141873608628847,0.12130752543855478,0.32084917972866417,0.2264245587464926
2020-02-21,0.3327867438087075,0.1207835140025048,0.31975854445369123,0.22667119773509642
2020-02-25,0.3332309441455676,0.12107350930685465,0.31941207564257895,0.22628347090499884
2020-02-26,0.33209086715951386,0.12501023788866664,0.32114753631356857,0.2217513586382508
2020-02-27,0.3343719729229772,0.12423901633443432,0.3192537418543202,0.2221352688882683
2020-02-28,0.33501107019022347,0.1239263731324726,0.31867047885991656,0.22239207781738737
2020-03-02,0.343871950521864,0.11551394326917575,0.3079515203557431,0.23266258585321728
2020-03-03,0.34098008804100804,0.11792210201137637,0.3122401303520202,0.2288576795955954
2020-03-04,0.34004951697778035,0.11951029948388195,0.3135846969154152,0.22685548662292251
