ticker,open_price,signal,weight,action,etf_amount,quantity
1617.T,45240.0,-0.002606820244453023,-0.11796124924952126,SELL,90480.0,2
1618.T,32850.0,-0.005616895316292947,-0.23937549943270137,SELL,197100.0,6
1619.T,48480.0,-0.0012727463687591811,0.0,HOLD,0.0,0
1620.T,39180.0,0.002259092252666184,0.07139258061421029,BUY,39180.0,1
1621.T,29090.0,-0.003019176762288134,-0.1345940428597132,SELL,116360.0,4
1622.T,33310.0,0.0033973885993208164,0.11325108205006042,BUY,99930.0,3
1623.T,71750.0,0.0040907490848922645,0.13874798447459222,BUY,143500.0,2
1624.T,85380.0,0.001818901351840596,0.0,HOLD,0.0,0
1625.T,66450.0,0.013415330652430502,0.48164024805832556,BUY,398700.0,6
1626.T,46000.0,0.005619594012037377,0.19496810480281151,BUY,138000.0,3
1627.T,11280.0,-0.006084456772917246,-0.25823503692453365,SELL,225600.0,20
1628.T,20240.0,-0.0017263615121347886,0.0,HOLD,0.0,0
1629.T,262.6,-0.0007549799954930103,0.0,HOLD,0.0,0
1630.T,36430.0,0.0003176487966469743,0.0,HOLD,0.0,0
1631.T,34990.0,0.0011855369359599077,0.0,HOLD,0.0,0
1632.T,39160.0,0.0008592333245540651,0.0,HOLD,0.0,0
1633.T,50020.0,-0.005876184387614947,-0.24983417153353057,SELL,200080.0,4
