feature,importance
ticker,95
abs_score,56
topix_night,51
gap_idio,46
jp_vix_z_x_score_x_gap_idio,31
vix_spread_z_x_score,31
vix_spread_z_x_score_x_gap,28
jp_vix_z,28
abs_gap,24
jp_vix_z_x_score_x_gap,22
market_vol_20d,19
us_vix_z,15
vix_spread_z_x_gap,14
jp_vix_z_x_score,13
us_vix_z_x_score_x_gap_idio,12
jp_vix_z_x_gap,11
us_vix_z_x_score,11
sigma_gap,11
us_vix_z_x_score_x_gap,9
us_vix_z_x_gap,8
vix_spread_z_x_score_x_gap_idio,7
vix_spread_z,7
ticker_1619.T_gap_idio,0
ticker_1632.T_score,0
ticker_1631.T_score_x_gap_idio,0
ticker_1631.T_score_x_gap,0
ticker_1631.T_gap_idio,0
ticker_1631.T_gap,0
ticker_1631.T_score,0
ticker_1630.T_score_x_gap_idio,0
ticker_1630.T_score_x_gap,0
ticker_1630.T_gap_idio,0
ticker_1632.T_gap_idio,0
ticker_1630.T_gap,0
ticker_1630.T_score,0
ticker_1629.T_score_x_gap_idio,0
ticker_1629.T_score_x_gap,0
ticker_1629.T_gap_idio,0
ticker_1629.T_gap,0
ticker_1629.T_score,0
ticker_1628.T_score_x_gap_idio,0
ticker_1632.T_gap,0
ticker_1632.T_score_x_gap_idio,0
ticker_1632.T_score_x_gap,0
ticker_1618.T_gap_idio,0
ticker_1617.T_score,0
ticker_1617.T_gap,0
ticker_1617.T_gap_idio,0
ticker_1617.T_score_x_gap,0
ticker_1617.T_score_x_gap_idio,0
ticker_1618.T_score,0
ticker_1618.T_gap,0
ticker_1618.T_score_x_gap,0
ticker_1628.T_gap_idio,0
ticker_1618.T_score_x_gap_idio,0
ticker_1619.T_score,0
ticker_1633.T_score_x_gap_idio,0
ticker_1633.T_score_x_gap,0
ticker_1633.T_gap_idio,0
ticker_1633.T_gap,0
ticker_1633.T_score,0
ticker_1628.T_score_x_gap,0
ticker_1628.T_gap,0
ticker_1619.T_score_x_gap,0
ticker_1628.T_score,0
ticker_1623.T_gap_idio,0
ticker_1623.T_gap,0
ticker_1623.T_score,0
ticker_1622.T_score_x_gap_idio,0
ticker_1622.T_score_x_gap,0
ticker_1622.T_gap_idio,0
ticker_1622.T_gap,0
ticker_1622.T_score,0
ticker_1621.T_score_x_gap_idio,0
ticker_1621.T_score_x_gap,0
ticker_1621.T_gap_idio,0
ticker_1621.T_gap,0
ticker_1621.T_score,0
ticker_1620.T_score_x_gap_idio,0
ticker_1620.T_score_x_gap,0
ticker_1620.T_gap_idio,0
ticker_1620.T_gap,0
ticker_1620.T_score,0
ticker_1619.T_score_x_gap_idio,0
ticker_1623.T_score_x_gap,0
ticker_1623.T_score_x_gap_idio,0
ticker_1624.T_score,0
ticker_1626.T_gap,0
ticker_1627.T_score_x_gap_idio,0
ticker_1627.T_score_x_gap,0
ticker_1627.T_gap_idio,0
ticker_1627.T_gap,0
ticker_1627.T_score,0
ticker_1626.T_score_x_gap_idio,0
ticker_1626.T_score_x_gap,0
ticker_1619.T_gap,0
ticker_1626.T_score,0
ticker_1624.T_gap,0
ticker_1625.T_score_x_gap_idio,0
ticker_1625.T_score_x_gap,0
ticker_1625.T_gap_idio,0
ticker_1625.T_gap,0
ticker_1625.T_score,0
ticker_1624.T_score_x_gap_idio,0
ticker_1624.T_score_x_gap,0
ticker_1624.T_gap_idio,0
ticker_1626.T_gap_idio,0
