feature,mean,std,pct_nonzero,pct_nan
int_macro_beta_hinge_pos_us10y_change_k1_0_beta120,1.4807655461579125e-05,0.00028360331664321355,0.1378118618168316,0.06058009511160618
int_macro_beta_hinge_pos_us10y_change_k1_0_beta252,2.7498929039429534e-05,0.00042917818618836155,0.1344129785927481,0.08739985433357611
int_macro_beta_hinge_pos_usd_jpy_return_k1_0_beta120,1.1039122027804868e-06,2.665413913279461e-05,0.12691544206903446,0.06058009511160618
int_macro_beta_hinge_pos_usd_jpy_return_k1_0_beta252,2.8122627677494995e-06,4.024516600892557e-05,0.1237736172400497,0.08739985433357611
int_macro_beta_hinge_pos_vix_return_k1_0_beta120,-1.4831944964163114e-05,0.000549823650723338,0.11543350042129015,0.06058009511160618
int_macro_beta_hinge_pos_vix_return_k1_0_beta252,-3.537286186609371e-05,0.0008467921942555137,0.11247732887765448,0.08739985433357611
int_macro_beta_hinge_pos_nikkei_futures_return_k1_0_beta120,1.4918132581327685e-06,7.028507518653393e-05,0.12314525227425274,0.06058009511160618
int_macro_beta_hinge_pos_nikkei_futures_return_k1_0_beta252,6.54149975095577e-06,0.00011793637315616806,0.11856104422832497,0.08739985433357611
int_macro_beta_hinge_pos_topix_futures_return_k1_0_beta120,-9.785031284985178e-07,4.270724852434658e-05,0.13235651143195806,0.06058009511160618
int_macro_beta_hinge_pos_topix_futures_return_k1_0_beta252,-2.300674611172602e-06,5.7758600803426146e-05,0.12741527783728204,0.08739985433357611
int_macro_beta_hinge_neg_us10y_change_k1_0_beta120,1.2359698847782718e-05,0.00024887126364884425,0.1330705625294546,0.06058009511160618
int_macro_beta_hinge_neg_us10y_change_k1_0_beta252,2.9886351976521654e-05,0.00039149339245122665,0.12854347857132656,0.08739985433357611
int_macro_beta_hinge_neg_usd_jpy_return_k1_0_beta120,6.214175772800726e-07,3.08777827671458e-05,0.12227410993530698,0.06058009511160618
int_macro_beta_hinge_neg_usd_jpy_return_k1_0_beta252,1.842572058535177e-06,4.0619774396730604e-05,0.11858960627222484,0.08739985433357611
int_macro_beta_hinge_neg_vix_return_k1_0_beta120,-6.948315579323832e-06,0.00034070632671158197,0.10536537994658898,0.06058009511160618
int_macro_beta_hinge_neg_vix_return_k1_0_beta252,-1.2271788841370062e-05,0.0005205201786731553,0.10222355511760421,0.08739985433357611
int_macro_beta_hinge_neg_nikkei_futures_return_k1_0_beta120,7.5951183826712045e-06,0.00031764112845188207,0.1256301500935407,0.06058009511160618
int_macro_beta_hinge_neg_nikkei_futures_return_k1_0_beta252,1.2000724186510667e-05,0.0004496914156015739,0.12090313182811362,0.08739985433357611
int_macro_beta_hinge_neg_topix_futures_return_k1_0_beta120,-7.810752883373437e-07,4.8612599119528777e-05,0.12343087271325136,0.06058009511160618
int_macro_beta_hinge_neg_topix_futures_return_k1_0_beta252,-2.352607868787462e-06,6.728945357114477e-05,0.11981777415991889,0.08739985433357611
int_sector_static_hinge_pos_us_tech_return_k1_0,0.004836468698977333,0.04950487004094537,0.057238335975322394,0.043699927166788055
int_sector_beta_hinge_pos_us_tech_return_k1_0_beta120,-8.129888016608943e-07,8.426333031031109e-05,0.12003198948916785,0.06058009511160618
int_sector_beta_hinge_pos_us_tech_return_k1_0_beta252,-2.325584243978978e-06,0.00012688803791980144,0.1170329748796824,0.08739985433357611
int_sector_static_hinge_pos_us_semiconductor_return_k1_0,0.003997524839288851,0.037527140443103436,0.06237950387729746,0.043699927166788055
int_sector_beta_hinge_pos_us_semiconductor_return_k1_0_beta120,-1.97194790527545e-06,0.00011604656271618007,0.13054282164431688,0.06058009511160618
int_sector_beta_hinge_pos_us_semiconductor_return_k1_0_beta252,-5.663192494558393e-06,0.00017346568566864627,0.12741527783728204,0.08739985433357611
int_sector_static_hinge_pos_us_energy_return_k1_0,0.002899015576214873,0.023586671252138362,0.06009454036530854,0.043699927166788055
int_sector_beta_hinge_pos_us_energy_return_k1_0_beta120,4.786392588472154e-06,0.00010147503660704824,0.12608714279593847,0.06058009511160618
