feature,mean_within_date_std,p10_within_date_std,p50_within_date_std,p90_within_date_std,nonzero_date_ratio,use_for_model
int_macro_beta_hinge_neg_topix_futures_return_k1_5_beta252,6.324871087415992e-06,0.0,0.0,0.0,0.062564632885212,False
int_macro_beta_hinge_pos_us10y_change_k2_0_beta120,1.0870504423526694e-05,0.0,0.0,0.0,0.029956841838029956,False
int_macro_beta_hinge_pos_us10y_change_k2_0_beta252,1.691229342829679e-05,0.0,0.0,0.0,0.030506721820062047,False
int_macro_beta_hinge_pos_usd_jpy_return_k2_0_beta120,1.0828430542227774e-06,0.0,0.0,0.0,0.027925869510027925,False
int_macro_beta_hinge_pos_usd_jpy_return_k2_0_beta252,1.6106577862157533e-06,0.0,0.0,0.0,0.02766287487073423,False
int_macro_beta_hinge_pos_vix_return_k2_0_beta120,3.317899198874509e-05,0.0,0.0,0.0,0.03858847423203859,False
int_macro_beta_hinge_pos_vix_return_k2_0_beta252,5.2159722991243296e-05,0.0,0.0,0.0,0.037745604963805586,False
int_macro_beta_hinge_pos_nikkei_futures_return_k2_0_beta120,2.58801910858303e-06,0.0,0.0,0.0,0.02234069560802234,False
int_macro_beta_hinge_pos_nikkei_futures_return_k2_0_beta252,3.873694418485737e-06,0.0,0.0,0.0,0.022233712512926575,False
int_macro_beta_hinge_pos_topix_futures_return_k2_0_beta120,1.7696460206947064e-06,0.0,0.0,0.0,0.023356181772023355,False
int_macro_beta_hinge_pos_topix_futures_return_k2_0_beta252,2.4925721977194625e-06,0.0,0.0,0.0,0.02249224405377456,False
int_macro_beta_hinge_neg_us10y_change_k2_0_beta120,8.904776845580082e-06,0.0,0.0,0.0,0.02767199796902767,False
int_macro_beta_hinge_neg_us10y_change_k2_0_beta252,1.440995403594866e-05,0.0,0.0,0.0,0.028179937952430196,False
int_macro_beta_hinge_neg_usd_jpy_return_k2_0_beta120,1.3405593969928395e-06,0.0,0.0,0.0,0.030464584920030464,False
int_macro_beta_hinge_neg_usd_jpy_return_k2_0_beta252,1.863433885409706e-06,0.0,0.0,0.0,0.02998965873836608,False
