pit_rolling_window,label,period,days,valid_days,fallback_days,fallback_rate_pct,sharpe,cagr_pct,annualized_return_pct,annualized_volatility_pct,max_drawdown_pct,avg_turnover,avg_gross_exposure,avg_multiplier,low_count,medium_count,high_count
63,w63,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.628246126340811,436.49840088538537,171.00329529037276,22.41711822851228,-6.788144634376048,1.3357442521192395,1.8273963730569949,0.9136981865284974,533,519,492
126,w126,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.669842247229199,447.04082480310376,172.99276450542257,22.554931239676776,-6.788144634376025,1.3435426886822373,1.8380829015544042,0.9190414507772021,500,571,473
189,w189,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.676467035549636,449.20215509936634,173.39718780665976,22.588149861604208,-6.788144634376025,1.3492062745823767,1.846502590673575,0.9232512953367875,474,618,452
252,w252,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.667875390823231,453.7375234971031,174.2556363314711,22.725413162036638,-6.960486843307634,1.3576875200773544,1.8591321243523315,0.9295660621761658,435,674,435
378,w378,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.669606161863462,456.9369152889201,174.85228821200727,22.79807913494269,-6.960486843307634,1.3722682580404129,1.8795336787564767,0.9397668393782384,372,760,412
504,w504,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.668687335134147,458.52997868944635,175.1494703051612,22.83956336343413,-6.918342395650945,1.3800148378362485,1.8911917098445596,0.9455958549222798,336,856,352
756,w756,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.671039189247053,465.1842908142178,176.37638740608804,22.9925024569455,-6.918342395650945,1.4003816599307801,1.9213082901554404,0.9606541450777202,243,999,302
1008,w1008,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.659878397135573,467.3696883330313,176.7851480822448,23.079367441179482,-7.169976588860216,1.4249503821013432,1.9562823834196892,0.9781411917098446,135,1181,228
