oos_rank,is_sharpe_best,oos_sharpe_best
2,10.163257190491125,6.8656586125491605
23,10.227497513414095,6.794878980528877
21,9.764240041172647,7.1609711283649675
16,10.193003005807205,6.9896698175360505
16,9.737371231664783,7.292140861086777
5,9.874246739737586,7.166955159846118
12,9.897232137177799,7.142154651964938
21,9.431085494411704,7.317299940554579
22,10.04739496489994,6.854128824187064
14,10.210419156317712,6.758532309950485
4,9.776855246562766,7.107984733316619
15,10.16542779820193,6.846512803170646
14,9.728105793412672,7.162055004092474
9,9.883743154425229,7.01457187131196
15,9.895419561671668,6.98729228939053
17,9.496514336006353,7.256297828389662
24,10.116693359609132,6.671015127201926
21,9.799076279975909,7.073834739552132
13,10.223023054881303,6.926494978564854
9,9.7608531114967,7.246997882460381
24,9.913431604789832,6.9414450045972025
14,9.934653707335134,7.067235327673535
11,9.483959115530192,7.323722638758755
23,10.132217341446053,6.735946801627669
4,9.747899380424274,7.268216855447785
4,9.326364397319656,7.5862042799780465
6,9.484271143335135,7.409672880661876
2,9.500530719819357,7.420039634863071
3,9.086015220070097,7.695889429448883
23,9.706202093601826,7.078756840550281
17,9.727671438814458,7.2944748927299266
13,9.86288562583067,7.15821954858236
6,9.884166651193823,7.16092679005704
24,9.428517149522259,7.3036146275187575
23,10.01494412418537,6.8709433960547
3,9.433952567119285,7.494076646469024
2,9.460663483823298,7.491956120048689
3,9.022672733934023,7.773162054134781
22,9.623647051111549,7.180614442040637
1,9.60988893181146,7.331301143600749
3,9.187582615236215,7.598974680569085
24,9.826666312577178,6.975974506324344
5,9.239840758586238,7.588611547520863
23,9.80785305061287,6.996258103515055
24,9.41249355850654,7.290972929263758
10,11.009264150002835,6.155749161860142
5,10.567238359622268,6.473514864561502
2,10.98043956675959,6.263482677832617
3,10.525872734677119,6.567034996826458
8,10.67943034109301,6.382147205896077
19,10.691790956145024,6.345673341667442
4,10.226167083751488,6.627839334354858
23,10.84787363935173,6.060858488969389
22,10.622200229704019,6.451095820360742
6,11.064493431789108,6.345776632125141
15,10.569645197426624,6.615984776500317
23,10.713938905717661,6.341954415375627
20,10.771313887882789,6.424914101522782
22,10.253522477195988,6.582867699801557
21,10.88462106930966,6.142946293846018
5,10.57704120285746,6.65680486286563
5,10.124207911760433,6.960427756408178
5,10.275813862791432,6.779343504235784
8,10.307382710942393,6.763666147402909
22,9.826145300410026,6.927616211452787
22,10.430200197990793,6.471842630847146
18,10.572100090154061,6.695269279091545
5,10.69332867848747,6.568433438781153
17,10.733130079521583,6.526262551271123
23,10.201642522192747,6.6702660811344145
4,10.795000455599334,6.332782828228309
6,10.236806002318898,6.870626594174535
15,10.279101350867059,6.8433162139558075
4,9.770397055148434,7.115892863155653
4,10.355935366327358,6.643320398414444
14,10.424872485151049,6.679157497059545
7,9.930840753006896,6.93593441555866
22,10.557617504080701,6.372450747358065
17,9.996993639427215,6.8950022967391655
18,10.600713548439595,6.421536694833252
3,10.101570399896191,6.731468802282289
7,10.588708899765013,6.392724947021742
17,11.024184110946932,6.1470309155940575
11,10.557943376694084,6.467190146417322
20,10.709179593471685,6.252391791604213
20,10.731247197040304,6.265108697649391
18,10.280187374931378,6.5175965880350155
24,10.934425026259557,5.93473435859656
3,10.551568517138223,6.484305061135093
3,10.126015866482456,6.801437910961288
12,10.285516716394527,6.618479094163565
5,10.292970715546282,6.62160494624752
4,9.879543246740502,6.89514272714005
24,10.500672479313325,6.279860767847603
15,10.515748461415066,6.558066964100366
7,10.663621626045089,6.392878612373604
19,10.678261254988056,6.365495957273116
17,10.221067398813549,6.611875359034154
23,10.814943947100405,6.076717586880835
9,10.234654853721759,6.708543113776326
12,10.251920185112064,6.698730250127185
16,9.823255241291038,6.944261754895072
