trade_date,rolling_250d_sortino,expanding_sortino
2016-01-26,95.14840532145377,95.1007528727342
2016-01-27,95.78559175262205,95.5556313597103
2016-01-28,95.76016192062697,95.683705508038
2016-01-29,95.58248746967148,95.68690264108112
2016-02-01,95.38721388794646,95.59479724777054
2016-02-02,95.88619827415489,96.27397531198422
2016-02-03,95.84871046614222,96.45290626458421
2016-02-04,96.22004366018031,96.78580160265072
2016-02-05,98.39602399338521,97.3195608708728
2016-02-08,100.06125076985968,98.51878117446621
2016-02-09,101.82744365092177,100.14552636138998
2016-02-10,103.26367590739488,101.35883801405745
2016-02-12,104.70187992767804,102.70210612494438
2016-02-15,106.78649064530926,104.51514487086634
2016-02-17,106.91379205778149,104.7897074528552
2016-02-18,107.16208847127768,105.04439282584228
2016-02-19,107.52748497129592,105.23942411765864
2016-02-22,108.38425768283969,105.42742454529096
2016-02-23,108.72494167387325,105.75015267293266
2016-02-24,108.36679818011366,105.83662863125511
2016-02-25,108.38871593941359,106.23296611773304
2016-02-26,108.82375114447257,106.53094248103925
2016-02-29,109.9067062704207,107.47217576718147
2016-03-01,109.88942611908637,107.48268538807704
2016-03-02,111.90453135462879,108.30207968250534
2016-03-03,93.77515141625491,91.42512509617112
2016-03-04,93.77134080580907,91.42721479112033
2016-03-07,93.79653813474798,91.57622765119389
2016-03-08,94.2352525088571,91.87996941286649
2016-03-09,94.14933986778136,91.85582447529202
2016-03-10,94.30800538675442,91.95822715651569
2016-03-11,94.29343603304389,91.91463887998954
2016-03-14,94.8883996359876,92.4601431687057
2016-03-15,94.73080841770096,92.65474501002537
2016-03-16,94.73914138874444,92.76330601846371
2016-03-17,95.34088356394273,93.23752052343879
2016-03-18,95.64607594515616,93.44571386711581
2016-03-22,95.5930024585582,93.49417775861504
2016-03-23,95.85295459515929,93.56051423180878
2016-03-24,96.19038022404035,93.75063959215126
2016-03-25,96.31226341122223,93.90712357040842
2016-03-29,96.43476270116261,94.19439415560632
2016-03-30,96.49924107454497,94.21487732716335
2016-03-31,96.40438013828181,94.14543865638795
2016-04-01,97.25652947107933,94.95568821792301
2016-04-04,97.67426784748545,95.3018432527804
2016-04-05,102.09305590118873,95.6866321556916
2016-04-06,101.9525906273339,95.69110296832932
2016-04-07,101.95223317452856,95.73396133300105
2016-04-08,102.15700277099675,96.12556341798124
2016-04-11,102.41158731293874,96.36459597195721
2016-04-12,102.8478462329748,96.8608950756628
2016-04-13,103.02761331357465,97.07835649694536
2016-04-14,103.74667068043165,97.61773514574821
2016-04-15,103.81361778914403,97.85273520026699
2016-04-18,103.63834113152308,98.01543487632787
2016-04-19,103.38867203957884,97.87341113941451
2016-04-20,103.82027070934704,98.38083042378017
2016-04-21,103.96659564997347,98.44608705556689
2016-04-22,103.41534512391571,98.37640850089916
2016-04-25,103.507035069747,98.42134343684404
2016-04-26,103.62470706694155,98.51877125405102
2016-04-27,103.81596506096939,98.61214029791955
2016-04-28,104.46157463233601,99.17570300829706
2016-05-02,105.2644860894559,99.88293494264353
2016-05-06,105.30848597563532,99.93773104940334
2016-05-09,105.6125813723221,100.19979969912308
2016-05-10,105.76802389695571,100.30647034385221
2016-05-11,105.88556480359674,100.57309955411633
2016-05-12,106.39854472630796,100.95411979184647
2016-05-13,106.34964242115966,101.15641568331107
2016-05-16,106.39001878717995,101.14438989401597
2016-05-17,109.9867878384001,101.30413087476292
2016-05-18,110.6019592087981,101.80066692154514
2016-05-19,110.663133290179,101.77064339456415
2016-05-20,113.66546329830705,101.80656989565054
2016-05-23,113.61643362837198,101.90876486238385
2016-05-24,113.06042014523351,101.8644501590836
2016-05-25,114.4826506028186,102.00512724597284
2016-05-26,114.61347519477401,101.98416398588712
2016-05-27,114.40269237730503,102.19334984909213
2016-05-30,114.07861950177129,102.25741862086153
2016-06-01,114.4107043013121,102.39880609849318
2016-06-02,115.32544303047369,102.52005180829272
2016-06-03,115.42795628859766,102.47178804449747
2016-06-06,115.32078470718419,102.59707613481805
2016-06-07,114.84051067250705,102.5811188504036
2016-06-08,115.00459047124173,102.68466377537332
2016-06-09,114.78109087270468,102.60944236399105
2016-06-10,114.93474817122048,102.59621408785901
2016-06-13,115.95517016926034,103.27916562114731
2016-06-14,116.28446690434758,103.5625690639829
2016-06-15,118.34347429546936,103.6250915925765
2016-06-16,115.92330949061297,102.50172804677598
2016-06-17,116.39430626396245,102.75220005941223
2016-06-20,116.83136354731606,103.04571522337174
2016-06-21,117.0827063492106,103.19836844966251
2016-06-22,116.59842279564661,102.96080448573639
2016-06-23,117.19901605116661,103.43271860921367
2016-06-24,122.90183243942136,105.27860493825736
2016-06-27,123.42251706175279,105.73150410851571
2016-06-28,123.7570723755184,106.26472419334092
2016-06-29,124.15832355856035,106.59747536272307
2016-06-30,123.86864308736858,106.77192624022088
2016-07-01,124.65783677365442,107.20697541810073
2016-07-04,124.77186927607252,107.39696335212255
2016-07-06,125.10352115220006,107.73378670546427
2016-07-07,125.57657366690957,107.97975220309331
2016-07-08,126.452243772724,108.72332281678489
2016-07-11,126.43372511889434,109.0948526893014
2016-07-12,126.81570727552844,109.28825268913658
2016-07-13,126.48471666353375,109.24027989475852
2016-07-14,126.2227018437817,109.11365086831823
2016-07-15,126.16406405053526,109.19128566827322
2016-07-19,126.30179864251235,109.39560920289337
2016-07-20,121.90271072094681,107.2066478629417
2016-07-21,121.77132198976673,107.19527125539008
