trade_date,daily_return,long_ret,short_ret,sigma_s,dispersion_indicator,scale,signal_mode,gap_open_coef,dispersion_metric,signal_mean,signal_std,weight_concentration,active_count,gap_mean,gap_std
2015-01-05,0.0035676313907697004,-2.17545152235601e-05,0.00358938590599326,0.17413487237933184,0.4535573569110738,1.0,gap_residual,0.7,long_short_mean_gap,0.13166386064096905,0.5229648336405359,1.0973980187201087,10,-0.06393228465248552,0.2335425618781203
2015-01-06,0.00022909286358570357,-0.010584762664431912,0.010813855528017615,0.18149630124909144,0.01682130390304708,1.0,gap_residual,0.7,long_short_mean_gap,-0.0004491523667993475,0.007080384079081592,0.6887413687810361,10,-0.013665513314613494,0.005768261697736933
2015-01-07,0.008631755630031593,0.014827539028914871,-0.006195783398883279,0.14586801673409172,0.014649527932542771,1.0,gap_residual,0.7,long_short_mean_gap,0.0017492141559402824,0.007089091711072456,0.7438254086447235,10,-0.009147449392195734,0.006176018681816839
2015-01-08,0.009296012614504884,0.00418030692945291,0.005115705685051973,0.11572848727069485,0.018455538960234864,1.0,gap_residual,0.7,long_short_mean_gap,-0.0022738329715749073,0.009087123717509919,0.7297576904790376,10,0.008447606922118172,0.006056900136553291
2015-01-09,0.0073158923934519456,-0.00039654438362240655,0.0077124367770743515,0.10373461633281589,0.016029286373263063,1.0,gap_residual,0.7,long_short_mean_gap,0.00023075285963234643,0.008022323628895347,0.7505671426480203,10,0.0055852323218165655,0.009880034735331942
2015-01-13,0.009458338054231756,0.003927476668527099,0.005530861385704656,0.0830889936968232,0.011812816508537893,1.0,gap_residual,0.7,long_short_mean_gap,-0.0001247369635820486,0.004937627687101962,0.6587289720714197,10,-0.010350265264493634,0.004057544798475028
2015-01-14,0.010249832861136114,0.0015942939873700023,0.008655538873766112,0.1480798236836505,0.028899470270020378,1.0,gap_residual,0.7,long_short_mean_gap,-0.005624347191765176,0.01698182849732819,0.8752564384244228,10,-0.002231936756802516,0.009291614120718165
2015-01-15,0.003932594497242247,0.006712266934340131,-0.0027796724370978848,0.16739047193087775,0.009101208442534304,1.0,gap_residual,0.7,long_short_mean_gap,-0.0009321131711513439,0.003940261819664223,0.6962038607311304,10,0.003337900738508514,0.006286902238553326
2015-01-16,-0.003993240574779762,4.9945346538970666e-05,-0.004043185921318733,0.1850591486816504,0.02498807279036508,1.0,gap_residual,0.7,long_short_mean_gap,-0.003012870955957141,0.010603728483262607,0.6703722794525672,10,-0.011637916817890268,0.006026453708444618
2015-01-19,-0.0014439917657009483,-0.0021025437906518436,0.0006585520249508953,0.10039426394354521,0.016357110636956086,1.0,gap_residual,0.7,long_short_mean_gap,-0.0036255214388473908,0.0073433112835578065,0.7236021961643061,10,0.014047709539003401,0.009712579998356997
2015-01-21,0.002883107853743557,-0.003839045637552814,0.0067221534912963714,0.08907012490084815,0.009298824802102623,1.0,gap_residual,0.7,long_short_mean_gap,-0.002505246977495134,0.004188453821984244,0.7010579350931168,10,0.0005170965975046124,0.005106043046618503
2015-01-22,0.000573624783032511,-0.0030306456116626543,0.003604270394695165,0.06599243336021769,0.010939764486036152,1.0,gap_residual,0.7,long_short_mean_gap,0.0013233239318574184,0.0045975371932143955,0.6500224097903095,10,0.0005544746627014404,0.00573665077041171
2015-01-23,0.003974690064894558,0.0015124294672728949,0.002462260597621663,0.21445681207777703,0.01970517289356648,1.0,gap_residual,0.7,long_short_mean_gap,-0.003379565892785946,0.009335590089468914,0.7695101776180227,10,0.013136832866502704,0.0071512232139071315
