month,monthly_return
2015-01,0.07069054619271053
2015-02,0.11758428736155935
2015-03,0.14779388206328314
2015-04,0.12359359130501302
2015-05,0.11114893908700751
2015-06,0.21818524851018428
2015-07,0.22331451978399985
2015-08,0.2998101262361288
2015-09,0.35684648285810194
2015-10,0.1829212584661306
2015-11,0.1917347654674657
2015-12,0.23430822441416654
2016-01,0.399392380630599
2016-02,0.47924067022495076
2016-03,0.21284399716103208
2016-04,0.3027362513246743
2016-05,0.21631316621561125
2016-06,0.3511687630954867
2016-07,0.17862497581466363
2016-08,0.23736104886626186
2016-09,0.14676651978116007
2016-10,0.10483118007876913
2016-11,0.2137747081394219
2016-12,0.14692839453608575
2017-01,0.1336276647892507
2017-02,0.17169584615088707
2017-03,0.1261660237337534
2017-04,0.08419622583165065
2017-05,0.05400597200495705
2017-06,0.09980836239014379
2017-07,0.05221882458877336
2017-08,0.013619685232845402
2017-09,0.0744571526011526
2017-10,0.09539139295449162
2017-11,0.20151682266868254
2017-12,0.08843244580567622
2018-01,0.0985779667682467
2018-02,0.13580417083890506
2018-03,0.06863556585278885
2018-04,0.04357172625418393
2018-05,0.08529668232439347
2018-06,0.07081109805412433
2018-07,0.020059815613462595
2018-08,0.013207814614596858
2018-09,0.039407909696528076
2018-10,0.08979686478296123
2018-11,0.01327414666490001
2018-12,0.09387591330530265
2019-01,0.03354892174353519
2019-02,-0.008840624232963612
2019-03,0.024135326672729995
2019-04,0.07365439592878409
2019-05,0.08292583661428354
2019-06,0.07555736045110173
2019-07,0.09033845895938208
2019-08,0.15813752307611084
2019-09,0.0681494124089781
2019-10,0.07948776258875734
2019-11,0.09280421263437755
2019-12,0.11710069109128929
2020-01,0.07787940795170067
2020-02,0.11919694988294238
2020-03,0.22802511872293407
2020-04,0.12759812207485255
2020-05,0.13759537911335507
2020-06,0.23654242479231558
2020-07,0.1586144113579726
2020-08,0.1723886757003421
2020-09,0.08882575448045449
2020-10,0.1364156365315694
2020-11,0.08139639103693153
2020-12,0.13024721938740114
2021-01,0.17338483354989243
2021-02,0.008921988399119174
2021-03,0.1759152290772361
2021-04,0.12151367227865384
2021-05,0.1451103095105264
2021-06,0.03444331327019223
2021-07,0.06297921227985093
2021-08,0.029440967339274815
2021-09,0.10443114314153013
2021-10,0.0411607450471323
2021-11,0.0931570938254831
2021-12,0.27164643742809513
2022-01,0.17418153046922447
2022-02,0.15682886150327957
2022-03,0.12743092277835344
2022-04,0.0671825559159327
2022-05,0.09111122668911409
2022-06,0.04696933123406577
2022-07,0.08891695919395626
2022-08,0.06477250717014682
2022-09,0.04066384850136817
2022-10,0.11629250280545489
2022-11,0.09883752143556168
2022-12,0.14910053659197398
2023-01,0.0550770264092344
2023-02,0.07320967807717915
2023-03,0.0789534865748438
2023-04,0.03705340787582223
2023-05,0.016644626490191605
2023-06,0.10044532448269305
2023-07,0.034608741730253634
2023-08,0.016382395053691434
2023-09,0.04239769744101407
2023-10,0.09935824833122697
2023-11,0.05247541320003135
2023-12,0.10780653481383551
2024-01,0.1251371154481158
2024-02,0.0382083923617309
2024-03,0.23982047857178856
2024-04,0.1557475560255701
2024-05,0.08984143682742451
2024-06,0.1048681367953519
2024-07,0.13480565469275496
2024-08,0.18299119029942656
2024-09,0.0840767578838848
2024-10,0.055872978808316986
2024-11,0.016405536108605512
2024-12,0.06364060318822684
2025-01,0.10169289526779202
2025-02,0.12727674213248497
2025-03,0.1903561811030321
2025-04,0.3008616697412594
2025-05,0.12102724197551318
2025-06,0.03632876821456388
2025-07,0.017050463163145846
2025-08,0.055663982848781934
2025-09,0.07890864470528869
2025-10,0.14696975408191593
2025-11,0.05842940667180074
2025-12,0.14752096140630333
2026-01,0.13698516865352284
2026-02,0.14679074795239488
2026-03,0.23408415841545183
2026-04,0.195081197355367
2026-05,0.03402471942661056
