date,eta,ic,rolling_ic,cs_var,mode
2009-04-08,0.3,0.0,0.0,0.0,kalman
2009-04-09,0.3,0.0,0.0,0.0,kalman
2009-04-10,0.3,-0.3499028622435197,-0.3499028622435197,0.0,kalman
2009-04-14,0.3,0.28936192409361944,-0.030270469074950124,0.0,kalman
2009-04-15,0.3,0.10396986883017494,0.01447631022675823,0.0,kalman
2009-04-16,0.3,0.05459477283232222,0.024505925878149225,0.0,kalman
2009-04-17,0.3,-0.01240790291643687,0.017123160119232005,0.0,kalman
2009-04-20,0.3,-0.1269837430580466,-0.006894657076981096,0.0,kalman
2009-04-21,0.3,0.05636920599226352,0.0021430376471967064,0.0,kalman
2009-04-22,0.3,-0.38603057889646164,-0.04637866442076058,0.0,kalman
2009-04-23,0.3,-0.22095171292100105,-0.06577566980967618,0.0,kalman
2009-04-24,0.3,0.002466138114822808,-0.058951489017226286,0.0,kalman
2009-04-27,0.3,-0.5663474940388878,-0.10507839856465008,0.0,kalman
2009-04-28,0.3,0.06603154639018423,-0.09081923648508056,0.0,kalman
2009-04-30,0.3,0.5658003729895212,-0.04031003575626503,0.0,kalman
2009-05-01,0.3,-0.38964982214200367,-0.06526287764096064,0.0,kalman
2009-05-07,0.3,0.1414500932473803,-0.05148201291507125,0.0,kalman
2009-05-08,0.3,-0.027027108606600087,-0.0499535813957918,0.0,kalman
2009-05-11,0.3,-0.040691278894576334,-0.04940874007219089,0.0,kalman
2009-05-12,0.3,-0.10604393893738073,-0.05255514000914588,0.0,kalman
2009-05-13,0.3,0.2605509965864625,-0.0360758696620086,0.0,kalman
2009-05-14,0.3,0.15492016653081683,-0.026526067852367323,0.0,kalman
2009-05-15,0.8,0.3833106007473919,-0.007010036014283551,0.0,kalman
2009-05-18,0.8,0.3234740073148629,0.008011965955223107,0.0,kalman
2009-05-19,0.8,-0.15238049166965592,0.0010383808410979322,0.0,kalman
2009-05-20,0.8,-0.45968114987012865,-0.018158266271869842,0.0,kalman
2009-05-21,0.8,-0.3507417261740841,-0.031461604667958415,0.0,kalman
2009-05-22,0.8,-0.3273556954026413,-0.04284214661929237,0.0,kalman
2009-05-25,0.8,-0.17783181404465662,-0.0478417639313429,0.0,kalman
2009-05-27,0.8,-0.3620155673725369,-0.059062256911385544,0.0,kalman
2009-05-28,0.8,0.08757784135354127,-0.05400570179880186,0.0,kalman
2009-05-29,0.8,-0.5971216455923269,-0.07210956659191936,0.0,kalman
2009-06-01,0.8,-0.5361337814375285,-0.08707808965145514,0.0,kalman
2009-06-02,0.8,0.06388510012456533,-0.08236048997095449,0.0,kalman
2009-06-03,0.8,0.16130273791367927,-0.07497675579263226,0.0,kalman
2009-06-04,0.8,-0.33253127951967915,-0.08255188884342776,0.0,kalman
2009-06-05,0.8,-0.3144167351100468,-0.08917659873675973,0.0,kalman
2009-06-08,0.8,0.02632248664483318,-0.08596829080949325,0.0,kalman
2009-06-09,0.8,-0.2774405379175659,-0.09114321640700873,0.0,kalman
2009-06-10,0.8,-0.29186722213772,-0.09642542708413272,0.0,kalman
2009-06-11,0.8,0.014742059239963684,-0.0935749787168482,0.0,kalman
2009-06-12,0.8,-0.11411658115764468,-0.0940885187778681,0.0,kalman
2009-06-15,0.8,-0.04176916784656377,-0.09281243704783629,0.0,kalman
2009-06-16,0.8,0.1811553825799783,-0.08628939372336451,0.0,kalman
2009-06-17,0.8,-0.5030921754238528,-0.09598248166988749,0.0,kalman
2009-06-18,0.8,-0.23807686938373915,-0.09921189957247502,0.0,kalman
2009-06-19,0.8,-0.20962173975993867,-0.10166545157664088,0.0,kalman
2009-06-22,0.8,0.2793642347277025,-0.09338219752654646,0.0,kalman
2009-06-23,0.8,0.4993929682516186,-0.08076995995679827,0.0,kalman
2009-06-24,0.8,-0.03555544805625305,-0.07982799095887026,0.0,kalman
