date,eta,ic,rolling_ic,cs_var,mode
2009-04-08,0.3,0.0,0.0,0.0,ic
2009-04-09,0.3,0.0,0.0,0.0,ic
2009-04-10,0.3,-0.3499028622435197,-0.3499028622435197,0.0,ic
2009-04-14,0.3,0.28936192409361944,-0.030270469074950124,0.0,ic
2009-04-15,0.3,0.10396986883017494,0.01447631022675823,0.0,ic
2009-04-16,0.3,0.05459477283232222,0.024505925878149225,0.0,ic
2009-04-17,0.3,-0.01240790291643687,0.017123160119232005,0.0,ic
2009-04-20,0.3,-0.1269837430580466,-0.006894657076981096,0.0,ic
2009-04-21,0.3,0.05636920599226352,0.0021430376471967064,0.0,ic
2009-04-22,0.3,-0.38603057889646164,-0.04637866442076058,0.0,ic
2009-04-23,0.3,-0.22095171292100105,-0.06577566980967618,0.0,ic
2009-04-24,0.3,0.002466138114822808,-0.058951489017226286,0.0,ic
2009-04-27,0.3,-0.5663474940388878,-0.10507839856465008,0.0,ic
2009-04-28,0.3,0.06603154639018423,-0.09081923648508056,0.0,ic
2009-04-30,0.3,0.5658003729895212,-0.04031003575626503,0.0,ic
2009-05-01,0.3,-0.38964982214200367,-0.06526287764096064,0.0,ic
2009-05-07,0.3,0.1414500932473803,-0.05148201291507125,0.0,ic
2009-05-08,0.3,-0.027027108606600087,-0.0499535813957918,0.0,ic
2009-05-11,0.3,-0.040691278894576334,-0.04940874007219089,0.0,ic
2009-05-12,0.3,-0.10604393893738073,-0.05255514000914588,0.0,ic
2009-05-13,0.3,0.2605509965864625,-0.0360758696620086,0.0,ic
2009-05-14,0.3,0.15492016653081683,-0.026526067852367323,0.0,ic
2009-05-15,0.3,0.3833106007473919,-0.007010036014283551,0.0,ic
2009-05-18,0.3312378113948011,0.2846571264370794,0.00624756227896022,0.0,ic
2009-05-19,0.3050350003010615,-0.11428536875224193,0.0010070000602123007,0.0,ic
2009-05-20,0.3,-0.45714147500896773,-0.018082519734336867,0.0,ic
2009-05-21,0.3,-0.420890071408901,-0.034194821801319435,0.0,ic
2009-05-22,0.3,-0.36099699216338704,-0.04676413604601434,0.0,ic
2009-05-25,0.3,-0.1975909044940629,-0.05235031265520133,0.0,ic
2009-05-27,0.3,-0.3469837791079332,-0.06287293645708461,0.0,ic
2009-05-28,0.3,0.11942432911846539,-0.05658682385103117,0.0,ic
2009-05-29,0.3,-0.5785445277294545,-0.07398541398031196,0.0,ic
2009-06-01,0.3,-0.5624394109005849,-0.08974199452612722,0.0,ic
2009-06-02,0.3,0.11023311394042645,-0.0834927723865474,0.0,ic
2009-06-03,0.3,0.12407902916436868,-0.07720271779409539,0.0,ic
2009-06-04,0.3,-0.32864959143190076,-0.08459821407756025,0.0,ic
2009-06-05,0.3,-0.32476790334412237,-0.09146020519946203,0.0,ic
2009-06-08,0.3,-0.10654339832432477,-0.09187918278626378,0.0,ic
2009-06-09,0.3,-0.29470350472132556,-0.09736092121694111,0.0,ic
2009-06-10,0.3,-0.2730774868069655,-0.10198504136404703,0.0,ic
2009-06-11,0.3,0.007371029619981842,-0.09918103954394371,0.0,ic
2009-06-12,0.3,-0.16188631280503085,-0.1007486713754709,0.0,ic
2009-06-15,0.3,-0.07862431594647298,-0.10020905295037338,0.0,ic
2009-06-16,0.3,0.1340053514975182,-0.09463251951113787,0.0,ic
2009-06-17,0.3,-0.5252874184572581,-0.10464774971918717,0.0,ic
2009-06-18,0.3,-0.22384401306188517,-0.1073567557042485,0.0,ic
2009-06-19,0.3,-0.21208787787476147,-0.10968411397470434,0.0,ic
2009-06-22,0.3,0.30222130847815093,-0.1007296482692075,0.0,ic
2009-06-23,0.3,0.47473158710339053,-0.08848579219745009,0.0,ic
2009-06-24,0.3,-0.03809512291741398,-0.08743598658744933,0.0,ic
2009-06-25,0.3,0.19925998850595558,-0.081585048320237,0.0,ic
2009-06-26,0.3,0.15328022500898245,-0.0768877428536526,0.0,ic
2009-06-29,0.3,-0.11302245417305493,-0.07759626660501344,0.0,ic
2009-06-30,0.3,-0.5561761657903334,-0.08679972620473111,0.0,ic
2009-07-01,0.3,0.06095219666786236,-0.08401195407505954,0.0,ic
2009-07-02,0.3,-0.14550214877454568,-0.08515066138430928,0.0,ic
2009-07-03,0.3,0.24538074242486943,-0.07914099949686969,0.0,ic
2009-07-07,0.3,0.13742341632990934,-0.0752737777856772,0.0,ic
2009-07-08,0.3,0.5638624584071672,-0.06406086136124134,0.0,ic
2009-07-09,0.3,0.09687310220567691,-0.06128613785146688,0.0,ic
2009-07-10,0.3,0.12656060974765607,-0.05810229467182074,0.0,ic
2009-07-13,0.3,-0.3825874416224202,-0.06351038045433072,0.0,ic
2009-07-14,0.3,0.3421214622200488,-0.05686067811540647,0.0,ic
2009-07-15,0.3,-0.2727280959393281,-0.060342410660953597,0.0,ic
2009-07-16,0.3,0.420890071408901,-0.05270379983444797,0.0,ic
2009-07-17,0.3,0.2779370253281858,-0.04273808733330979,0.0,ic
2009-07-21,0.3,-0.07697736589434627,-0.048552996698198125,0.0,ic
2009-07-22,0.3,-0.07196583691533384,-0.051345626948126825,0.0,ic
2009-07-23,0.3,-0.017262966803759657,-0.0524862259899694,0.0,ic
2009-07-24,0.3,0.029778966999448483,-0.0518165931341617,0.0,ic
2009-07-27,0.3,-0.01940844043889178,-0.05010904864814337,0.0,ic
2009-07-28,0.3,-0.5881739403852396,-0.060339892241437064,0.0,ic
2009-07-29,0.3,0.2566760824054916,-0.05013819920489813,0.0,ic
2009-07-30,0.3,0.3526577504196616,-0.04103328708837967,0.0,ic
