,VaR_99,ES_99
2016-01-25,0.00695769553957178,0.010271472960885266
2016-01-26,0.00695769553957178,0.010271472960885266
2016-01-27,0.00695769553957178,0.010271472960885266
2016-01-28,0.00695769553957178,0.010271472960885266
2016-01-29,0.00695769553957178,0.010271472960885266
2016-02-01,0.00695769553957178,0.010271472960885266
2016-02-02,0.00695769553957178,0.010271472960885266
2016-02-03,0.00695769553957178,0.010271472960885266
2016-02-04,0.00695769553957178,0.010271472960885266
2016-02-05,0.00695769553957178,0.010271472960885266
2016-02-08,0.00695769553957178,0.010271472960885266
2016-02-09,0.00695769553957178,0.010271472960885266
2016-02-10,0.00695769553957178,0.010271472960885266
2016-02-12,0.00695769553957178,0.010271472960885266
2016-02-15,0.00695769553957178,0.010271472960885266
2016-02-17,0.00695769553957178,0.010271472960885266
2016-02-18,0.00695769553957178,0.010271472960885266
2016-02-19,0.00695769553957178,0.010271472960885266
2016-02-22,0.00695769553957178,0.010271472960885266
2016-02-23,0.00695769553957178,0.010271472960885266
2016-02-24,0.00695769553957178,0.010271472960885266
2016-02-25,0.00695769553957178,0.010271472960885266
2016-02-26,0.00695769553957178,0.010271472960885266
2016-02-29,0.00695769553957178,0.010271472960885266
2016-03-01,0.00695769553957178,0.010271472960885266
2016-03-02,0.00695769553957178,0.010271472960885266
2016-03-03,0.007609839389279942,0.012892677354351999
2016-03-04,0.007609839389279942,0.012892677354351999
2016-03-07,0.007609839389279942,0.012892677354351999
2016-03-08,0.007609839389279942,0.012892677354351999
2016-03-09,0.007609839389279942,0.012892677354351999
2016-03-10,0.007609839389279942,0.012892677354351999
2016-03-11,0.007609839389279942,0.012892677354351999
2016-03-14,0.007609839389279942,0.012892677354351999
2016-03-15,0.007609839389279942,0.012892677354351999
2016-03-16,0.007609839389279942,0.012892677354351999
2016-03-17,0.007609839389279942,0.012892677354351999
2016-03-18,0.007609839389279942,0.012892677354351999
2016-03-22,0.007609839389279942,0.012892677354351999
2016-03-23,0.007609839389279942,0.012892677354351999
2016-03-24,0.007609839389279942,0.012892677354351999
2016-03-25,0.007609839389279942,0.012892677354351999
2016-03-29,0.007609839389279942,0.012892677354351999
2016-03-30,0.007609839389279942,0.012892677354351999
2016-03-31,0.007609839389279942,0.012892677354351999
2016-04-01,0.007609839389279942,0.012892677354351999
2016-04-04,0.007609839389279942,0.012892677354351999
2016-04-05,0.007074766577649421,0.012892677354351999
2016-04-06,0.007074766577649421,0.012892677354351999
2016-04-07,0.007074766577649421,0.012892677354351999
2016-04-08,0.007074766577649421,0.012892677354351999
2016-04-11,0.007074766577649421,0.012892677354351999
2016-04-12,0.007074766577649421,0.012892677354351999
2016-04-13,0.007074766577649421,0.012892677354351999
2016-04-14,0.007074766577649421,0.012892677354351999
2016-04-15,0.007074766577649421,0.012892677354351999
2016-04-18,0.007074766577649421,0.012892677354351999
2016-04-19,0.007074766577649421,0.012892677354351999
2016-04-20,0.007074766577649421,0.012892677354351999
2016-04-21,0.007074766577649421,0.012892677354351999
2016-04-22,0.007074766577649421,0.012892677354351999
2016-04-25,0.007074766577649421,0.012892677354351999
2016-04-26,0.007074766577649421,0.012892677354351999
2016-04-27,0.007074766577649421,0.012892677354351999
2016-04-28,0.007074766577649421,0.012892677354351999
2016-05-02,0.007074766577649421,0.012892677354351999
2016-05-06,0.007074766577649421,0.012892677354351999
2016-05-09,0.007074766577649421,0.012892677354351999
2016-05-10,0.007074766577649421,0.012892677354351999
2016-05-11,0.007074766577649421,0.012892677354351999
2016-05-12,0.007074766577649421,0.012892677354351999
2016-05-13,0.007074766577649421,0.012892677354351999
2016-05-16,0.007074766577649421,0.012892677354351999
2016-05-17,0.006717403614053901,0.012892677354351999
2016-05-18,0.006717403614053901,0.012892677354351999
2016-05-19,0.006717403614053901,0.012892677354351999
2016-05-20,0.0066889787614977094,0.012892677354351999
2016-05-23,0.0066889787614977094,0.012892677354351999
2016-05-24,0.0066889787614977094,0.012892677354351999
2016-05-25,0.0066889787614977094,0.012892677354351999
2016-05-26,0.0066889787614977094,0.012892677354351999
2016-05-27,0.0066889787614977094,0.012892677354351999
2016-05-30,0.0066889787614977094,0.012892677354351999
2016-06-01,0.0066889787614977094,0.012892677354351999
2016-06-02,0.0066889787614977094,0.012892677354351999
2016-06-03,0.0066889787614977094,0.012892677354351999
2016-06-06,0.0066889787614977094,0.012892677354351999
2016-06-07,0.0066889787614977094,0.012892677354351999
2016-06-08,0.0066889787614977094,0.012892677354351999
2016-06-09,0.0066889787614977094,0.012892677354351999
2016-06-10,0.0066889787614977094,0.012892677354351999
2016-06-13,0.0066889787614977094,0.012892677354351999
2016-06-14,0.0066889787614977094,0.012892677354351999
2016-06-15,0.0066889787614977094,0.012892677354351999
2016-06-16,0.0066889787614977094,0.012892677354351999
2016-06-17,0.0066889787614977094,0.012892677354351999
2016-06-20,0.0066889787614977094,0.012892677354351999
2016-06-21,0.0066889787614977094,0.012892677354351999
2016-06-22,0.0066889787614977094,0.012892677354351999
2016-06-23,0.0066889787614977094,0.012892677354351999
2016-06-24,0.0066889787614977094,0.012892677354351999
2016-06-27,0.0066889787614977094,0.012892677354351999
2016-06-28,0.0066889787614977094,0.012892677354351999
2016-06-29,0.0066889787614977094,0.012892677354351999
2016-06-30,0.0066889787614977094,0.012892677354351999
2016-07-01,0.0066889787614977094,0.012892677354351999
2016-07-04,0.0066889787614977094,0.012892677354351999
2016-07-06,0.0066889787614977094,0.012892677354351999
2016-07-07,0.0066889787614977094,0.012892677354351999
2016-07-08,0.0066889787614977094,0.012892677354351999
2016-07-11,0.0066889787614977094,0.012892677354351999
2016-07-12,0.0066889787614977094,0.012892677354351999
2016-07-13,0.0066889787614977094,0.012892677354351999
2016-07-14,0.0066889787614977094,0.012892677354351999
2016-07-15,0.0066889787614977094,0.012892677354351999
2016-07-19,0.0066889787614977094,0.012892677354351999
2016-07-20,0.0066889787614977094,0.012892677354351999
2016-07-21,0.0066889787614977094,0.012892677354351999
2016-07-22,0.0066889787614977094,0.012892677354351999
2016-07-25,0.0066889787614977094,0.012892677354351999
2016-07-26,0.0066889787614977094,0.012892677354351999
2016-07-27,0.0066889787614977094,0.012892677354351999
2016-07-28,0.0066889787614977094,0.012892677354351999
2016-07-29,0.011615691090182945,0.015491772927973302
2016-08-01,0.011615691090182945,0.015491772927973302
2016-08-02,0.010582350445424155,0.015491772927973302
2016-08-03,0.010582350445424155,0.015491772927973302
2016-08-04,0.010582350445424155,0.015491772927973302
2016-08-05,0.010582350445424155,0.015491772927973302
2016-08-08,0.010582350445424155,0.015491772927973302
2016-08-09,0.010582350445424155,0.015491772927973302
2016-08-10,0.010582350445424155,0.015491772927973302
2016-08-12,0.010582350445424155,0.015491772927973302
2016-08-15,0.010582350445424155,0.015491772927973302
2016-08-16,0.010582350445424155,0.015491772927973302
2016-08-17,0.010582350445424155,0.015491772927973302
2016-08-18,0.010582350445424155,0.015491772927973302
2016-08-19,0.010582350445424155,0.015491772927973302
2016-08-22,0.010582350445424155,0.015491772927973302
2016-08-23,0.010582350445424155,0.015491772927973302
2016-08-24,0.010582350445424155,0.015491772927973302
2016-08-25,0.010582350445424155,0.015491772927973302
2016-08-26,0.010582350445424155,0.015491772927973302
2016-08-29,0.010582350445424155,0.015491772927973302
2016-08-30,0.010582350445424155,0.015491772927973302
2016-08-31,0.010582350445424155,0.015491772927973302
2016-09-01,0.010582350445424155,0.015491772927973302
2016-09-02,0.010582350445424155,0.015491772927973302
2016-09-05,0.010582350445424155,0.015491772927973302
2016-09-07,0.010582350445424155,0.015491772927973302
2016-09-08,0.010582350445424155,0.015491772927973302
2016-09-09,0.010582350445424155,0.015491772927973302
