trade_date,linear_return,corrected_return
2016-12-05,0.0070806456136498636,0.006993868288427079
2016-12-06,0.01151226708117254,0.011447129880417975
2016-12-07,0.020379216034161943,0.020379216034161943
2016-12-08,0.005607639210595206,0.005728321691474478
2016-12-09,0.01314934818839534,0.013387727376463626
2016-12-12,0.012660286119234587,0.012596930908961586
2016-12-13,0.008696818441086033,0.008683464389153857
2016-12-14,0.005851271918232783,0.005934599502081911
2016-12-15,-0.0008707891001888746,-2.0147116881410023e-05
2016-12-16,0.004945121129022983,0.004911257641277457
2016-12-19,0.01733365408398866,0.017439694508435636
2016-12-20,0.0018793724194394457,0.001872783104491921
2016-12-21,0.0008031546680246232,0.0007870295621474554
2016-12-22,0.0013488947585958777,0.0013034287122829073
2016-12-26,0.0077040236130243205,0.007850026379935673
2016-12-28,0.009223377368684036,0.009434464638050187
2016-12-29,0.006673415852443694,0.008843340398295452
2016-12-30,-0.004540036623216686,-0.004897953681481606
2017-01-04,0.020447241185856477,0.020218409143957745
2017-01-05,0.00862125495716951,0.008446709782817896
2017-01-06,0.009257614346255251,0.009252271453694273
2017-01-10,0.0032408752217259274,0.0032408752217259274
2017-01-11,0.009836828592950504,0.00984217355037959
2017-01-12,0.01162641942152266,0.011603988449790527
2017-01-13,0.004502174181931579,0.004484312064751739
2017-01-16,0.008576954594427016,0.008475696496808453
2017-01-18,-9.611829728892857e-05,-0.0007742463247904479
2017-01-19,0.004449865531828909,0.004449865531828909
2017-01-20,0.0073219802196538165,0.007278498659572505
2017-01-23,-8.997217661589087e-05,-8.997217661589087e-05
2017-01-24,0.000193347731405716,5.7990132157224893e-05
2017-01-25,0.010160980313601815,0.010160980313601815
2017-01-26,0.005375809440931219,0.005375809440931219
2017-01-27,0.003967770611066358,0.0039707201696806225
2017-01-30,0.00448012262079224,0.004393436474016176
2017-01-31,0.01038258068481493,0.010577787328246662
2017-02-01,0.01436254875503105,0.01436254875503105
2017-02-02,0.007170684507459759,0.007170684507459759
2017-02-03,0.009645436922628932,0.009663702639351238
2017-02-06,0.016887312560590593,0.01668367643067844
2017-02-07,-0.0032296950378634696,-0.003155262882495283
2017-02-08,0.018042494346611877,0.01758935546750805
2017-02-09,0.007122342735298182,0.007272479443027299
2017-02-10,0.017657569911502368,0.017678872633962464
2017-02-13,0.004977468356520965,0.005548922187464436
2017-02-14,0.005649728941671551,0.00546136021325172
2017-02-15,0.00049143968464297,0.0005049516758995645
2017-02-16,0.00044194480398172516,0.0004372327959850025
2017-02-17,0.005670240183093903,0.005695408325234722
2017-02-20,0.011334292518791894,0.011351690631887925
2017-02-22,0.01064455943630891,0.010780098472919674
2017-02-23,0.0028707433361514602,0.003000297336556099
2017-02-24,0.010744975927223677,0.010744975927223675
2017-02-27,0.00880508507572102,0.00882256874649574
