,gross_linear,gross_gp,net_linear,net_gp,kappa
2022-01-04,0.025789185050242632,0.02480719356996919,0.023789185050242634,0.022807193569969193,0.9619223531740023
2022-01-05,0.02409561376966635,0.02313619179177813,0.02209561376966635,0.021136191791778128,0.9601827126273073
2022-01-06,0.01258274188936008,0.012015348984445015,0.01058274188936008,0.010015348984445015,0.9549070536529999
2022-01-07,0.01606742642203686,0.015355272173938946,0.01406742642203686,0.013355272173938946,0.9556771427239166
2022-01-11,0.012376018345755201,0.011838589814209832,0.010376018345755201,0.009838589814209832,0.9565750052617124
2022-01-12,0.002003737240180115,0.00191640135872523,3.7372401801151305e-06,-8.35986412747701e-05,0.9564135058711412
2022-01-13,0.005846244981278974,0.005597657437947374,0.0038462449812789743,0.0035976574379473743,0.9574791093894228
2022-01-14,0.011177878297298577,0.010676018362718486,0.009177878297298577,0.008676018362718486,0.9551023976794077
2022-01-17,0.009737237972192279,0.009306764945131189,0.007737237972192279,0.007306764945131189,0.9557910540657998
2022-01-19,0.006787282175662813,0.006460128902491492,0.004787282175662813,0.004460128902491492,0.9517990758739344
2022-01-20,-0.0006914016971288775,-0.0006578129492698482,-0.0026914016971288776,-0.0026578129492698483,0.9514193442126184
2022-01-21,0.00898722823244571,0.008547321841045103,0.00698722823244571,0.006547321841045103,0.9510520507521492
2022-01-24,0.003423647473731082,0.003245911360726474,0.0014236474737310818,0.001245911360726474,0.9480857435327853
2022-01-25,-0.00303302461521099,-0.0028805333144663594,-0.00503302461521099,-0.0048805333144663595,0.9497230256622813
2022-01-26,0.0018123622824730199,0.001720051449109308,-0.00018763771752698015,-0.00027994855089069214,0.9490660149703893
2022-01-27,0.02534018339169208,0.02408037245442369,0.023340183391692082,0.022080372454423687,0.9502840639392758
2022-01-28,0.013691360973394729,0.013029109707159767,0.011691360973394729,0.011029109707159767,0.9516299900702452
2022-01-31,-0.010550243636716725,-0.009972985071057627,-0.012550243636716725,-0.011972985071057627,0.9452848118454692
2022-02-01,0.0030684692912605477,0.0028935491158444725,0.0010684692912605476,0.0008935491158444725,0.9429943210074567
2022-02-02,0.015164795635988791,0.01433053063194684,0.013164795635988791,0.01233053063194684,0.944986729523602
2022-02-03,0.014961188829535153,0.014140671975281748,0.012961188829535153,0.012140671975281748,0.9451569749167521
2022-02-04,-0.0030897482371337118,-0.0029106483040198354,-0.005089748237133712,-0.0049106483040198354,0.9420341337325194
2022-02-07,5.4831565530706877e-05,5.172855601673744e-05,-0.0019451684344692932,-0.0019482714439832626,0.9434083363490358
2022-02-08,0.026989297335266924,0.02550465862176164,0.024989297335266926,0.02350465862176164,0.9449915759175654
2022-02-09,0.013286024073492563,0.012566761178945932,0.011286024073492563,0.010566761178945932,0.9458631949958859
2022-02-10,-0.0037921936350807893,-0.003583673700510574,-0.005792193635080789,-0.005583673700510574,0.9450133736206819
2022-02-14,-0.00013882889193861272,-0.0001309768049742024,-0.002138828891938613,-0.0021309768049742025,0.9434405414120919
2022-02-15,0.013172597858703162,0.012401927402304539,0.011172597858703162,0.010401927402304539,0.9414944216269807
2022-02-16,0.008390824530602844,0.007903378176647761,0.0063908245306028445,0.0059033781766477614,0.9419072163674403
2022-02-17,0.009318987899381492,0.008794123719347945,0.007318987899381492,0.006794123719347945,0.9436779845944019
2022-02-18,-0.0009197638034807566,-0.0008672564711156867,-0.0029197638034807565,-0.0028672564711156867,0.9429121561792702
2022-02-21,0.007791992985898243,0.007360071151238353,0.0057919929858982425,0.005360071151238353,0.9445685031491211
2022-02-24,0.006859914835942943,0.006486263673739541,0.004859914835942943,0.004486263673739541,0.9455312243461633
2022-02-25,0.009885383008848324,0.00934917778875633,0.007885383008848324,0.0073491777887563295,0.9457577698697114
2022-02-28,0.02125119043893505,0.01997479300319637,0.01925119043893505,0.01797479300319637,0.9399376030530437
2022-03-01,0.0024958471405883568,0.0023505956462332644,0.0004958471405883567,0.00035059564623326437,0.9418027282228304
2022-03-02,0.00436572189578254,0.00411460573923675,0.0023657218957825396,0.0021146057392367502,0.9424800382295587
2022-03-03,-0.0037673759774790937,-0.003545927913823619,-0.005767375977479094,-0.005545927913823619,0.9412195477756232
2022-03-04,0.007335133962435321,0.006915163304304965,0.005335133962435321,0.004915163304304965,0.9427453322214551
2022-03-07,0.012520016289423955,0.01181956116549062,0.010520016289423955,0.00981956116549062,0.9440531779080008
2022-03-08,-0.02487548519770127,-0.023408502214351694,-0.02687548519770127,-0.025408502214351696,0.9410269600094014
2022-03-09,0.002589718254735352,0.0024385735526685492,0.0005897182547353521,0.0004385735526685492,0.9416366232927336
2022-03-10,0.016676882634964443,0.015669611836672856,0.014676882634964443,0.013669611836672856,0.9396007742970043
2022-03-11,0.03993418563228532,0.03764573002420576,0.03793418563228532,0.035645730024205756,0.9426943213728783
2022-03-14,0.004994125760433852,0.004718844903468102,0.0029941257604338516,0.002718844903468102,0.9448790698971438
2022-03-15,-0.001788275015337969,-0.0016930388425014577,-0.003788275015337969,-0.0036930388425014575,0.9467441126114974
2022-03-16,-0.009148848244497507,-0.008641245139855204,-0.011148848244497507,-0.010641245139855204,0.9445172669742777
2022-03-17,0.005121745539143888,0.004835862219466986,0.003121745539143888,0.002835862219466986,0.9441824437602403
2022-03-18,0.003975361098214186,0.003758178670498931,0.001975361098214186,0.0017581786704989311,0.9453678741755516
2022-03-22,0.0002014392748106034,0.00019082673902233926,-0.0017985607251893966,-0.0018091732609776608,0.9473164515795552
2022-03-23,0.008331229700850542,0.007909978837162742,0.0063312297008505415,0.005909978837162742,0.949437132474598
2022-03-24,0.0032112521573293977,0.0030518799679366223,0.0012112521573293977,0.0010518799679366223,0.9503707022729374
2022-03-25,0.013172192784363934,0.012524573747330377,0.011172192784363934,0.010524573747330377,0.9508343790866534
2022-03-28,-0.0030406665559923537,-0.0028948828094462788,-0.005040666555992354,-0.004894882809446279,0.9520553326510683
2022-03-29,0.015584443803145765,0.01484543437928002,0.013584443803145765,0.01284543437928002,0.9525803144981938
2022-03-30,0.01530441295736276,0.014575297812144323,0.01330441295736276,0.012575297812144323,0.9523591563263674
2022-03-31,-0.005608465704152929,-0.0053475372886720735,-0.007608465704152929,-0.0073475372886720736,0.9534759719957556
2022-04-01,-0.005038140552323557,-0.004801486826493208,-0.007038140552323557,-0.006801486826493208,0.9530275657511765
2022-04-04,0.0032823574413803017,0.0031310170821891286,0.0012823574413803017,0.0011310170821891286,0.9538927853245837
2022-04-05,0.0013367334888790168,0.001276322516666568,-0.0006632665111209832,-0.0007236774833334321,0.9548070182163914
2022-04-06,-0.002593037203299881,-0.0024758859083754735,-0.004593037203299882,-0.0044758859083754736,0.9548208198573777
2022-04-07,-8.059984779757421e-05,-7.695472782717305e-05,-0.002080599847797574,-0.0020769547278271733,0.9547751010702353
2022-04-08,0.004702823563197541,0.004494815013185199,0.0027028235631975407,0.0024948150131851986,0.9557694335717515
