max_pit_history,label,period,days,valid_days,fallback_days,fallback_rate_pct,sharpe,cagr_pct,annualized_return_pct,annualized_volatility_pct,max_drawdown_pct,avg_turnover,avg_gross_exposure,low_count,medium_count,high_count
0,pit_unlimited,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.667875390823231,453.7375234971031,174.2556363314711,22.725413162036638,-6.960486843307634,1.3576875200773544,1.8591321243523315,435,674,435
20,pit20,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.674724159339245,476.506603782995,178.43349964687727,23.249500039652176,-7.169976588860216,1.4548274777405774,2.0,0,1544,0
63,pit63,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.674724159339245,476.506603782995,178.43349964687727,23.249500039652176,-7.169976588860216,1.4548274777405774,2.0,0,1544,0
126,pit126,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.674724159339245,476.506603782995,178.43349964687727,23.249500039652176,-7.169976588860216,1.4548274777405774,2.0,0,1544,0
252,pit252,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.667875390823231,453.7375234971031,174.2556363314711,22.725413162036638,-6.960486843307634,1.3576875200773544,1.8591321243523315,435,674,435
504,pit504,2020-01-06 -> 2026-07-29,1544,1544,0,0.0,7.667875390823231,453.7375234971031,174.2556363314711,22.725413162036638,-6.960486843307634,1.3576875200773544,1.8591321243523315,435,674,435
