ir,pit_percentile,daily_return,next_return
14.770824368868126,100.0,0.011126976718903886,0.021511923199337042
14.827913766123565,100.0,0.021511923199337042,0.015780888291990862
14.92337256119407,100.0,0.015780888291990862,0.0022847686127368764
14.97720373764102,100.0,0.0022847686127368764,0.007573193501812049
14.90584348797099,98.46153846153847,0.007573193501812049,0.01749939205720392
14.92991055815604,99.23664122137404,0.01749939205720392,0.016270743186843697
14.971290606010522,99.24242424242425,0.016270743186843697,0.027869074905196498
14.986385224173675,100.0,0.027869074905196498,0.017079478569498326
15.099756135615474,100.0,0.017079478569498326,0.030774555742546738
15.186442737154087,100.0,0.030774555742546738,0.0757096031772214
15.245961642218003,100.0,0.0757096031772214,0.04101157763498048
14.52201534631645,87.59124087591242,0.04101157763498048,0.02221724175756365
14.483784683455678,85.5072463768116,0.02221724175756365,0.009476810420979568
14.63312226237262,90.64748201438849,0.009476810420979568,0.00877281798653437
14.601752633328298,89.28571428571429,0.00877281798653437,0.022178166683817734
14.62507921971023,89.36170212765957,0.022178166683817734,0.007699367764934593
14.756851143405,92.25352112676056,0.007699367764934593,0.014679155863190987
14.793137324369095,93.00699300699301,0.014679155863190987,0.02989758757491339
14.931177548525307,95.83333333333334,0.02989758757491339,0.015963721122375124
14.94181122739751,95.86206896551724,0.015963721122375124,0.02836541097773903
14.955955888473504,95.8904109589041,0.02836541097773903,0.02272476451072507
14.966772300695407,95.91836734693877,0.02272476451072507,0.03181602805219849
15.008229242281645,97.97297297297297,0.03181602805219849,-0.0008356475603646081
15.058878230412212,97.98657718120806,-0.0008356475603646081,0.008056521957050974
15.040872244251558,97.33333333333334,0.008056521957050974,-0.0006486450435519867
15.108154779996438,98.67549668874173,-0.0006486450435519867,-0.005374987609711654
15.12747287650013,98.68421052631578,-0.005374987609711654,0.004200463254006068
14.951306507230539,91.50326797385621,0.004200463254006068,0.010177996159130922
14.943364926479004,90.9090909090909,0.010177996159130922,0.010325337445624092
14.967348533955796,92.90322580645162,0.010325337445624092,0.011803325274974037
15.028617906957724,95.51282051282051,0.011803325274974037,0.01917987573941221
15.102635881738516,97.45222929936305,0.01917987573941221,0.006793045706526916
