scenario_name,unavailable_probability,reallocation_method,annualized_net_return,annualized_volatility,IR,max_drawdown
base_all_short_available,0.0,zero_and_rescale,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788
base_all_short_available,0.0,replace_with_next_candidate,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788
stress_20pct_short_unavailable,0.2,zero_and_rescale,0.21440403537997574,0.05302926889663322,4.043126368532454,-0.04363652765631486
stress_20pct_short_unavailable,0.2,replace_with_next_candidate,0.2267720597963443,0.05775762604504298,3.9262704394999437,-0.04178490255120268
stress_50pct_short_unavailable,0.5,zero_and_rescale,0.13633763404877122,0.036263841714775986,3.759602612461751,-0.03081547333556956
stress_50pct_short_unavailable,0.5,replace_with_next_candidate,0.15239903997491025,0.0419808768164243,3.6302014519927015,-0.03513793515005108
