gross_exposure_target,annualized_return_before_cost,annualized_return_after_spread,annualized_return_after_spread_credit,annualized_return_after_all_cost,annualized_volatility,IR,max_drawdown,hit_rate,annual_jpy_pnl,avg_daily_jpy_pnl,avg_gross_exposure,avg_net_exposure,avg_one_way_trade_value,avg_one_way_trade_adv,constrained_days
0.5,0.25599702272846164,0.1722913177619392,0.16779925018334144,0.16779925018334144,0.03780492283387329,4.438555553219989,-0.03458849091345695,0.609152288072018,167799.25018334144,665.870040410085,0.35654951548759856,-9.791624884557232e-05,332.16549589889877,0.002785596473518794,5677
1.0,0.40784864829084055,0.2749354493140196,0.2676532565026252,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788,0.6049012253063266,267653.25650262524,1062.1160972326397,0.5779826141823452,-8.328422435902601e-05,527.4333292730989,0.002779648178333522,5677
1.5,0.5195416036400057,0.3504746735941271,0.3410684342160461,0.3410684342160461,0.08080592928710308,4.220834253439888,-0.0695760431177051,0.6066516629157289,341068.4342160461,1353.4461675239925,0.7465710786975356,-0.00011935210488895743,670.9005160550738,0.002781132678174455,5677
2.0,0.6095861529390881,0.41139646740449337,0.40023252358544154,0.40023252358544154,0.09815043561454094,4.077745769333573,-0.07642601697624159,0.6054013503375844,400232.5235854415,1588.2242999422283,0.8860997484896217,-0.0001959137859276279,786.4670060896619,0.002765754305243438,5677
