reverse_fee_bps_per_day,annualized_net_return,annualized_volatility,IR,max_drawdown
0,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788
5,0.23123510490300284,0.0629199601535539,3.6750675674091635,-0.09055312743873313
10,0.19481695330338047,0.06269551231682297,3.107350847041497,-0.12889189844835966
30,0.04914434690489097,0.062179588046770005,0.7903614103703255,-0.287992701283336
