gross_exposure_target,average_rounding_error,max_rounding_error,zero_share_order_count,gross_exposure_loss_due_to_rounding
0.5,0.002785596473518794,0.04601224082118873,6079,0.0026102518956510026
1.0,0.002779648178333522,0.04686018586004134,5677,0.0030244907275602142
1.5,0.002781132678174455,0.045454888828026785,5645,0.003403534473085569
2.0,0.002765754305243438,0.04543927257584321,5640,0.0028413316439995285
