trade_date,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2022-01-04,0.353982257440418,-0.11473145849410962,-0.3734489912583456,0.2030010569019104,0.0,0.18071057998125248,0.0,0.0,0.0,0.1732764165887281,0.0,0.08902968908769095,-0.27424297362755595,0.0,-0.08762363237344717,0.0,-0.14995294424654176
2022-01-05,0.2090148379271213,0.1916920639387709,0.0,-0.05003277822547758,-0.39366322857049774,-0.09169926074228911,0.0,0.25151606925840636,-0.3388851081036516,0.0,0.0,0.0,-0.12571962435808404,0.09936442899660292,0.0,0.2484125998790985,0.0
2022-01-06,0.0,-0.05895948344931091,0.0,-0.15504026546171004,0.0,0.11486635251696838,0.25086656961359693,-0.17853372104993415,0.0,-0.36213080147725385,0.14549314380523382,0.0,0.2474021414002652,0.0,0.0,0.24137179266393555,-0.24533572856179095
2022-01-07,-0.09503439021255056,0.0,0.22379319229501995,-0.2660664163118628,-0.24006872438733282,0.0,0.0,0.2019842830602922,-0.23508804051580423,0.0,-0.1637424285724496,0.0,0.0,0.12677745631492904,0.0,0.33364267547980964,0.11380239284994917
2022-01-11,0.0,0.0636457598399263,0.3730759808903449,-0.1499238227276907,-0.1259860802980493,0.0,0.0,0.0559091032662552,0.3049434198828831,-0.16094146304142004,0.20242573612059053,0.0,0.0,-0.40943856789628275,0.0,0.0,-0.15371006603655724
2022-01-12,-0.13670928940388727,0.0,-0.1977191268346819,-0.3616828088020766,0.35244772626561,0.0,0.08428470177043686,0.0,0.0,0.19707182066094645,0.0,0.0,0.0,-0.16809898068034168,0.12708670903767488,0.23910904226533183,-0.13578979427901267
2022-01-13,0.2884638919338385,-0.24323286497335014,0.0,-0.11815552166039889,-0.27621279547225586,0.0,-0.17679793154293386,0.0,0.0,0.0,0.0,0.04732366932938277,-0.1856008863510613,0.19841981805053274,0.3299314198465829,0.0,0.1358612008396631
2022-01-14,0.10263173008138464,0.0,0.2967459343851592,-0.185342913052065,-0.18918232648509178,0.0,0.0,0.32274438239923164,-0.23315296903796157,0.0,0.0,-0.24764059276859843,0.0,0.0,0.11218681669167051,-0.14468119865628332,0.1656911364425539
2022-01-17,0.0,0.19715340996809097,0.0,-0.26818888609858876,0.0,0.3549316244720184,0.07827860327751297,0.0,0.0,-0.18373729336126585,-0.13536564825142394,0.0,-0.15921307384977232,0.192546247840435,0.17709011444194256,0.0,-0.2534950984389491
2022-01-19,0.0,-0.2630883739826666,0.2842387689454953,-0.267366490061602,-0.11137357965269705,0.13740811534650282,0.2750802091475012,0.0,0.0,-0.2217068648109758,0.0,0.0,0.0,0.0,0.20529874119709426,-0.1364646914920586,0.09797416536340647
2022-01-20,0.15990515846296477,0.2644942477148361,0.0,-0.37127912023585596,0.0,0.0,0.0,0.0,-0.18721379933168167,0.21925006349598644,0.0,-0.16583432774724308,-0.12499316214310535,0.0,0.13714869499327392,0.21920183533293888,-0.1506795905421139
2022-01-21,-0.20191898324870572,0.36450490180074135,-0.09992869859963932,0.14547501146338532,0.0,0.16367480422068406,-0.2425506624215918,0.0,0.0,0.0,0.18893330779663078,0.0,-0.09183661633432741,-0.36376503939573585,0.0,0.13741197471855848,0.0
2022-01-24,0.0,0.0,-0.2579112524519518,-0.2602171367544976,0.0,0.17327637547967598,0.15325620874428236,0.0,0.18580849796201804,-0.19006928326469047,0.15484039487213397,0.0,-0.16064511018635058,-0.13115721734250954,0.0,0.3328185229418896,0.0
2022-01-25,0.0,0.13031950406091275,-0.3568798192504925,-0.12049052580806334,-0.08113206271906931,0.2985931038539375,0.0,0.25811060358788857,0.14246167447204952,0.0,-0.28541839354909115,0.0,0.0,-0.15607919867328357,0.0,0.17051511402521174,0.0
2022-01-26,0.0,0.3184726138548695,-0.3632803405088674,-0.23709101008080896,0.0,0.10986267070535867,-0.16786698322555976,0.0,0.22931026625568368,-0.09992872004862483,-0.131832946136139,0.06912972115280555,0.2732247280312827,0.0,0.0,0.0,0.0
2022-01-27,-0.39661981945293134,0.37337112310605536,0.0,0.0,0.0,0.09250939469350708,-0.04152773658497924,0.1196158834530673,0.17275617629109663,0.24174742245627362,0.0,-0.39661981945293134,0.0,-0.06518127935403341,0.0,0.0,-0.10005134515512469
2022-01-28,0.30087805828291037,0.0,0.0,-0.13986792863554176,-0.16830920533422336,0.0,0.0,-0.08193503818021683,0.11184534281197529,0.3515533023295631,0.14097338293063,0.0,0.09474991364492126,-0.3557363938489061,0.0,0.0,-0.2541514340011119
2022-01-31,0.40210712844130314,0.11650453799005724,0.0,-0.371728262839097,0.0,-0.12974000767904934,-0.13277086266044424,0.0,0.0,0.2478883767560613,0.09124594422822986,0.0,0.0,-0.260379344548178,0.0,-0.10538152227323147,0.14225401258434847
2022-02-01,0.22250415784470562,0.11480478577594663,0.3308945470351046,-0.04549130654969581,-0.04485507047820525,0.0,0.0,-0.3224903391421224,-0.2954824602173972,0.20110418943235997,0.13069231991188304,0.0,0.0,-0.29168082361257924,0.0,0.0,0.0
2022-02-02,-0.24509236806684948,0.28088656185830413,0.0,-0.1998661593927021,-0.1253709565621041,0.09921080902585917,0.20443577626450485,0.2372302172389988,-0.3074620639473,0.0,-0.12220845203104423,0.0,0.17823663561233297,0.0,0.0,0.0,0.0
2022-02-03,0.3802508991489912,0.0,-0.12264862409785796,-0.18259160399127136,0.0,0.0,-0.16972623570076728,0.2273758960499445,0.07634320859390066,0.0,0.0,0.0,-0.2857708264463113,0.08777449791801985,0.0,-0.23926270976379208,0.22825549828914385
2022-02-04,0.21779300328049817,0.0,-0.13026061428011468,-0.1437601506900929,0.09089024990509738,0.0,0.0,0.3491057425144276,0.2293925724892051,-0.38143262315135373,0.11281843181077163,0.0,-0.18692714038959213,-0.1576194714888466,0.0,0.0,0.0
