feature,importance
ticker,67
gap_idio,49
abs_score,46
topix_night,39
jp_vix_z,35
us_vix_z,32
vix_spread_z_x_score_x_gap,31
jp_vix_z_x_score_x_gap_idio,27
vix_spread_z_x_score,22
vix_spread_z_x_gap,21
vix_spread_z,19
us_vix_z_x_score_x_gap_idio,17
us_vix_z_x_score,17
jp_vix_z_x_gap,16
sigma_gap,16
market_vol_20d,15
us_vix_z_x_score_x_gap,11
abs_gap,10
jp_vix_z_x_score_x_gap,7
us_vix_z_x_gap,4
jp_vix_z_x_score,3
vix_spread_z_x_score_x_gap_idio,2
ticker_1629.T_score_x_gap_idio,0
ticker_1631.T_gap_idio,0
ticker_1631.T_gap,0
ticker_1631.T_score,0
ticker_1630.T_score_x_gap_idio,0
ticker_1630.T_score_x_gap,0
ticker_1630.T_gap_idio,0
ticker_1630.T_gap,0
ticker_1630.T_score,0
ticker_1618.T_score_x_gap_idio,0
ticker_1629.T_score_x_gap,0
ticker_1631.T_score_x_gap_idio,0
ticker_1629.T_gap_idio,0
ticker_1629.T_gap,0
ticker_1629.T_score,0
ticker_1628.T_score_x_gap_idio,0
ticker_1628.T_score_x_gap,0
ticker_1628.T_gap_idio,0
ticker_1631.T_score_x_gap,0
ticker_1632.T_score_x_gap,0
ticker_1632.T_score,0
ticker_1618.T_gap_idio,0
ticker_1617.T_score,0
ticker_1617.T_gap,0
ticker_1617.T_gap_idio,0
ticker_1617.T_score_x_gap,0
ticker_1617.T_score_x_gap_idio,0
ticker_1618.T_score,0
ticker_1618.T_gap,0
ticker_1633.T_score_x_gap_idio,0
ticker_1632.T_gap,0
ticker_1633.T_score_x_gap,0
ticker_1633.T_gap_idio,0
ticker_1633.T_gap,0
ticker_1633.T_score,0
ticker_1632.T_score_x_gap_idio,0
ticker_1619.T_score,0
ticker_1632.T_gap_idio,0
ticker_1628.T_gap,0
ticker_1628.T_score,0
ticker_1627.T_score_x_gap_idio,0
ticker_1623.T_gap,0
ticker_1622.T_score_x_gap_idio,0
ticker_1622.T_score_x_gap,0
ticker_1622.T_gap_idio,0
ticker_1622.T_gap,0
ticker_1622.T_score,0
ticker_1621.T_score_x_gap_idio,0
ticker_1621.T_score_x_gap,0
ticker_1621.T_gap_idio,0
ticker_1621.T_gap,0
ticker_1621.T_score,0
ticker_1620.T_score_x_gap_idio,0
ticker_1620.T_score_x_gap,0
ticker_1620.T_gap_idio,0
ticker_1620.T_gap,0
ticker_1620.T_score,0
ticker_1619.T_score_x_gap_idio,0
ticker_1619.T_score_x_gap,0
ticker_1619.T_gap_idio,0
ticker_1619.T_gap,0
ticker_1623.T_score,0
ticker_1623.T_gap_idio,0
ticker_1627.T_score_x_gap,0
ticker_1623.T_score_x_gap,0
ticker_1627.T_gap_idio,0
ticker_1627.T_gap,0
ticker_1627.T_score,0
ticker_1626.T_score_x_gap_idio,0
ticker_1626.T_score_x_gap,0
ticker_1618.T_score_x_gap,0
ticker_1626.T_gap,0
ticker_1626.T_score,0
ticker_1625.T_score_x_gap_idio,0
ticker_1625.T_score_x_gap,0
ticker_1625.T_gap_idio,0
ticker_1625.T_gap,0
ticker_1625.T_score,0
ticker_1624.T_score_x_gap_idio,0
ticker_1624.T_score_x_gap,0
ticker_1624.T_gap_idio,0
ticker_1624.T_gap,0
ticker_1624.T_score,0
ticker_1623.T_score_x_gap_idio,0
ticker_1626.T_gap_idio,0
