trade_date,daily_return,long_ret,short_ret,sigma_s,dispersion_indicator,scale,signal_mode,gap_open_coef,dispersion_metric,signal_mean,signal_std,weight_concentration,active_count,gap_mean,gap_std
2026-01-05,-0.003472203528838036,0.00282562648694176,-0.006297830015779797,0.07104432309579918,0.013156361325617903,1.0,gap_residual,0.7,long_short_mean_gap,-0.006451306105120489,0.005454181263149449,0.650957919268584,10,0.011378896125416682,0.007397071246865408
2026-01-06,0.012881964793360231,0.019026930700022954,-0.0061449659066627246,0.5963948044128378,0.016001151502396102,1.0,gap_residual,0.7,long_short_mean_gap,-0.002405132923275636,0.007128829086815808,0.7315361387191246,10,0.006434210092820819,0.00879605404810137
2026-01-07,0.008206188198088762,-0.0010870638407665873,0.009293252038855348,0.18121313432015304,0.012314119994856213,1.0,gap_residual,0.7,long_short_mean_gap,0.005656787940948462,0.005127323225094331,0.6596122527097371,10,-0.005160152272013738,0.006511592390634879
2026-01-08,0.0003614680680344586,-0.006650908384593402,0.007012376452627861,0.29158472235347815,0.012873152683221756,1.0,gap_residual,0.7,long_short_mean_gap,0.002334983939673876,0.00540621203844853,0.6807541682324064,10,-0.00028033374315158466,0.005491029126595601
2026-01-09,-0.004602101636263175,0.007263687780057652,-0.011865789416320827,0.3228826448210431,0.011632109378377796,1.0,gap_residual,0.7,long_short_mean_gap,0.00039053682385631534,0.005176583187043374,0.6761959839842678,10,0.00253024358448662,0.006582849087645219
2026-01-13,0.015284189451142956,-0.0023838042946826175,0.017667993745825575,0.10806180782601839,0.027361673644515926,1.0,gap_residual,0.7,long_short_mean_gap,-0.01658297137099418,0.011633610178544524,0.6619734825707246,10,0.02699011870814964,0.017568842742726253
2026-01-14,0.008090756426700265,0.005521985410791619,0.002568771015908647,0.24778862089766118,0.011222964706475894,1.0,gap_residual,0.7,long_short_mean_gap,-0.003458273135378904,0.004771022212293708,0.6660274415572939,10,0.00791100103132617,0.008007939459635276
2026-01-15,0.007158661358159636,0.0018314489186394864,0.005327212439520147,0.3391870439677979,0.01642022901798139,1.0,gap_residual,0.7,long_short_mean_gap,-0.0008031251382176707,0.0070297610011748075,0.6712100972888181,10,0.004210984722822638,0.0068855766741202865
2026-01-16,0.007723061496083432,0.005338653281079745,0.0023844082150036874,0.18779965087549202,0.01031489220089949,1.0,gap_residual,0.7,long_short_mean_gap,0.004351318848241327,0.004666194573463972,0.7199856161147706,10,-0.0020062273906135456,0.005346456936621439
2026-01-19,0.010317971258225752,0.007318352260061591,0.00299961899816416,0.11970871369152981,0.013852935720905376,1.0,gap_residual,0.7,long_short_mean_gap,0.004014310683335957,0.006204071787716227,0.7284470871892847,10,-0.0013036449197814496,0.007521702799489531
2026-01-21,0.0068208835135470085,0.006913610652216649,-9.272713866964079e-05,0.26046960390911594,0.012208325428011979,1.0,gap_residual,0.7,long_short_mean_gap,0.008067023263736275,0.0051148078433648665,0.6527867885133883,10,-0.00815722359043991,0.005245651087105033
2026-01-22,0.006539729721469345,-2.0886059831152094e-05,0.006560615781300497,0.20278413443913007,0.013571875992553781,1.0,gap_residual,0.7,long_short_mean_gap,-0.00477946037673923,0.005667249557839614,0.6748330227136781,10,0.01063540203084693,0.006327588496695498
2026-01-23,0.012192239222599141,0.006377839133658983,0.005814400088940157,0.18499027268490545,0.011269108589966622,1.0,gap_residual,0.7,long_short_mean_gap,-9.92523983639158e-05,0.005036357211101937,0.7375103742505503,10,0.003696559613557827,0.005493029981093885
2026-01-26,-3.8498450549717634e-05,-0.0040663527536792836,0.004027854303129567,0.096977467965561,0.01012257514993447,1.0,gap_residual,0.7,long_short_mean_gap,0.010366387555964597,0.004259668338187412,0.6901269474264542,10,-0.011317592895173867,0.006110401528547352
2026-01-27,0.014469101141929279,0.00784167801301839,0.006627423128910889,0.12678638050764268,0.011404518355861537,1.0,gap_residual,0.7,long_short_mean_gap,0.004707324901509504,0.005219475033084588,0.715060235706594,10,-0.0034262238294598697,0.006853477770396553
2026-01-28,0.0013096134580291257,-0.010226362689262638,0.011535976147291762,0.1794053348495862,0.012449627832010934,1.0,gap_residual,0.7,long_short_mean_gap,0.0018943130895022948,0.005439304510912836,0.6886664566577205,10,-0.004278226296051921,0.007832864660548914
2026-01-29,0.021702074480448696,0.018842262975286066,0.0028598115051626277,0.17596775441167928,0.011628520610395921,1.0,gap_residual,0.7,long_short_mean_gap,0.0029759947155876786,0.005087871826397531,0.7132925057059912,10,-0.00035444331330199385,0.007518623561424083
2026-01-30,0.008847959838804565,0.011731049318489806,-0.0028830894796852418,0.2642891903501771,0.01135868008560581,1.0,gap_residual,0.7,long_short_mean_gap,0.0022030108230736666,0.004660322332014279,0.6540334154839899,10,0.002265571498915251,0.005549326249276687
2026-02-02,0.0036558533852981776,-0.01639783457332354,0.020053687958621714,0.2856708644850008,0.01627563424660672,1.0,gap_residual,0.7,long_short_mean_gap,-0.0004984597355028222,0.007964578469562163,0.7655756490051548,10,0.009873892860435562,0.00960671313078933
2026-02-03,0.01644083339631606,0.020732817898345825,-0.004291984502029768,0.1396767638501893,0.011912523141065057,1.0,gap_residual,0.7,long_short_mean_gap,0.0002675556375086286,0.004835865779821062,0.649841838939698,10,0.01321781675483662,0.009028674110641732
2026-02-04,0.032391883194767046,0.023910596418844056,0.008481286775922988,0.402702027717278,0.011767514797823009,1.0,gap_residual,0.7,long_short_mean_gap,0.0006370022835789716,0.005162419188612436,0.7285375475194799,10,-0.0003172304142986526,0.0073901361408469785
2026-02-05,-0.0006418883066583201,-0.012332558664735602,0.011690670358077282,0.5128078587682589,0.014130200527071323,1.0,gap_residual,0.7,long_short_mean_gap,-0.002859266404149868,0.006386363036129699,0.6917826188573144,10,0.010575242440276012,0.006649789220570587
2026-02-06,0.009618572837342337,0.013669588708346257,-0.00405101587100392,0.1779257155266434,0.011970851365105006,1.0,gap_residual,0.7,long_short_mean_gap,0.002763049335607572,0.005051575020105536,0.6811175067155065,10,-0.004324548464866531,0.008491603667162518
2026-02-09,0.009474089713841997,-0.007226133172702062,0.01670022288654406,0.2088561555123045,0.010769745107601536,1.0,gap_residual,0.7,long_short_mean_gap,-0.004015464997996223,0.005118044029721775,0.6974093413526573,10,0.03252348016869956,0.012307010446811229
2026-02-10,0.0050612869143692495,0.012286266213615255,-0.007224979299246004,0.15222862395728334,0.011964094983895168,1.0,gap_residual,0.7,long_short_mean_gap,-0.002225608316175001,0.005160943805601331,0.6909367471789659,10,0.013190687763279356,0.007563077449257262
2026-02-12,0.017561499654675482,0.015393891201027465,0.0021676084536480177,0.2524591057119634,0.012976005083225006,1.0,gap_residual,0.7,long_short_mean_gap,0.000662859585325957,0.005692309906065484,0.7198798706450378,10,0.00464635348237567,0.006134499472373678
2026-02-13,0.009093474941967262,-0.0039146745739758616,0.013008149515943125,0.5187688140584633,0.018720091765231817,1.0,gap_residual,0.7,long_short_mean_gap,0.004088369299368857,0.009088867336130508,0.7694286872794227,10,-0.0075023943918989516,0.007035054864032591
2026-02-16,-0.005442330592064211,-0.01719958757885477,0.011757256986790556,0.24656922138491363,0.014142295769098822,1.0,gap_residual,0.7,long_short_mean_gap,-0.0006609982353768626,0.0059274190538867975,0.6842348306025591,10,0.008820714668891306,0.0073363077841143666
2026-02-18,0.008369362216238924,0.009579910152829536,-0.0012105479365906121,0.20254029075741936,0.012937647215225879,1.0,gap_residual,0.7,long_short_mean_gap,0.0005444584076520617,0.005367302776918531,0.6766138217193581,10,0.008212944685924314,0.00605730291434478
2026-02-19,0.006230483264865437,0.00687426085267581,-0.0006437775878103738,0.3013445843481681,0.008539906256982333,1.0,gap_residual,0.7,long_short_mean_gap,0.0020999527676709363,0.003681150237258554,0.6861834453757618,10,0.004960277071304694,0.004913453215168777
2026-02-20,-0.0018737563891068052,-0.007586098395806922,0.0057123420067001175,0.06863770601086633,0.009143354758314093,1.0,gap_residual,0.7,long_short_mean_gap,0.0025118510183161653,0.004054272453415206,0.7152297071828168,10,-0.004475961060483039,0.005161335092494931
2026-02-24,0.0015334111343403359,-0.00394744177394257,0.005480852908282906,0.18758111012465797,0.013621683424696919,1.0,gap_residual,0.7,long_short_mean_gap,0.00190992087984358,0.005913984183867569,0.6932881566581511,10,0.0018814530558285349,0.006704490353041394
2026-02-25,-0.003972207200314238,-0.004064249145260563,9.204194494632557e-05,0.3545860684162697,0.01844389972693581,1.0,gap_residual,0.7,long_short_mean_gap,0.00035714317973005856,0.008244095063642615,0.7237375777460633,10,0.007733320265689612,0.007879021616350668
2026-02-26,0.018797130417099232,0.0009166696969705409,0.017880460720128694,0.2802863231383913,0.016528696359817862,1.0,gap_residual,0.7,long_short_mean_gap,0.0009588021628711548,0.0070298700237038155,0.6700772009357412,10,0.009844734688930767,0.01037460343009066
2026-02-27,0.019649341355682512,0.019587780276479474,6.156107920303895e-05,0.15198442101976986,0.01341268502090951,1.0,gap_residual,0.7,long_short_mean_gap,0.00047876068556155816,0.00612503516785269,0.7430546913336944,10,0.004468753277614116,0.006320926405128197
2026-03-02,0.02541353676485976,0.007658779455629389,0.017754757309230366,0.33141826939503016,0.028451201624040044,1.0,gap_residual,0.7,long_short_mean_gap,-0.00225355715604297,0.015235805460996099,0.7484596088972474,10,-0.006186632575480518,0.0261629399304796
2026-03-03,-0.004356366761056713,-0.040607819466738825,0.03625145270568211,0.24022153848960762,0.015757611909568703,1.0,gap_residual,0.7,long_short_mean_gap,0.003698086132150156,0.006975028105883068,0.7299059054999688,10,-0.0053789259861981836,0.010915504207884867
2026-03-04,0.00013460029162020034,-0.014949800681358446,0.015084400972978647,0.19660356836188853,0.018249687884937596,1.0,gap_residual,0.7,long_short_mean_gap,0.005616539607354721,0.008482684912026058,0.7477588744215585,10,-0.019638323037275626,0.01272612304941156
2026-03-05,0.021696076251487246,-0.0058168271043333225,0.027512903355820566,0.27875169342653416,0.01720851758807278,1.0,gap_residual,0.7,long_short_mean_gap,-0.008816035529216268,0.007623402379699311,0.7004084374308179,10,0.03911713114799777,0.015846236356191527
2026-03-06,0.007792699574797571,0.009012559037151285,-0.001219859462353715,0.22462351920608833,0.010145531976578904,1.0,gap_residual,0.7,long_short_mean_gap,0.001343313141591052,0.004417091878489152,0.6674748961856214,10,-0.007495926408117163,0.006510155947688198
2026-03-09,0.03776933063599252,0.02125784115558005,0.016511489480412467,0.21288727106563246,0.02761865800062739,1.0,gap_residual,0.7,long_short_mean_gap,0.005348091735262674,0.011691050129940912,0.673343398189102,10,-0.04341029038896841,0.018195504593292732
2026-03-10,0.013413762155519595,0.00210550440964757,0.011308257745872026,0.2372231351606195,0.01769686740100842,1.0,gap_residual,0.7,long_short_mean_gap,-0.005115474674437704,0.007678675671060755,0.7058131147808991,10,0.023696426896656526,0.0135707889949648
