ticker,mean_volume,mean_adv_jpy,median_adv_jpy,mean_spread_bps
1617.T,90.78028647730032,2719420.713765477,517920.0,6.886762597356033
1618.T,438.965768390386,8109976.718863802,2220000.0,9.29071042649683
1619.T,253.69458606457877,5849336.394756009,1287720.0,7.175299565211175
1620.T,110.22286962855063,2457367.549162418,332400.0,6.744341175866583
1621.T,316.33454722019906,6700700.452779801,2672280.0,6.62701479674459
1622.T,388.2500606943433,9086654.019179413,2486000.0,7.193829709972875
1623.T,298.63753338188883,11752857.481184753,963200.0,8.037275599307266
1624.T,107.43918426802622,4637560.718621025,488400.0,7.116164182916457
1625.T,251.36780772032046,6409619.963583394,960300.0,7.9318531059249775
1626.T,141.23743627093955,3150426.0864287447,527400.0,7.435403594481606
1627.T,948.505705268269,8212451.096382617,2163690.0,4.879919285135566
1628.T,283.1189609128429,4601004.923525128,285570.0,8.832810073385753
1629.T,302445.591405681,24647518.634698715,1682450.0,38.826744880669715
1630.T,106.47972808934207,2577250.1505219713,117240.0,7.405843067999282
1631.T,1366.3129400339888,20846531.927652344,4113824.0,7.924494774252105
1632.T,338.1612041757708,7066081.5537751885,818670.0,10.241338819795022
1633.T,266.8402524884681,8560672.135226997,2264400.0,6.877412216724254
