trade_date,beta_exposure,gross_exposure,net_exposure,strategy_return
2009-07-10,0.35415476004313207,2.0,0.0,-0.006744706224878645
2009-07-13,0.06486074829024599,2.0,1.5265566588595902e-16,-0.006680709862712646
2009-07-14,-0.7364338670055282,2.0,-8.326672684688674e-17,-0.011362631194881517
2009-07-15,-0.1424237425628968,2.0,0.0,0.0022476334298937514
2009-07-16,0.3673893002227284,2.0,-8.326672684688674e-17,0.013028640884716922
2009-07-17,0.042084889533220815,2.0,-5.551115123125783e-17,-0.012928456933735621
2009-07-21,-0.24330356008512255,2.0,-2.7755575615628914e-17,0.0017039069547761044
2009-07-22,0.45481850267432133,2.0,5.551115123125783e-17,-0.003145102268411687
2009-07-23,0.1396740651161651,2.0000000000000004,1.8778381627448937e-16,-0.006822181361003366
2009-07-24,-0.5341558140225494,2.0,0.0,0.004993717904506304
2009-07-27,-0.37027535594614314,2.0,2.7755575615628914e-17,-0.0024003342722881548
2009-07-28,0.9420915090157338,2.0,0.0,0.005499122116433639
2009-07-29,0.4355104938090549,2.0,0.0,-0.0016480804119280643
2009-07-30,-0.3481567801195796,2.0,4.8138576458356397e-17,0.012395527707637228
2009-07-31,-0.5079475681998367,2.0,0.0,0.0002501420039000466
2009-08-03,0.4342071662735977,2.0,0.0,0.005019884451036006
2009-08-04,-0.12006415250682484,2.0,1.6653345369377348e-16,0.024106113021083873
2009-08-05,-0.393862053290912,1.9999999999999998,2.7755575615628914e-17,0.013888369406265224
2009-08-06,0.35032464611096104,2.0,0.0,-0.02055636148055959
2009-08-07,0.30410281049078913,2.0,0.0,-0.0016322451627442001
2009-08-10,-0.686635151856329,2.0,0.0,0.004099317767018874
2009-08-11,0.6969301257815717,2.0,1.0516761073109393e-16,0.0004415321466325088
2009-08-12,0.6989918880352165,2.0,0.0,-0.004145281718727068
2009-08-13,-0.08236534148037633,2.0,0.0,0.002623991090664356
2009-08-14,0.1755628888141819,1.9999999999999998,5.551115123125783e-17,0.016797172282532497
2009-08-17,0.7817096196405727,1.9999999999999998,-1.6653345369377348e-16,0.017009521616128353
2009-08-18,-0.10227515084344493,2.0,1.1102230246251565e-16,-0.020703947170235094
2009-08-19,-0.21838925739386322,2.0,-6.938893903907228e-17,-0.00027163005288903877
2009-08-20,-0.16877293025001427,2.0,-5.551115123125783e-17,0.0006745226363621779
2009-08-21,0.054845390134012226,2.0,-2.7755575615628914e-17,0.012640273892953966
2009-08-24,-0.36045506844784325,2.0,-1.3877787807814457e-17,0.0015223223398287502
2009-08-25,0.06542350984065898,2.0,4.163336342344337e-17,0.011454338977488198
2009-08-26,0.516965801361974,2.0,0.0,0.008750335681785675
2009-08-27,0.21607284482206202,2.0,-1.1102230246251565e-16,-0.0001672410041895795
2009-08-28,1.0977232487130704,2.0,-1.1102230246251565e-16,-0.001661868901781779
2009-08-31,-0.2782122605542123,2.0,-5.551115123125783e-17,0.008892477979536177
2009-09-02,1.4945251680812661,2.0,1.1102230246251565e-16,-0.014973452147944266
2009-09-03,0.5039002822081252,2.0,-1.1102230246251565e-16,0.0005573089406397649
2009-09-04,-0.39106243660868417,2.0,-2.7755575615628914e-17,0.002296517292107909
2009-09-07,-0.12019680962122131,2.0,1.1102230246251565e-16,-0.004490633134939284
2009-09-09,-0.1282332698133351,2.0,5.551115123125783e-17,0.0055157946714065025
2009-09-10,0.489708620874843,2.0,-1.214306433183765e-17,-0.005108155487976134
2009-09-11,0.3218844631500385,2.0,1.3877787807814457e-16,-0.0040602745083009395
2009-09-14,0.04427388120479875,2.0,0.0,0.015343245070468296
2009-09-15,-0.0597863661390198,2.0,0.0,0.0018531965512186958
2009-09-16,-0.49398399561185513,2.0,5.551115123125783e-17,0.003914123781891542
2009-09-17,0.07985389391527344,2.0,8.023096076392733e-17,0.004759892872927541
2009-09-18,0.34602696591633153,1.9999999999999998,2.7755575615628914e-17,-0.0025269750903538506
2009-09-24,0.19234825055754617,2.0,0.0,0.01640090872988867
2009-09-25,0.024034430204177504,2.0,0.0,-0.004687939985580125
2009-09-28,0.0512598264018988,2.0,-2.7755575615628914e-17,-0.006774239110054887
2009-09-29,0.23304196920881634,1.9999999999999998,-2.220446049250313e-16,-0.0041321066487801615
2009-09-30,0.13304280351322578,2.0,3.642919299551295e-17,0.0019688950154577124
2009-10-01,0.030227764484050304,2.0,2.7755575615628914e-17,-0.0011406553047037023
2009-10-02,0.0052489709120921435,2.0,2.7755575615628914e-17,-0.008711058436868943
2009-10-05,-0.12297944878309897,2.0,0.0,-0.004394846322171177
2009-10-06,-0.18952692161042728,2.0,-2.7755575615628914e-17,-0.00017062985098056243
2009-10-07,-0.5103499292902461,2.0,0.0,-0.023473630739854555
2009-10-08,0.026718758772614398,2.0,-1.1102230246251565e-16,-0.011653763506910577
2009-10-09,-0.3216662657146835,2.0,0.0,0.00418646944876222
2009-10-13,0.0001733695096894916,1.9999999999999998,-1.1102230246251565e-16,0.008094837791962487
2009-10-14,0.48139516279708855,2.0,0.0,0.006444991127506881
2009-10-15,0.08190344293329932,2.0,0.0,-0.009985926307408561
2009-10-16,0.0365156600755534,2.0,2.7755575615628914e-17,0.00457666087324583
2009-10-19,-0.31132611118478604,2.0,-5.551115123125783e-17,-0.015094138660484775
2009-10-20,0.05773427730077252,2.0,-1.1102230246251565e-16,0.012545127587851755
2009-10-21,0.13476925236196824,2.0,-5.551115123125783e-17,0.007428679815721631
