trade_date,long_pnl,short_pnl,long_gross,short_gross
2009-07-10,-0.02668569073655339,0.019940984511674743,1.0,1.0
2009-07-13,-0.015510177166861747,0.0088294673041491,1.0000000000000002,0.9999999999999999
2009-07-14,-0.00782837119847528,-0.0035342599964062376,1.0,1.0
2009-07-15,-0.004135666729335607,0.006383300159229359,1.0,1.0
2009-07-16,-0.0006430628866864026,0.013671703771403323,1.0,1.0
2009-07-17,-0.009959380522820156,-0.002969076410915464,1.0,1.0
2009-07-21,0.001212963304536095,0.0004909436502400096,1.0,1.0
2009-07-22,-0.0011279995396664007,-0.002017102728745286,1.0,1.0
2009-07-23,-0.0037715620135357125,-0.003050619347467654,1.0000000000000002,1.0
2009-07-24,0.00015525958055911818,0.004838458323947185,1.0,1.0
2009-07-27,-0.0037163745197044138,0.0013160402474162586,1.0,1.0
2009-07-28,0.006806668632743761,-0.001307546516310122,1.0,1.0
2009-07-29,2.201705821545994e-05,-0.001670097470143524,1.0,1.0
2009-07-30,0.009849076661569737,0.0025464510460674918,1.0,1.0
2009-07-31,0.0017327286845854931,-0.0014825866806854463,1.0,1.0
2009-08-03,0.0022005924972542225,0.0028192919537817834,1.0,1.0
2009-08-04,0.011423225145110337,0.012682887875973535,1.0,1.0
2009-08-05,-0.004337306198444752,0.018225675604709977,1.0,1.0
2009-08-06,-0.02145129554419624,0.0008949340636366506,1.0,1.0
2009-08-07,-0.004009830075157943,0.002377584912413744,1.0,1.0
2009-08-10,0.000769679264429903,0.0033296385025889707,1.0,1.0
2009-08-11,0.0010226025604561531,-0.0005810704138236441,1.0,1.0
2009-08-12,-0.004804340311852608,0.0006590585931255396,1.0000000000000002,1.0
2009-08-13,0.00216645618031912,0.0004575349103452357,1.0000000000000002,1.0
2009-08-14,0.019473948601333668,-0.0026767763188011717,1.0,1.0
2009-08-17,0.005880165143725296,0.011129356472403054,0.9999999999999999,1.0
2009-08-18,-0.014686039922500088,-0.006017907247735004,1.0000000000000002,1.0
2009-08-19,-0.0029809562119777616,0.0027093261590887233,1.0,1.0
2009-08-20,0.0020262908062087257,-0.0013517681698465474,0.9999999999999999,1.0
2009-08-21,0.00032932032522211733,0.012310953567731849,1.0,1.0
2009-08-24,0.0016349997275858013,-0.00011267738775705112,1.0,1.0
2009-08-25,0.008963933733364798,0.0024904052441233997,1.0,1.0
2009-08-26,0.007761070932144806,0.0009892647496408675,1.0,1.0
2009-08-27,-0.005395748817310739,0.005228507813121159,0.9999999999999999,1.0
2009-08-28,-0.0021604159262478065,0.0004985470244660277,1.0,1.0
2009-08-31,-0.002421128257372466,0.011313606236908642,1.0,1.0
2009-09-02,-0.017448788066802827,0.0024753359188585617,1.0,1.0
2009-09-03,0.0008821237275706344,-0.00032481478693086973,1.0,1.0
2009-09-04,-0.0027236097721384245,0.005020127064246333,1.0,1.0
2009-09-07,-0.006644643594781044,0.0021540104598417606,1.0,1.0
2009-09-09,0.0017230862613006321,0.00379270841010587,1.0,1.0
2009-09-10,-0.0033479599118806853,-0.001760195576095449,1.0,1.0
2009-09-11,-0.007012120133821387,0.0029518456255204473,1.0,1.0
2009-09-14,-1.6062204702395984e-05,0.015359307275170694,1.0,1.0
2009-09-15,-0.000549602237694303,0.0024027987889129986,1.0,1.0
2009-09-16,9.319077676936135e-05,0.0038209330051221808,1.0,1.0
2009-09-17,0.001350594052815498,0.0034092988201120432,1.0,1.0
2009-09-18,-0.004836581469317164,0.0023096063789633126,1.0,1.0
2009-09-24,0.016341204986143568,5.9703743745104926e-05,1.0,0.9999999999999999
2009-09-25,-0.009289259759419551,0.004601319773839428,1.0,1.0
2009-09-28,-0.013637415952977811,0.006863176842922926,1.0,1.0
2009-09-29,-0.001749939308433959,-0.0023821673403462027,0.9999999999999999,1.0
2009-09-30,-2.4514731308292328e-05,0.0019934097467660043,1.0000000000000002,1.0
2009-10-01,-0.0015670270873836827,0.00042637178267998,1.0,1.0
2009-10-02,-0.012792103018709625,0.004081044581840683,1.0,1.0
2009-10-05,-0.009015816042450976,0.0046209697202798,1.0,1.0
2009-10-06,0.00037244171096770544,-0.0005430715619482679,1.0,1.0
2009-10-07,-0.0006632847358062156,-0.022810346004048337,1.0,1.0
2009-10-08,-0.012747157864650667,0.0010933943577400912,1.0,1.0
2009-10-09,0.0005525772088405411,0.003633892239921679,1.0,1.0
2009-10-13,0.0015276146908475496,0.006567223101114938,0.9999999999999999,1.0
2009-10-14,0.006869797498209049,-0.0004248063707021682,1.0,1.0
2009-10-15,-0.004577750832264176,-0.005408175475144385,1.0,0.9999999999999999
2009-10-16,-0.004894149791759287,0.009470810665005117,1.0,1.0
2009-10-19,0.0006528051009117614,-0.015746943761396535,0.9999999999999999,1.0
2009-10-20,0.010608056428413268,0.001937071159438487,1.0,1.0
2009-10-21,0.0027997162744222677,0.004628963541299364,1.0,1.0
2009-10-22,-0.002177841264170594,0.0022541610898888695,1.0,1.0
2009-10-23,-0.0017449981859870443,0.0019254458229049183,0.9999999999999999,1.0
2009-10-26,0.006374180795624226,-9.131286066059671e-05,1.0,1.0
2009-10-27,-0.010145048209108748,0.0028548975302194993,1.0,1.0
2009-10-28,-0.002408942623390614,0.0010565750820170886,1.0,1.0
2009-10-29,-0.004249229910872748,-0.012969047751466395,1.0,1.0
2009-10-30,0.01570196670621002,-0.001403258707771863,1.0,1.0
2009-11-02,-0.0033131937464234386,-0.0016851892047056848,1.0,1.0
2009-11-04,0.0038045694902856626,-0.0032174521010327377,1.0,1.0
2009-11-05,-0.004550022781653885,0.0031423439242140245,1.0,1.0
2009-11-06,-0.009821699453717294,0.013091431320653234,1.0,1.0
2009-11-09,-0.0024421587795994005,0.011676874890437578,1.0,0.9999999999999999
2009-11-10,0.0028317421944100713,0.006697137459472162,1.0,0.9999999999999999
2009-11-11,-0.0020025974677124686,0.00671183087611718,1.0,1.0
