ex_ante_bin,mean_ex_ante_ir,realized_mean_return_ann,realized_vol_ann,realized_ir,count
Low,0.8336199979388532,0.7634487036222792,0.1158138212854665,6.592034483867641,483
Medium,1.3820931984893854,1.1440459531744633,0.13285741697414705,8.611080805500572,482
High,2.482742122836856,2.1765568610452144,0.18819075217215303,11.56569510415764,482
