model,spread_bps,annualized_net_return,IR,max_drawdown
net_score_ranking,5,0.3449072462235058,7.556689500317976,-0.01561527479167279
hinge_ridge_overlay,5,0.3476512512233231,7.614095681492098,-0.01606377245258927
hinge_elasticnet_overlay,5,0.34632577211249704,7.587224135425511,-0.01618899626806576
net_score_ranking,10,0.3389072462235058,7.425233471201885,-0.015685957078960217
hinge_ridge_overlay,10,0.341651251223323,7.482686477790984,-0.016626247802874923
hinge_elasticnet_overlay,10,0.34032577211249704,7.455777536649819,-0.016751403019310766
net_score_ranking,15,0.3329072462235058,7.293777442085795,-0.0160217338808591
hinge_ridge_overlay,15,0.33565125122332307,7.351277274089871,-0.017188414999782863
hinge_elasticnet_overlay,15,0.3343257721124971,7.324330937874128,-0.017313501653125653
net_score_ranking,20,0.3269072462235058,7.162321412969704,-0.016584232201605393
hinge_ridge_overlay,20,0.32965125122332306,7.219868070388758,-0.01775027420480094
hinge_elasticnet_overlay,20,0.32832577211249697,7.192884339098434,-0.01787529233097843
net_score_ranking,30,0.3149072462235058,6.899409354737522,-0.017708304508440145
hinge_ridge_overlay,30,0.3176512512233231,6.957049662986531,-0.01887306928470502
hinge_elasticnet_overlay,30,0.3163257721124971,6.9299911415470525,-0.018997950464265848
net_score_ranking,50,0.29090724622350583,6.37358523827316,-0.021045087297069824
hinge_ridge_overlay,50,0.29365125122332303,6.4314128481820765,-0.02251897229353523
hinge_elasticnet_overlay,50,0.29232577211249705,6.404204746444285,-0.02234278391338858
