date,window_id,baseline_rank_ic,hinge_ridge_rank_ic,hinge_elasticnet_rank_ic
2010-11-12,0,0.5148387480626735,0.5148387480626735,0.5148387480626735
2010-11-15,0,0.2509001552457287,0.2509001552457287,0.2509001552457287
2010-11-16,0,0.27559985423226324,0.27559985423226324,0.27559985423226324
2010-11-17,0,0.31846487764924103,0.31846487764924103,0.31846487764924103
2010-11-18,0,0.2630475418284616,0.2630475418284616,0.2630475418284616
2010-11-19,0,0.35486602341009443,0.35486602341009443,0.35486602341009443
2010-11-22,0,0.29530808941119746,0.29530808941119746,0.29530808941119746
2010-11-24,0,0.42158602695271474,0.42158602695271474,0.42158602695271474
2010-11-25,0,-0.11677045513805502,-0.11677045513805502,-0.11677045513805502
2010-11-29,0,0.34712424448199464,0.34712424448199464,0.34712424448199464
2010-11-30,0,0.5158842526688932,0.5158842526688932,0.5158842526688932
2010-12-01,0,-0.0803007899751981,-0.0803007899751981,-0.0803007899751981
2010-12-02,0,0.4246480184750519,0.4246480184750519,0.4246480184750519
2010-12-03,0,0.564138668757121,0.564138668757121,0.564138668757121
2010-12-06,0,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007
2010-12-07,0,0.1293896029259452,0.1293896029259452,0.1293896029259452
2010-12-08,0,0.14056987254490005,0.14056987254490005,0.14056987254490005
2010-12-09,0,0.1816341081972936,0.1816341081972936,0.1816341081972936
2010-12-10,0,0.4241257018138756,0.4241257018138756,0.4241257018138756
2010-12-13,0,-0.28435132800541824,-0.28435132800541824,-0.28435132800541824
2010-12-14,0,0.43980476732558327,0.43980476732558327,0.43980476732558327
2010-12-15,1,0.12904219033094344,0.12904219033094344,0.12904219033094344
2010-12-16,1,0.01523804916696559,0.01523804916696559,0.01523804916696559
2010-12-17,1,-0.03841691243278992,-0.03841691243278992,-0.03841691243278992
2010-12-20,1,0.5449023245918807,0.5449023245918807,0.5449023245918807
2010-12-21,1,0.4734985180459792,0.4734985180459792,0.4734985180459792
2010-12-22,1,-0.08583692600503016,-0.08583692600503016,-0.08583692600503016
2010-12-24,1,0.35683636382091116,0.35683636382091116,0.35683636382091116
2010-12-28,1,0.15486580923788204,0.15486580923788204,0.15486580923788204
2010-12-29,1,0.7430847145148957,0.7430847145148957,0.7430847145148957
2010-12-30,1,0.5318627450980392,0.5318627450980392,0.5318627450980392
2011-01-04,1,0.008631483401879829,0.008631483401879829,0.008631483401879829
2011-01-05,1,-0.03809512291741398,-0.03809512291741398,-0.03809512291741398
2011-01-06,1,0.35512388853448434,0.35512388853448434,0.35512388853448434
2011-01-07,1,-0.06889569621276653,-0.06889569621276653,-0.06889569621276653
2011-01-11,1,-0.1980946391705527,-0.1980946391705527,-0.1980946391705527
2011-01-12,1,0.451647666158302,0.451647666158302,0.451647666158302
2011-01-13,1,0.15238049166965592,0.15238049166965592,0.15238049166965592
