model,spread_bps,annualized_net_return,IR,max_drawdown
baseline_current,5,0.4451655903995358,6.031943410823653,-0.0406345267959176
baseline_current,10,0.34154780718759287,4.6382354415527205,-0.09788983850791376
baseline_current,15,0.2379300239756499,3.236821139383929,-0.2281155724677127
baseline_current,20,0.13431224076370699,1.8295894373910073,-0.3508776642633968
baseline_current,30,-0.07292332566017888,-0.994574334896449,-0.7442940597051202
baseline_current,50,-0.48739445850795066,-6.6265890926751885,-0.9995889282227104
net_alpha_filter,5,0.45371104576191995,6.124497567263033,-0.04125539871490605
net_alpha_filter,10,0.3552531689812776,4.801559562895015,-0.06130361653613082
net_alpha_filter,15,0.2600738744193693,3.512590990833766,-0.18081051019846825
net_alpha_filter,20,0.17003158155770082,2.3011769745197137,-0.2718161785057234
net_alpha_filter,30,0.020591729958987632,0.27863588692888314,-0.4234058537896183
net_alpha_filter,50,-0.17424734181985826,-2.405172496887856,-0.9412073688620372
net_score_ranking,5,0.45957689952361735,6.123411489488448,-0.040088780630163516
net_score_ranking,10,0.3677691062004637,4.856557055286506,-0.06362265466122702
net_score_ranking,15,0.28093733583651903,3.6762341613202767,-0.1416125790871595
net_score_ranking,20,0.20907270773814954,2.720291688224519,-0.2229438311113647
net_score_ranking,30,0.08738625909538605,1.1448427171779474,-0.3125242353615733
net_score_ranking,50,-0.0493053654290205,-0.7391485899811551,-0.6052276517603014
cost_aware_mvo,5,0.5824518322652936,6.183280935317177,-0.06378420405137704
cost_aware_mvo,10,0.4569205448587736,4.852644583601653,-0.1558740971797518
cost_aware_mvo,15,0.33380117897646394,3.5475990722590516,-0.30212868706370666
cost_aware_mvo,20,0.20912174109397802,2.223076348507357,-0.43610721923909374
cost_aware_mvo,30,-0.03007100475887681,-0.32076329435573603,-0.6608986244965941
cost_aware_mvo,50,-0.44697650148001516,-4.847265452596665,-0.9992452481294136
cost_aware_mvo_beta_neutral,5,0.5306900715332153,6.024047666394677,-0.0711398300276783
cost_aware_mvo_beta_neutral,10,0.40590565880262364,4.61078346227592,-0.14396664926672176
cost_aware_mvo_beta_neutral,15,0.28098292953997345,3.191264097830361,-0.3129233984804188
cost_aware_mvo_beta_neutral,20,0.15869688890244782,1.8043098260845745,-0.4663736822812932
cost_aware_mvo_beta_neutral,30,-0.07602590766052321,-0.8675981997051995,-0.7663631885591116
cost_aware_mvo_beta_neutral,50,-0.4819395179071311,-5.594664041326388,-0.9995576861390636
integer_rounded_mvo,5,0.5306900715332153,6.024047666394677,-0.0711398300276783
integer_rounded_mvo,10,0.40590565880262364,4.61078346227592,-0.14396664926672176
integer_rounded_mvo,15,0.28098292953997345,3.191264097830361,-0.3129233984804188
integer_rounded_mvo,20,0.15869688890244782,1.8043098260845745,-0.4663736822812932
integer_rounded_mvo,30,-0.07602590766052321,-0.8675981997051995,-0.7663631885591116
integer_rounded_mvo,50,-0.4819395179071311,-5.594664041326388,-0.9995576861390636
