model,rounding_error,avg_realized_gross,avg_realized_net
baseline_current,0.0027932183664224025,0.822363358824944,-0.0002931410623936076
net_alpha_filter,0.0,0.0,0.0
net_score_ranking,0.0,0.0,0.0
cost_aware_mvo,0.001636814077326951,0.9973764767230456,-0.0006161698676525418
cost_aware_mvo_beta_neutral,0.001911809268572909,0.9963015077972961,-0.00021766077220030763
integer_rounded_mvo,0.001911809268572909,0.9963015077972961,-0.00021766077220030763
