model,avg_long_names,avg_short_names,trade_skipped_days,zero_position_days
baseline_current,4.870467616904226,4.901475368842211,0,0
net_alpha_filter,4.094273568392098,4.338334583645912,118,121
net_score_ranking,3.841960490122531,4.138784696174043,146,148
cost_aware_mvo,4.022505626406602,3.9617404351087777,0,0
cost_aware_mvo_beta_neutral,4.379094773693423,4.297074268567142,0,0
integer_rounded_mvo,4.379094773693423,4.297074268567142,0,0
