,y_res_cc,y_res_intraday,r_intraday
Lag -2,0.009141366836986886,0.009996680337022324,0.010367073189703072
Lag -1,0.11748573291519472,0.10345006108074081,0.10183451742124948
Lag 0,-0.4281385907452339,0.1894540423371239,0.20112570416443523
Lag 1,0.04031437351321416,0.01356963739321567,0.010858789941109183
Lag 2,0.005910952090720976,0.002098446203015526,0.0007962318034750726
