Trade Date,Long Tickers,Short Tickers,Long PnL (bps),Short PnL (bps),Total PnL (bps),Gross Exposure
2026-05-21,"1622, 1624, 1628, 1630, 1632","1621, 1623, 1627, 1629, 1633",-65.41905532938894,142.15884265433792,76.73978732494898,1.9999999999999991
2026-05-22,"1618, 1624, 1626, 1631, 1633","1619, 1621, 1622, 1623, 1630",-10.024051396127806,33.16095697570536,23.136905579577554,1.9999999999999996
2026-05-25,"1618, 1620, 1627, 1628, 1631","1619, 1622, 1623, 1624, 1625",-58.18282940240069,-69.84954216946673,-128.03237157186746,1.9999999999999996
2026-05-27,"1618, 1623, 1624, 1627, 1631","1617, 1621, 1622, 1625, 1632",-64.65683927623382,78.22497652365102,13.568137247417198,1.9999999999999993
2026-05-28,"1618, 1623, 1624, 1625, 1629","1617, 1619, 1620, 1627, 1628",99.76986535320638,107.02069049183903,206.79055584504545,1.9999999999999996
