trade_date,daily_return,daily_return_gross,daily_return_renorm,daily_return_renorm_gross,long_ret,short_ret,slippage_cost,gross_exposure,gross_exposure_renorm,net_exposure,net_exposure_renorm,n_long_filled,n_short_filled,n_long_total,n_short_total,n_filled
2015-01-05,-0.0006643781789059929,0.0005816872742558292,0.00042956606552586657,0.0024295660655258666,-2.1414326630987474e-05,0.0006031016008868166,0.001246065453161822,1.246065453161822,2.0,0.7539345468381778,-1.1102230246251565e-16,5,1,5,5,6
2015-01-06,-0.011667828799275425,-0.010667828799275424,-0.011667828799275425,-0.010667828799275424,-0.010667828799275424,0.0,0.001,1.0,1.0,1.0,1.0,5,0,5,5,5
2015-01-07,0.007865265819883288,0.009789522720255375,0.007434062558250342,0.009434062558250342,0.01412703345264502,-0.004337510732389646,0.0019242569003720864,1.9242569003720864,2.0,0.07574309962791362,1.3877787807814457e-16,5,4,5,5,9
2015-01-08,0.008319632223645982,0.009550275502129266,0.02230372096080365,0.024303720960803653,0.004422893742716224,0.005127381759413043,0.0012306432784832827,1.2306432784832826,2.0,-0.7693567215167174,0.0,1,5,5,5,6
2015-01-09,0.0058862252045908305,0.007680589267746354,0.005680589267746354,0.007680589267746354,0.0,0.007680589267746354,0.0017943640631555243,1.7943640631555242,2.0,-0.2056359368444759,0.0,2,5,5,5,7
2015-01-13,0.0029985086364616954,0.0041589334744667385,0.0020931234788963424,0.0040931234788963424,0.004171508355616637,-1.2574881149898482e-05,0.001160424838005043,1.1604248380050428,2.0,0.8395751619949571,0.0,5,1,5,5,6
2015-01-14,0.008184195770313298,0.010146140592723615,0.008485058908949045,0.010485058908949045,0.0015790876931608365,0.008567052899562777,0.0019619448224103163,1.9619448224103162,1.9999999999999996,0.03805517758968377,-5.551115123125783e-17,5,4,5,5,9
2015-01-15,0.00131391248660386,0.00331391248660386,0.0013139124866038605,0.003313912486603861,0.006212701200386232,-0.002898788713782372,0.002,2.0,2.0000000000000004,0.0,2.220446049250313e-16,5,5,5,5,10
2015-01-16,-0.005910687087249297,-0.004301022527856239,-0.009108548217633248,-0.0071085482176332475,8.404921961590857e-05,-0.004385071747472147,0.0016096645593930582,1.609664559393058,2.0,0.3903354406069417,0.0,5,2,5,5,7
2015-01-19,-0.0016636333216994276,6.319661570352718e-05,-0.0021673351304610285,-0.0001673351304610287,-0.0006133811774291785,0.0006765777931327056,0.0017268299374029548,1.7268299374029548,2.0,-0.27317006259704524,-2.7755575615628914e-17,3,5,5,5,8
2015-01-21,0.00010699760056509153,0.0018757986302435758,0.001566614215597761,0.003566614215597761,-0.0037466345545107763,0.005622433184754352,0.0017688010296784842,1.7688010296784842,2.0,0.2311989703215157,0.0,5,3,5,5,8
2015-01-22,-0.0015693798238561225,0.0004306201761438775,-0.0015693798238561225,0.0004306201761438775,-0.0030939608350511617,0.0035245810111950394,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-01-23,0.002869971336056409,0.004304175004173872,0.004237860348953598,0.006237860348953598,0.0014839496518027032,0.002820225352371168,0.0014342036681174626,1.4342036681174626,2.0,-0.5657963318825373,0.0,1,5,5,5,6
2015-01-26,-0.0013582582246884222,0.0005339432130992174,-0.002271836907032654,-0.00027183690703265397,0.0072030319928373205,-0.006669088779738103,0.0018922014377876395,1.8922014377876395,2.0,0.10779856221236045,0.0,5,3,5,5,8
2015-01-27,0.00699168541756758,0.008816973542899773,0.009019978709819179,0.011019978709819179,0.010406356223702364,-0.0015893826808025932,0.0018252881253321923,1.8252881253321922,2.0,-0.17471187466780794,-1.1102230246251565e-16,3,5,5,5,8
2015-01-28,0.004904021399958738,0.0067959869643196245,0.004497029040256159,0.006497029040256159,0.00926427563431555,-0.002468288669995927,0.0018919655643608866,1.8919655643608866,2.0,0.10803443563911341,-1.1102230246251565e-16,5,4,5,5,9
