trade_date,daily_return,daily_return_gross,daily_return_renorm,daily_return_renorm_gross,long_ret,short_ret,slippage_cost,gross_exposure,gross_exposure_renorm,net_exposure,net_exposure_renorm,n_long_filled,n_short_filled,n_long_total,n_short_total,n_filled
2015-01-05,-0.000579564350068192,0.0009365568509830677,-0.00016531700750746633,0.0018346829924925337,-2.1414326630987474e-05,0.0009579711776140551,0.0015161212010512597,1.5161212010512597,2.0,0.4838787989487401,-1.1102230246251565e-16,5,2,5,5,7
2015-01-06,-0.011667828799275425,-0.010667828799275424,-0.011667828799275425,-0.010667828799275424,-0.010667828799275424,0.0,0.001,1.0,1.0,1.0,1.0,5,0,5,5,5
2015-01-07,0.007481979413853734,0.00940623631422582,0.007019365728964834,0.009019365728964834,0.01412703345264502,-0.004720797138419201,0.0019242569003720864,1.9242569003720864,2.0,0.07574309962791362,1.3877787807814457e-16,5,4,5,5,9
2015-01-08,0.0081652218573,0.009619075935774258,0.013024162221232746,0.015024162221232746,0.004491694176361216,0.005127381759413043,0.0014538540784742573,1.4538540784742573,2.0,-0.5461459215257427,0.0,2,5,5,5,7
2015-01-09,0.005793956875353444,0.007641324426011584,0.00563425182928264,0.00763425182928264,-3.92648417347705e-05,0.007680589267746354,0.0018473675506581408,1.8473675506581406,2.0,-0.1526324493418594,-1.3877787807814457e-17,3,5,5,5,8
2015-01-13,0.0028382315007112104,0.003998656338716254,0.001094044173324927,0.003094044173324927,0.004171508355616637,-0.00017285201690038355,0.001160424838005043,1.1604248380050428,2.0,0.8395751619949571,0.0,5,1,5,5,6
2015-01-14,0.008184195770313298,0.010146140592723615,0.008485058908949045,0.010485058908949045,0.0015790876931608365,0.008567052899562777,0.0019619448224103163,1.9619448224103162,1.9999999999999996,0.03805517758968377,-5.551115123125783e-17,5,4,5,5,9
2015-01-15,0.0011260222664436171,0.003126022266443617,0.0011260222664436176,0.003126022266443618,0.006024810980225989,-0.002898788713782372,0.002,2.0,2.0000000000000004,0.0,2.220446049250313e-16,5,5,5,5,10
2015-01-16,-0.005910687087249297,-0.004301022527856239,-0.009108548217633248,-0.0071085482176332475,8.404921961590857e-05,-0.004385071747472147,0.0016096645593930582,1.609664559393058,2.0,0.3903354406069417,0.0,5,2,5,5,7
2015-01-19,-0.0017809015920069585,-5.40716546040037e-05,-0.002328677233025686,-0.0003286772330256858,-0.0007306494477367094,0.0006765777931327056,0.0017268299374029548,1.7268299374029548,2.0,-0.27317006259704524,-2.7755575615628914e-17,3,5,5,5,8
2015-01-21,0.0007379445600800192,0.002667701219696697,0.0011523058379699753,0.003152305837969975,-0.0037466345545107763,0.0064143357742074735,0.0019297566596166776,1.9297566596166775,1.9999999999999998,0.07024334038332247,0.0,5,4,5,5,9
2015-01-22,-0.0015693798238561225,0.0004306201761438775,-0.0015693798238561225,0.0004306201761438775,-0.0030939608350511617,0.0035245810111950394,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-01-23,0.002869971336056409,0.004304175004173872,0.004237860348953598,0.006237860348953598,0.0014839496518027032,0.002820225352371168,0.0014342036681174626,1.4342036681174626,2.0,-0.5657963318825373,0.0,1,5,5,5,6
2015-01-26,-0.0013582582246884222,0.0005339432130992174,-0.002271836907032654,-0.00027183690703265397,0.0072030319928373205,-0.006669088779738103,0.0018922014377876395,1.8922014377876395,2.0,0.10779856221236045,0.0,5,3,5,5,8
2015-01-27,0.006877888161783885,0.008703176287116077,0.008882090798566502,0.010882090798566502,0.010292558967918673,-0.0015893826808025932,0.0018252881253321923,1.8252881253321922,2.0,-0.17471187466780794,-1.1102230246251565e-16,3,5,5,5,8
2015-01-28,0.004904021399958738,0.0067959869643196245,0.004497029040256159,0.006497029040256159,0.00926427563431555,-0.002468288669995927,0.0018919655643608866,1.8919655643608866,2.0,0.10803443563911341,-1.1102230246251565e-16,5,4,5,5,9
2015-01-29,-0.0011442815657883754,0.0008040042106074354,-0.0012128303875155687,0.0007871696124844313,0.0011127009063863346,-0.0003086966957788993,0.0019482857763958108,1.9482857763958108,2.0,0.05171422360418931,5.551115123125783e-17,5,4,5,5,9
2015-01-30,-0.00492293904536953,-0.0029805839121098336,-0.0050613034847729775,-0.0030613034847729774,-0.0013195711596720296,-0.0016610127524378042,0.0019423551332596958,1.9423551332596958,2.0,-0.057644866740304335,0.0,4,5,5,5,9
2015-02-02,0.0018497870138937038,0.0031324630537799855,0.001360075753487571,0.003360075753487571,0.0030427676578936333,8.969539588635212e-05,0.0012826760398862817,1.2826760398862818,2.0,0.717323960113718,-1.1102230246251565e-16,5,1,5,5,6
2015-02-03,0.011822216571061665,0.013736008920347407,0.010981652257128717,0.012981652257128717,-0.007996104078590218,0.02173211299893762,0.0019137923492857421,1.913792349285742,2.0,-0.08620765071425784,-1.1102230246251565e-16,4,5,5,5,9
2015-02-04,0.00984413149926753,0.011658859473120724,0.011964398469544392,0.013964398469544392,0.010138536044871468,0.0015203234282492543,0.0018147279738531922,1.8147279738531923,2.0,-0.18527202614680766,5.551115123125783e-17,3,5,5,5,8
2015-02-05,0.00040091848152773446,0.002400918481527734,0.00040091848152773446,0.002400918481527734,0.007291012907122709,-0.004890094425594975,0.0019999999999999996,1.9999999999999998,1.9999999999999998,1.3877787807814457e-17,1.3877787807814457e-17,5,5,5,5,10
2015-02-06,0.0006148127877790995,0.0024977363739683437,0.001099506513792846,0.003099506513792846,0.0045382074204483374,-0.002040471046479994,0.0018829235861892442,1.8829235861892442,2.0,-0.11707641381075595,-5.551115123125783e-17,4,5,5,5,9
2015-02-09,0.004063841808193136,0.006063841808193135,0.004063841808193136,0.006063841808193135,-0.0013250519764564654,0.007388893784649601,0.0019999999999999996,1.9999999999999998,1.9999999999999998,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2015-02-10,-0.0055281934166306595,-0.0035281934166306594,-0.0055281934166306595,-0.0035281934166306594,0.0004516944130611086,-0.003979887829691768,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-12,-0.001654746385873386,-0.0003669353816511282,-0.0015235496500891027,0.00047645034991089725,0.0003408304477977952,-0.0007077658294489233,0.0012878110042222578,1.2878110042222577,2.0,-0.7121889957777422,-1.6653345369377348e-16,1,5,5,5,6
2015-02-13,0.0033678243086533305,0.0053678243086533305,0.0033678243086533305,0.0053678243086533305,-0.00040240113022993435,0.005770225438883265,0.002,2.0,2.0,-1.1102230246251565e-16,1.1102230246251565e-16,5,5,5,5,10
2015-02-16,0.006826446748140182,0.008826446748140182,0.006826446748140182,0.008826446748140182,0.008609908901172669,0.0002165378469675132,0.002,2.0,2.0,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2015-02-18,4.9304981595385934e-05,0.0017244410111136384,0.0008744852399774372,0.002874485239977437,0.002390035106983681,-0.0006655940958700426,0.0016751360295182525,1.6751360295182525,2.0,-0.3248639704817475,-3.3306690738754696e-16,3,5,5,5,8
2015-02-19,0.004898983282968348,0.006898983282968348,0.004898983282968348,0.006898983282968348,0.0078011400748720285,-0.000902156791903681,0.002,2.0,2.0,-1.1102230246251565e-16,-1.1102230246251565e-16,5,5,5,5,10
2015-02-20,0.00211887076494492,0.00411887076494492,0.00211887076494492,0.00411887076494492,0.001501812191874138,0.002617058573070782,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-02-23,0.004495983883828356,0.006336352253434101,0.004754947377783798,0.006754947377783798,0.002203661650926348,0.004132690602507753,0.0018403683696057449,1.840368369605745,2.0,-0.15963163039425513,-2.7755575615628914e-17,3,5,5,5,8
2015-02-24,0.0029623078472268884,0.0049623078472268885,0.0029623078472268884,0.0049623078472268885,0.0055512115109483656,-0.0005889036637214772,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-02-25,0.013927775888967531,0.015822234577760348,0.014185811361080916,0.016185811361080917,0.0030812997220210016,0.012740934855739343,0.001894458688792816,1.894458688792816,2.0,-0.10554131120718398,-1.1102230246251565e-16,4,5,5,5,9
2015-02-26,0.005562313192525764,0.007562313192525764,0.005562313192525764,0.007562313192525764,0.0076931836102951,-0.000130870417769336,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-27,-0.0013255580232254878,0.000531390717831373,-0.0015410056722264967,0.00045899432777350333,-0.0004336906628819872,0.00096508138071336,0.0018569487410568608,1.8569487410568608,2.0,-0.14305125894313941,-1.1102230246251565e-16,4,5,5,5,9
2015-03-02,-0.0002755431784128295,0.0013974496081286833,-0.0011387756978080666,0.000861224302191933,-0.001103571260828657,0.0025010208689573397,0.0016729927865415128,1.6729927865415128,1.9999999999999998,-0.32700721345848704,-3.469446951953614e-17,3,5,5,5,8
2015-03-03,0.007199315555666126,0.009031366251781872,0.006410055217663052,0.008410055217663052,-0.0030780852702982004,0.012109451522080074,0.0018320506961157458,1.8320506961157457,2.0,-0.16794930388425433,0.0,3,5,5,5,8
2015-03-04,-0.0043696657686171595,-0.0026199329503142016,-0.004251613734643561,-0.0022516137346435612,-0.0037233177478229814,0.0011033847975087797,0.0017497328183029577,1.7497328183029577,2.0,0.2502671816970424,5.551115123125783e-17,5,1,5,5,6
2015-03-05,0.000349043987018351,0.002349043987018351,0.000349043987018351,0.002349043987018351,0.006649673782378256,-0.004300629795359905,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-03-06,0.004658356346571089,0.006574148079344131,0.005157566831072605,0.007157566831072605,0.006344864787891702,0.00022928329145242935,0.0019157917327730417,1.9157917327730416,1.9999999999999998,-0.08420826722695834,-1.6653345369377348e-16,4,5,5,5,9
2015-03-09,0.008682600533099154,0.010682600533099154,0.008682600533099155,0.010682600533099156,0.004969177156665023,0.005713423376434131,0.0019999999999999996,1.9999999999999998,2.0,0.0,1.6653345369377348e-16,5,5,5,5,10
2015-03-10,0.0021012896924666223,0.004101289692466622,0.0021012896924666223,0.004101289692466622,-0.0014636286431439593,0.005564918335610581,0.002,2.0,2.0,1.5265566588595902e-16,1.5265566588595902e-16,5,5,5,5,10
2015-03-11,0.0033294129276949126,0.005278247861220501,0.0031670570425218984,0.005167057042521898,0.007340235469920414,-0.002061987608699913,0.0019488349335255882,1.9488349335255881,2.0,0.0511650664744118,5.551115123125783e-17,5,4,5,5,9
2015-03-12,0.004496024757268449,0.006496024757268449,0.004496024757268449,0.006496024757268449,0.00995735667874384,-0.0034613319214753906,0.002,2.0,2.0,0.0,-1.6653345369377348e-16,5,5,5,5,10
2015-03-13,-0.00034978318163018593,0.0008583041315967446,0.001240401616136852,0.003240401616136852,0.0006259329768063485,0.00023237115479039615,0.0012080873132269306,1.2080873132269305,2.0,-0.7919126867730694,0.0,1,5,5,5,6
2015-03-16,-0.010120755860525953,-0.00820004473125553,-0.010073595179700528,-0.008073595179700528,-0.00966839089808414,0.0014683461668286118,0.0019207111292704226,1.9207111292704224,2.0,0.07928887072957758,5.551115123125783e-17,5,4,5,5,9
2015-03-17,0.0071922072211698836,0.009192207221169884,0.0071922072211698836,0.009192207221169884,0.00597422320455959,0.003217984016610294,0.002,2.0,2.0,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2015-03-18,0.0046688417847051125,0.0066688417847051125,0.0046688417847051125,0.0066688417847051125,0.005580289332541353,0.0010885524521637591,0.002,2.0,2.0,1.3877787807814457e-17,1.3877787807814457e-17,5,5,5,5,10
2015-03-19,0.010058684919150357,0.012058684919150357,0.010058684919150357,0.012058684919150357,-0.0008259766968068651,0.012884661615957221,0.002,2.0,2.0,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
2015-03-20,0.003651870731786376,0.005651870731786376,0.0036518707317863765,0.005651870731786377,0.004036416974523836,0.0016154537572625402,0.002,2.0,2.0000000000000004,2.7755575615628914e-17,-1.1102230246251565e-16,5,5,5,5,10
2015-03-23,0.00797767882916843,0.00997767882916843,0.00797767882916843,0.00997767882916843,0.012150997310932036,-0.0021733184817636056,0.0019999999999999996,1.9999999999999998,1.9999999999999998,0.0,0.0,5,5,5,5,10
2015-03-24,0.0046532377152273055,0.006578688425811558,0.0045873877818666565,0.006587387781866657,0.006470695106144643,0.00010799331966691579,0.0019254507105842525,1.9254507105842524,2.0,0.07454928941574748,-8.326672684688674e-17,5,3,5,5,8
