date,actual_gross,actual_net,bt_gross,bt_net,bt_available,sign_agreement,rmse,mae,mismatches,note
20260729,1.9999999999999998,-5.551115123125783e-17,2.0,-2.7755575615628914e-17,True,0.3333333333333333,0.17765625010452754,0.11653295088490326,8.0,
20260730,1.9999999999999996,-2.220446049250313e-16,,,False,,,,,Backtest weight not available for 20260730
20260731,1.9999999999999998,5.551115123125783e-17,,,False,,,,,Backtest weight not available for 20260731
20260803,1.9999999999999996,2.0816681711721685e-16,,,False,,,,,Backtest weight not available for 20260803
20260804,1.9999999999999996,-3.0531133177191805e-16,,,False,,,,,Backtest weight not available for 20260804
20260805,1.9999999999999996,-5.551115123125783e-17,,,False,,,,,Backtest weight not available for 20260805
20260806,1.9999999999999998,0.0,,,False,,,,,Backtest weight not available for 20260806
