trade_date,ret_base_slip,ret_base_noslip,ret_gap_slip,ret_hybrid_slip,ret_hybrid_gross,slip_base,slip_gap,slip_hybrid,gross_base,gross_gap,gross_hybrid,net_hybrid,n_active_base,n_filled_base,fill_rate,w_filled_base_gross,w_gap_hybrid_gross
2015-01-05,-0.0035139735537298477,-0.0015139735537298483,0.0018817349384435242,-0.002513973553729848,-0.0015139735537298483,0.0019999999999999996,0.002,0.0009999999999999998,1.9999999999999996,2.0,1.9999999999999996,2.7755575615628914e-17,10,10,1.0,1.9999999999999996,0.0
2015-01-06,0.00038560763590225495,0.002385607635902255,-0.010907860191150887,-0.0011249664166537634,-6.30577674346159e-05,0.002,0.0020000000000000005,0.0010619086492191475,2.0,2.0000000000000004,2.0,2.7755575615628914e-17,10,9,0.9,1.8761827015617052,0.12381729843829492
2015-01-07,-0.003917774180278816,-0.001917774180278816,0.007216468315201308,-0.0044289741006372655,-0.003321716506201152,0.002,0.002,0.0011072575944361136,2.0,2.0,2.0,5.551115123125783e-17,10,8,0.8,1.7854848111277728,0.2145151888722272
2015-01-08,0.005027911246536982,0.007027911246536982,0.006567366836286819,0.008109565537913286,0.009290827434519752,0.002,0.002,0.0011812618966064664,2.0,2.0,2.0000000000000004,-5.551115123125783e-17,10,7,0.7,1.637476206787067,0.36252379321293304
2015-01-09,0.0032284388326502844,0.005228438832650284,0.005720044059281719,0.005092775430397477,0.006183610443840992,0.0019999999999999996,0.002,0.0010908350134435142,1.9999999999999998,2.0,2.0,8.326672684688674e-17,10,8,0.8,1.8183299731129707,0.18167002688702893
2015-01-13,-0.002714333768125534,-0.0007143337681255338,0.004095091083090095,0.003439197071223976,0.004753725721549003,0.002,0.002,0.001314528650325027,2.0,2.0,2.0,-2.7755575615628914e-17,10,6,0.6,1.370942699349946,0.6290573006500539
2015-01-14,0.0066033694216128345,0.008603369421612835,0.007404102354221603,0.0076033694216128345,0.008603369421612835,0.002,0.002,0.001,2.0,2.0,2.0,1.3877787807814457e-16,10,10,1.0,2.0,0.0
2015-01-15,0.007572256587849709,0.00957225658784971,-0.0013708377758968383,0.00857225658784971,0.00957225658784971,0.002,0.002,0.001,2.0,2.0,2.0,-2.220446049250313e-16,10,10,1.0,2.0,0.0
2015-01-16,-0.004464266564814676,-0.0024642665648146756,-0.004737197743413347,-0.0034642665648146756,-0.0024642665648146756,0.002,0.0019999999999999996,0.001,2.0,1.9999999999999998,2.0,2.7755575615628914e-16,10,10,1.0,2.0,0.0
2015-01-19,-0.00058958059027226,0.00141041940972774,-0.0026851460832437975,-3.364821669673461e-05,0.001414039875890651,0.002,0.0019999999999999996,0.0014476880925873856,2.0,1.9999999999999998,2.0,-5.551115123125783e-17,10,6,0.6,1.104623814825229,0.895376185174771
2015-01-21,0.006925744217395153,0.008925744217395153,-0.00224541750933753,0.0062896973914176296,0.00748779993392118,0.002,0.002,0.0011981025425035498,2.0,2.0,1.9999999999999996,5.551115123125783e-17,10,7,0.7,1.6037949149929,0.3962050850070997
2015-01-22,0.003347870651476706,0.005347870651476706,0.0013476034762786035,0.004309830803405456,0.005634861290065075,0.002,0.002,0.0013250304866596191,2.0,2.0,2.0,-1.1102230246251565e-16,10,6,0.6,1.3499390266807618,0.6500609733192382
2015-01-23,0.001743705932021577,0.0037437059320215766,0.004209448838485332,0.0038504484431102514,0.005179705812234137,0.0019999999999999996,0.002,0.001329257369123886,1.9999999999999998,2.0,1.9999999999999998,2.7755575615628914e-16,10,6,0.6,1.341485261752228,0.6585147382477718
2015-01-26,0.0040399009339634525,0.0060399009339634525,-0.0008107525263761997,0.0034903892536576036,0.004641532233695358,0.002,0.0019999999999999996,0.0011511429800377543,2.0,1.9999999999999998,2.0,2.220446049250313e-16,10,8,0.8,1.6977140399244917,0.30228596007550834
2015-01-27,-0.007711643190243906,-0.005711643190243907,0.007919922302872844,-0.0069613563656694055,-0.005804976613893874,0.0019999999999999996,0.002,0.0011563797517755317,1.9999999999999998,2.0,2.0,1.1102230246251565e-16,10,8,0.8,1.6872404964489367,0.3127595035510633
2015-01-28,0.0013957735119878942,0.0033957735119878943,-0.0006197446296890541,0.0023957735119878943,0.0033957735119878943,0.002,0.002,0.001,2.0,2.0,2.0,0.0,10,10,1.0,2.0,0.0
2015-01-29,-0.0022592701043262172,-0.0002592701043262172,-0.0011239724894639546,6.414526826090572e-05,0.0011174949126694892,0.002,0.002,0.0010533496444085834,2.0,2.0,1.9999999999999998,-2.220446049250313e-16,10,9,0.9,1.8933007111828328,0.10669928881716695
2015-01-30,-0.005908529966331155,-0.003908529966331155,-0.0035913476929271032,-0.004352762170217676,-0.003006301191379285,0.002,0.002,0.0013464609788383913,2.0,2.0,2.0,0.0,10,6,0.6,1.307078042323217,0.6929219576767829
2015-02-02,-0.003955295217395545,-0.0019552952173955457,-0.00019444284828603036,-0.0029552952173955457,-0.0019552952173955457,0.002,0.002,0.001,2.0,2.0,2.0,-8.326672684688674e-17,10,10,1.0,2.0,0.0
2015-02-03,0.015548525734737745,0.017548525734737745,0.016990342333493537,0.02536536441988869,0.026978805709843585,0.002,0.002,0.001613441289954893,2.0,2.0,1.9999999999999998,-1.1102230246251565e-16,10,4,0.4,0.773117420090214,1.2268825799097858
2015-02-04,0.007353077410653391,0.009353077410653391,0.01162522085526625,0.00835307741065339,0.009353077410653391,0.002,0.002,0.001,2.0,2.0,2.0,5.551115123125783e-17,10,10,1.0,2.0,0.0
2015-02-05,-0.0030339048030208317,-0.0010339048030208317,0.006553342459145864,-0.003100618427187738,-0.0019243045434343678,0.002,0.002,0.0011763138837533704,2.0,2.0,2.0,1.3877787807814457e-16,10,7,0.7,1.6473722324932591,0.35262776750674074
2015-02-06,-0.00519220161550416,-0.0031922016155041606,0.0013320933203247757,-0.0022676200961773913,-0.0009056592397786111,0.002,0.002,0.00136196085639878,2.0,2.0,2.0,-2.7755575615628914e-17,10,7,0.7,1.2760782872024397,0.7239217127975601
2015-02-09,0.0005119327618823507,0.0025119327618823508,0.0042600711930485076,0.0015119327618823507,0.0025119327618823508,0.002,0.002,0.001,2.0,2.0,2.0,-2.7755575615628914e-17,10,10,1.0,2.0,0.0
