,gross_linear,gross_gp,net_linear,net_gp,kappa
2020-01-06,-0.0072829415348890265,-0.006987546222619728,-0.009282941534889027,-0.008987546222619727,0.9594401093494705
2020-01-07,0.004456178559305281,0.0042791007438853,0.0024561785593052807,0.0022791007438852998,0.960262405766885
2020-01-08,0.010006232829933326,0.009623103423387588,0.008006232829933325,0.007623103423387588,0.9617109242751561
2020-01-09,0.014479618350936843,0.013951249386250277,0.012479618350936843,0.011951249386250277,0.963509468835387
2020-01-10,0.003735915701160728,0.0036013857109703116,0.0017359157011607278,0.0016013857109703116,0.9639900894582233
2020-01-14,1.6558541305044096e-05,1.5981487463642187e-05,-0.001983441458694956,-0.0019840185125363577,0.9651506838210246
2020-01-15,0.0035323241163752444,0.0034096521360684816,0.0015323241163752443,0.0014096521360684815,0.9652715956222486
2020-01-16,0.009236416907635813,0.008916471731723266,0.007236416907635813,0.006916471731723266,0.9653604661729762
2020-01-17,0.01540988979518888,0.014861939009451186,0.01340988979518888,0.012861939009451186,0.964441615545572
2020-01-20,0.001517418519336669,0.0014659211506879277,-0.0004825814806633311,-0.0005340788493120724,0.9660625147297841
2020-01-22,0.003280165002357378,0.003167985050941403,0.001280165002357378,0.0011679850509414029,0.965800515725473
2020-01-23,0.00016509132094321495,0.00015970279240301317,-0.001834908679056785,-0.0018402972075969868,0.9673603160395361
2020-01-24,-0.0026405844892397534,-0.0025585940114802794,-0.004640584489239753,-0.004558594011480279,0.9689498752667899
2020-01-27,0.0071940146264953195,0.006947409345220044,0.0051940146264953194,0.004947409345220044,0.9657207701014345
2020-01-28,0.004854085195144817,0.004651370388189979,0.002854085195144817,0.0026513703881899785,0.9582383088047983
2020-01-29,-0.0010892250275908923,-0.0010436677512951711,-0.0030892250275908924,-0.003043667751295171,0.9581745964867491
2020-01-30,0.00420901979123073,0.004042335046071115,0.00220901979123073,0.002042335046071115,0.9603982035183362
2020-01-31,0.0047593129586583,0.004578779948921646,0.0027593129586583,0.002578779948921646,0.9620674220617867
2020-02-03,0.0107448940726029,0.010262212636055782,0.0087448940726029,0.008262212636055782,0.955078064680242
2020-02-04,0.005735917668254669,0.005487684893250729,0.0037359176682546687,0.003487684893250729,0.9567230930845155
2020-02-05,0.0067461755407434735,0.0064455424462343805,0.0047461755407434735,0.00444554244623438,0.9554365147047506
2020-02-06,0.018098709075162235,0.01728341309112802,0.016098709075162233,0.01528341309112802,0.9549528101342276
2020-02-07,0.0003393056432720639,0.00032512236688848743,-0.0016606943567279361,-0.0016748776331115126,0.9581991143831253
2020-02-10,-0.004050742354808231,-0.0038869693352692756,-0.006050742354808231,-0.005886969335269276,0.9595696281832002
2020-02-12,-0.0012752119897211681,-0.001224716003631782,-0.003275211989721168,-0.0032247160036317822,0.9604018888652172
2020-02-13,0.0035170391417377487,0.0033767945661200252,0.0015170391417377487,0.0013767945661200252,0.9601242494138323
2020-02-14,0.0025176393816563666,0.0024223659492955273,0.0005176393816563665,0.00042236594929552724,0.9621576334343167
2020-02-17,0.0062459184371371585,0.006023595646572648,0.0042459184371371585,0.004023595646572648,0.9644051082635637
2020-02-19,0.01976001867539014,0.019078810112799743,0.017760018675390142,0.01707881011279974,0.9655259150418314
