name,n_days,AR_net,AR_gross,Vol_net,Sharpe_net,Sharpe_gross,Sharpe_monthly,MDD,Turnover,GrossExp,elapsed_s
baseline_static,2723,1.2862243122902854,1.602328263611837,0.16213436647122687,7.933076375381186,9.88407942469878,4.203066659749616,-0.06839271921549828,1.5862730717808466,2.0,7.799186457996257
rolling_corr,2723,1.122715491122868,1.4388731813929663,0.15847553927270958,7.084471813601875,9.079642775303675,3.8364635165474175,-0.07054255670739396,1.5745327498063166,2.0,5.677091207995545
blend_50,2723,1.2036021573448248,1.5199667227897578,0.15905876768252458,7.567028054355169,9.556378490468534,4.1188588085104,-0.06790063937624602,1.5807690470287212,2.0,5.616963207954541
blend_75,2723,1.25966081845585,1.5759291670219195,0.16111393007042624,7.818447591125275,9.782656787017812,4.184114465932533,-0.067103711783852,1.5859548290617664,2.0,5.636531791999005
no_sector,2723,1.199153926293065,1.5154409699025408,0.16202812549409698,7.400899829188932,9.35379657348801,3.953641292675821,-0.07804553177489926,1.5828164627934682,2.0,5.567156833014451
pure_blp,2723,1.1730497594590272,1.4892144010140183,0.16102355006036287,7.28495775319378,9.24966852724635,3.8924379492021712,-0.07374035223063469,1.5801017759852785,2.0,5.593464457953814
ridge_dynamic,2723,1.2312432920042193,1.5472268513768763,0.16460130766048875,7.480154984818323,9.40007695914895,3.943743914447112,-0.07951454453944695,1.5819294882250565,2.0,5.8477748750010505
