name,AR_net,AR_gross,Vol_net,Sharpe_net,Sharpe_gross,Sharpe_monthly,MDD,Turnover,GrossExp,Cost_annual,elapsed_s,params
ls_0.00,1.199153926293065,1.5154409699025408,0.16202812549409698,7.400899829188932,9.35379657348801,3.953641292675821,-0.07804553177489926,1.5828164627934682,2.0,0.3162870436094758,7.523983791994397,
ls_0.10,1.2250777992871744,1.5413902381975755,0.16255578303801324,7.536353222208608,9.48331571524676,4.003223216486163,-0.07512925725699093,1.5857725507102287,2.0,0.3163124389104011,5.608142250042874,
ls_0.20,1.2509289720514847,1.5671634263821022,0.16352169709033856,7.649926549871858,9.58479533561232,4.0906413549571745,-0.07436393317855727,1.587228635083348,2.0,0.3162344543306174,5.5383846670156345,
ls_0.30,1.2692456801482697,1.5854625570159901,0.16318372880532456,7.7780161627661935,9.716882066798282,4.13184859496301,-0.0645976538821521,1.5866627771178647,2.0,0.31621687686772043,5.60894562501926,
ls_0.40,1.2862243122902854,1.602328263611837,0.16213436647122687,7.933076375381186,9.88407942469878,4.203066659749616,-0.06839271921549828,1.5862730717808466,2.0,0.3161039513215515,5.578471790999174,
ls_0.50,1.2886554755132846,1.6046292784474545,0.1611244418466179,7.997889461985028,9.960458760929358,4.2754681691479535,-0.07055313354681503,1.585075819237153,2.0,0.31597380293417043,5.639582832984161,
ayx_0.00,1.2860304597927292,1.6021175686701734,0.16167351084856713,7.954490831817839,9.910761676306826,4.219299860310659,-0.06799606137270597,1.5861887100592238,2.0,0.3160871088774443,5.575136457977351,
ayx_0.05,1.2862243122902854,1.602328263611837,0.16213436647122687,7.933076375381186,9.88407942469878,4.203066659749616,-0.06839271921549828,1.5862730717808466,2.0,0.3161039513215515,5.616428708017338,
ayx_0.10,1.2859900640213158,1.6020522904323418,0.16257009230849342,7.91037297057701,9.855905304422084,4.193987582075249,-0.06933705088456055,1.5867064068658805,2.0,0.3160622264110261,5.523199208022561,
ayx_0.20,1.2844279299836912,1.6005317930186844,0.1634787812985186,7.856847963885148,9.792303338625345,4.176694718697252,-0.06942593446465128,1.5871712978264194,2.0,0.31610386303499305,5.544132124981843,
ayx_0.30,1.2773613389699332,1.5934193124377387,0.16483372982736225,7.749392920416052,9.667879438219458,4.129193085086383,-0.07517165770228162,1.584942952167329,2.0,0.31605797346780556,5.637352042016573,
ayx_0.50,1.2538819574042082,1.569809529363364,0.16717152520864054,7.5005713792422775,9.391481952381703,4.004874080118417,-0.09621608545894511,1.582799624409666,2.0,0.3159275719591561,5.540562541980762,
bw_63,1.2656604710033168,1.5814993262709724,0.16024290645141076,7.898386886704987,9.869180343399957,4.200270449803223,-0.05510501329778461,1.5816448552310594,2.0,0.31583885526765576,5.758541457995307,
bw_126,1.2845811714952236,1.6006540402651488,0.16168399477227757,7.94501133711151,9.900749517030563,4.212105903958806,-0.06532767854859556,1.5858127720369843,2.0,0.31607286876992535,5.885256749985274,
bw_189,1.2841712151274423,1.6002496469096166,0.16185733578835576,7.933969806636514,9.887734146021069,4.194939392686637,-0.06846202729548245,1.585712990173644,2.0,0.3160784317821743,6.1546833330066875,
bw_252,1.2862243122902854,1.602328263611837,0.16213436647122687,7.933076375381186,9.88407942469878,4.203066659749616,-0.06839271921549828,1.5862730717808466,2.0,0.3161039513215515,5.566791791992728,
bw_378,1.2877351326567867,1.6038455423616642,0.1619482297041738,7.951523366504565,9.905084596101839,4.206554554039314,-0.06876066921737967,1.5864557632658678,2.0,0.31611040970487725,6.570386084029451,
bw_504,1.2877980523623902,1.6039140070386637,0.161875473161118,7.955485949873445,9.909818943328219,4.215110677575133,-0.06893111893731951,1.5862855306158095,2.0,0.3161159546762735,6.887461000005715,
blend_0.00,1.2862243122902854,1.602328263611837,0.16213436647122687,7.933076375381186,9.88407942469878,4.203066659749616,-0.06839271921549828,1.5862730717808466,2.0,0.3161039513215515,5.699631291034166,
blend_0.10,1.2746379006382582,1.5907528349217706,0.16180664901781397,7.877537223442085,9.832313542796937,4.194020466747316,-0.06877931154199313,1.5861055113580527,2.0,0.31611493428351223,5.596796666039154,
blend_0.25,1.25966081845585,1.5759291670219195,0.16111393007042624,7.818447591125275,9.782656787017812,4.184114465932533,-0.067103711783852,1.5859548290617664,2.0,0.3162683485660697,5.663469042046927,
blend_0.50,1.2036021573448248,1.5199667227897578,0.15905876768252458,7.567028054355169,9.556378490468534,4.1188588085104,-0.06790063937624602,1.5807690470287212,2.0,0.3163645654449331,5.579121084010694,
blend_0.75,1.1545243980534772,1.4708157639385004,0.15838204332592482,7.2894904864792744,9.286107685334585,3.9446572024534734,-0.0670297746979519,1.5760414238064495,2.0,0.3162913658850231,5.688376958016306,
blend_1.00,1.122715491122868,1.4388731813929663,0.15847553927270958,7.084471813601875,9.079642775303675,3.8364635165474175,-0.07054255670739396,1.5745327498063166,2.0,0.3161576902700983,5.589388124994002,
