trade_date,baseline_static,rolling_corr,blend_50,blend_75,no_sector,pure_blp,ridge_dynamic
2015-01-05,0.0013018924196206304,0.0046696981303203594,0.003545627972299568,0.00284813046301382,0.005561641880393011,0.0059670506061892765,0.0059304478548855375
2015-01-06,-0.002953630529395877,-0.003410656743629139,-0.0029553583878915704,-0.003446255476572328,-0.0036916906410843697,-0.0036217934437775727,-0.004711677625081097
2015-01-07,0.007398378311112713,0.004556437728880908,0.00267338120560331,0.00620036272694265,0.005078411033417551,0.004852712656896765,0.005612553603833246
2015-01-08,0.010067458947368444,-0.0011781611742466625,0.004040514198549205,0.007876637283616214,0.006892599292723688,0.006583290652658499,0.008045225229531246
2015-01-09,0.005925607688383955,0.004767640059881883,0.005304771261853481,0.00631337905370845,0.0055824906964670965,0.005541707665967432,0.005489645523339646
2015-01-13,0.008436427047016214,0.0054650466166367385,0.0036946759494549176,0.00443762023730108,0.0034593192338896166,0.005301204301411922,0.008794170100071056
2015-01-14,0.0075464744779193,0.0018629630332921453,0.001853999361913882,0.005074582787010639,0.003922482263575469,0.003669899363502348,0.004152280969625168
2015-01-15,-0.004178796682301772,-0.003355724276482736,-0.0023095850726600154,-0.0022148803845033,-0.0036346575991090153,-0.003699541562942238,-0.003841983203299774
2015-01-16,5.010976353377354e-05,0.0025802004542036967,0.0017019488637896008,0.0005562719827309666,0.0007329810869895837,0.001451049809628501,-1.3021795523489527e-05
2015-01-19,0.002974001192918535,0.0034472882556105745,0.00291726052285707,0.0015368293836001642,0.002143186154914008,0.002316543887755593,0.0020174144723292663
2015-01-21,0.0005402601003589105,-1.702103730592667e-05,0.0005828788237277297,0.0007026854662863567,-4.7907297523845215e-05,-0.0001426005823371209,0.0002724729446377803
2015-01-22,0.00796055563719053,0.009042809075663998,0.010105272337757244,0.009333169994816495,0.010398338541930808,0.01004363224746271,0.00944244554476731
2015-01-23,-0.002716949776755657,-0.0004640493574544142,-0.002754471577777983,-0.00238981346409037,0.0001418446351424223,0.00022466021225769515,0.0002808330217223523
2015-01-26,0.012445203554691727,0.012816054718489846,0.01273765666047088,0.012564083931123578,0.012539092913325212,0.012428197496796016,0.012842587367585145
2015-01-27,0.00595432953422463,0.005823468515401744,0.005772212044074998,0.005857600645685355,0.005208256271345633,0.005135350625075586,0.005427491696552888
2015-01-28,-0.002396322811985258,-0.003240054056457892,-0.0025046460598966164,-0.0033077495765994076,-0.005307184144858791,-0.005440201620496306,-0.006442772229232163
2015-01-29,0.005617797570501447,0.0035655817040802966,0.0034858450839247504,0.0051704105234913495,0.006377711853493578,0.006310864941729609,0.005792173913105987
2015-01-30,-0.00044349343766750694,-0.001642590627534949,-0.0008712696249049692,0.0001665240942322452,-0.0020890766791332657,-0.0019915672832872978,-0.0010526453105389147
2015-02-02,0.005944714063072827,0.006151002654086318,0.008613214843627882,0.004723292520593943,0.010214937991994624,0.01019207243268829,0.008863834228201861
2015-02-03,0.02390314105458606,0.030938938163376346,0.029495023244415903,0.027289885476308496,0.029137494164446984,0.029767482922896056,0.027584581777212108
2015-02-04,0.009358672836859322,-0.001063078789297425,0.0008970234631169281,0.004045233449124982,0.004181591634813244,0.003211273952408999,0.007485392094194056
2015-02-05,0.00431766682476806,0.0024632547117453773,0.003451399236555159,0.004096885793894037,0.002723953361487501,0.0024806844906773927,0.0028249257390271757
2015-02-06,0.0024963117360541943,-0.0017345522675009837,0.0010889416321969976,0.001749284899527515,0.00014094832914324207,-0.00015910645822956042,0.0016193862812220088
2015-02-09,0.005891220739427732,0.006558904930166285,0.005202235530084632,0.0055560990833586,0.005776831546797067,0.0057828055145530115,0.006167239718898582
2015-02-10,0.0008972322922219044,0.0022713055776432717,0.0017539344179554597,0.00122709152724973,0.0014999567091483871,0.0014296177484173277,0.001453031835325632
2015-02-12,-0.004746575448712321,-0.005167070340615906,-0.0036238613225193857,-0.003759296156782923,-0.004685160981809367,-0.004599813105808736,-0.004590705103514985
2015-02-13,0.00776793783225987,0.00881031746874901,0.009172595359044595,0.00902792038291362,0.006816088449995596,0.0061212983802794345,0.0031906045234269867
2015-02-16,0.003238171225882175,0.005032658345028646,0.004370769101555803,0.003776074359666309,0.004810921897995291,0.005266758249320587,0.003147531736586541
2015-02-18,0.004612378404823798,0.004408283625141424,0.0045817688134790905,0.004642752652367297,0.004472972062159777,0.004506332680518123,0.004632789971173374
