label,AR,RISK,R/R,MDD,Sharpe,IC_mean,DSR_pvalue,SR_star,n_obs,n_trials
Linear Baseline,0.8109071814905543,0.21269378199462619,3.8125570662476735,-0.06903077301295446,3.812557066247673,,1.0,0.0,1504,1
Linear + GBT Correction,0.8179623443543844,0.21265408424999085,3.8464454949889806,-0.06838952355819627,3.8464454949889806,,0.9999999999529381,1.1925940010138572,1504,5
