trade_date,linear,corrected,diff
2020-01,0.04031364349697597,0.041394581442198985,0.001080937945223015
2020-02,0.07938435470392724,0.07854594282855931,-0.0008384118753679282
2020-03,0.180647739653784,0.17789741831844252,-0.002750321335341477
2020-04,0.08553435038793133,0.08501679773490167,-0.0005175526530296626
2020-05,0.09620237511550322,0.09581177371925675,-0.0003906013962464705
2020-06,0.18327237690326736,0.18372316646049147,0.0004507895572241072
2020-07,0.12083043620660572,0.12118155402672981,0.00035111782012409165
2020-08,0.13284302599551578,0.13308726259967818,0.00024423660416239557
2020-09,0.034810157376938156,0.03421152030724817,-0.000598637069689989
2020-10,0.08853042589968152,0.08972106996981011,0.001190644070128588
2020-11,0.07704320130048137,0.08023972461283324,0.0031965233123518733
2020-12,0.08085839116695803,0.08118324454315506,0.0003248533761970318
2021-01,0.1280182400097618,0.13071100507084754,0.0026927650610857334
2021-02,-0.03420674238374111,-0.033222683353524296,0.0009840590302168106
2021-03,0.12983253819424134,0.13139082229232724,0.0015582840980858936
2021-04,0.07107215535752998,0.07326375379800942,0.0021915984404794475
2021-05,0.10549696175824685,0.10719398218679044,0.001697020428543583
2021-06,0.005544249009021396,0.006299452115568593,0.0007552031065471976
2021-07,0.020557905005577082,0.025566016443547168,0.005008111437970086
2021-08,-0.01441851829498797,-0.013206466709679066,0.0012120515853089042
2021-09,0.0723662159752485,0.07551102199197679,0.0031448060167282854
2021-10,0.0024775522753963664,-0.0007518696476056519,-0.0032294219230020182
2021-11,0.046199369570374405,0.04713427885582244,0.0009349092854480379
2021-12,0.21987482879418074,0.22541703001910118,0.00554220122492044
2022-01,0.1367458955706391,0.13295916188227497,-0.00378673368836413
2022-02,0.11329632194015793,0.11370402617834863,0.0004077042381906981
2022-03,0.06389116375821113,0.06593911423637833,0.002047950478167193
2022-04,0.024252743486324002,0.024289055107253432,3.631162092943008e-05
2022-05,0.05007311537120662,0.05726542877637808,0.007192313405171458
2022-06,0.0008691560715468061,0.003427058663348692,0.002557902591801886
2022-07,0.05412398746794511,0.05492171002811497,0.0007977225601698557
2022-08,0.020729405591713768,0.023619111708731877,0.0028897061170181093
2022-09,0.004296914956119835,0.004756202689877531,0.00045928773375769616
2022-10,0.06587237826568337,0.06581198733199778,-6.039093368559456e-05
2022-11,0.05877985823427023,0.05663484307609101,-0.00214501515817922
2022-12,0.10183196747175849,0.1028387332731382,0.0010067658013797054
2023-01,0.017237200797890262,0.016538040420241096,-0.0006991603776491662
2023-02,0.032881930573250395,0.03241704908389198,-0.0004648814893584152
2023-03,0.03688230260085068,0.03659552831140189,-0.0002867742894487879
2023-04,0.0034645986609829205,0.0045903458365172956,0.001125747175534375
2023-05,-0.020767548330069663,-0.01938664319009087,0.0013809051399787942
2023-06,0.06312530152152673,0.06828822739919027,0.005162925877663538
2023-07,0.006299831217804197,0.00728186816707832,0.0009820369492741232
2023-08,-0.02147897805681509,-0.020498026427763105,0.0009809516290519849
2023-09,-0.0003970285165837417,-0.0005463933226593776,-0.00014936480607563585
2023-10,0.05236512102361246,0.0502247444145294,-0.002140376609083061
2023-11,0.015942701656761038,0.016083797829823387,0.00014109617306234945
2023-12,0.07329427373921948,0.07255939077276752,-0.0007348829664519663
2024-01,0.08891096344142357,0.0912897541937745,0.0023787907523509233
2024-02,0.00709987026491854,0.008863934106319915,0.0017640638414013754
2024-03,0.19043680569739596,0.19414450200237177,0.003707696304975805
2024-04,0.10466255440284433,0.10634326345789136,0.001680709055047025
2024-05,0.052577590377872685,0.053160061103455725,0.0005824707255830397
2024-06,0.060228430893214835,0.05683413953548655,-0.003394291357728285
2024-07,0.10189810864766002,0.1015162336872184,-0.0003818749604416194
2024-08,0.17363381581327975,0.17344919573398698,-0.00018462007929276325
2024-09,0.053893475725394824,0.053738314654613095,-0.00015516107078172858
2024-10,0.006309412058743247,0.006505052494989005,0.00019564043624575866
2024-11,-0.021957280754553166,-0.022052483283076074,-9.520252852290856e-05
2024-12,0.019884754416891415,0.020442552056771257,0.0005577976398798423
2025-01,0.07370368288736895,0.07332579476425027,-0.0003778881231186748
2025-02,0.08974151504322947,0.08997976417768916,0.00023824913445968932
2025-03,0.13195363836745377,0.13072656413995776,-0.0012270742274960167
2025-04,0.24517553046170426,0.24500311626021332,-0.00017241420149094466
2025-05,0.08090927355066335,0.08081864071204836,-9.063283861499016e-05
2025-06,-0.0049124880048976305,-0.005254466081536124,-0.0003419780766384939
2025-07,-0.011265352411145124,-0.009873110579135869,0.0013922418320092556
2025-08,0.01165146071265899,0.012898646008251635,0.0012471852955926455
2025-09,0.033696987746243634,0.0332800442860639,-0.0004169434601797306
2025-10,0.1092455591523207,0.10849313340884792,-0.0007524257434727843
2025-11,0.03656357872168403,0.03647771126940835,-8.58674522756786e-05
2025-12,0.11497670826086592,0.1140147729912937,-0.0009619352695722228
2026-01,0.10201370002218879,0.10169998744494024,-0.0003137125772485483
2026-02,0.1171759736204383,0.11702371825134983,-0.00015225536908847204
2026-03,0.1791320360755324,0.17911658343567782,-1.5452639854585115e-05
2026-04,0.1508281133840479,0.15061461529975184,-0.00021349808429604877
2026-05,-0.0015451858968129617,-0.0016230877989212855,-7.790190210832382e-05
