trade_date,daily_return,long_ret,short_ret,daily_return_gross,slippage_cost,gross_exposure,sigma_s,dispersion_indicator,scale,signal_mode,gap_open_coef,dispersion_metric,signal_mean,signal_std,weight_concentration,active_count,gap_mean,gap_std
2026-05-01,0.015596035421809306,0.004811647215252949,0.01278438820655636,0.017596035421809306,0.002,2.0,0.19054038997451814,0.011708941725117338,1.0,gap_residual,0.7,long_short_mean_gap,-9.921193057624452e-05,0.00503743125803082,0.7005971652269134,10,-0.0002152893224970234,0.005590860332119576
2026-05-07,-0.016682954177345208,-0.0002634466834239553,-0.01441950749392125,-0.014682954177345206,0.002,2.0,0.15725857136561766,0.024547774188276583,1.0,gap_residual,0.7,long_short_mean_gap,-0.011440946522606254,0.010866724384827144,0.7002981379288883,10,0.017647674715565335,0.016163145249411138
2026-05-08,0.020022849993649255,0.008348679092329824,0.013674170901319433,0.022022849993649257,0.002,2.0,0.5399642206227727,0.026307982922632457,1.0,gap_residual,0.7,long_short_mean_gap,0.004929568707138957,0.011394717836859629,0.6768947943969453,10,-0.00672964511723045,0.007325077088536265
2026-05-11,0.008191339645270312,0.007911942528461419,0.0022793971168088953,0.010191339645270312,0.002,2.0,0.2416669669866954,0.014965684976556017,1.0,gap_residual,0.7,long_short_mean_gap,-0.0020235017974173475,0.006759378982263633,0.753035052477733,10,0.003503154140035619,0.009419140487121733
2026-05-12,0.008725409137177153,0.006897009380695644,0.0038283997564815086,0.010725409137177153,0.0019999999999999996,1.9999999999999998,0.22555161814474167,0.012880473079618015,1.0,gap_residual,0.7,long_short_mean_gap,-0.003696166238969825,0.0057649795249985715,0.684712156337622,10,0.0060654513912584175,0.010894322661443934
2026-05-13,-0.004007098406860862,-0.0005509146011195608,-0.0014561838057413012,-0.0020070984068608615,0.002,2.0,0.27650875193676566,0.010378865387779813,1.0,gap_residual,0.7,long_short_mean_gap,-0.0023833551733367588,0.004452098075300261,0.6951159720077558,10,0.0031465386158618085,0.008284142772787008
2026-05-14,-0.0011368577833868426,-0.01686489975390669,0.017728041970519852,0.000863142216613157,0.0019999999999999996,1.9999999999999998,0.20148030756047364,0.01081943151042497,1.0,gap_residual,0.7,long_short_mean_gap,-0.0015291755141005564,0.004820035878276654,0.6711656263605237,10,0.002336965309304469,0.0068052406860407985
2026-05-15,0.007908212768733906,-0.0029577399391492966,0.012865952707883203,0.009908212768733906,0.002,2.0,0.16194773150181338,0.00927076358995247,1.0,gap_residual,0.7,long_short_mean_gap,-0.0028307427571467414,0.004031534448368609,0.7002515886653826,10,0.004009044220079103,0.0044750040843087695
2026-05-18,-0.014522183474619301,-0.025378018427522162,0.012855834952902864,-0.012522183474619301,0.0019999999999999996,1.9999999999999998,0.27978317904670197,0.012671027301297455,1.0,gap_residual,0.7,long_short_mean_gap,-0.0024496825715183673,0.0056175384991641476,0.6831247735893256,10,0.0032658562159686173,0.009050999778984239
2026-05-19,0.022910065406839805,0.013220744837416311,0.011689320569423494,0.024910065406839803,0.002,2.0,0.29579760769255664,0.01817982907376494,1.0,gap_residual,0.7,long_short_mean_gap,-0.006266358765507583,0.007469520841893301,0.6513422453136524,10,0.008866419632497444,0.007856021631797196
2026-05-20,0.022890458698898348,0.0047320484733132055,0.020158410225585142,0.024890458698898346,0.0019999999999999996,1.9999999999999998,0.2731558241368737,0.018999891197724893,1.0,gap_residual,0.7,long_short_mean_gap,0.0009302103802063924,0.008727255442484386,0.7538251987246096,10,-0.0018842042505797143,0.0152366840543042
2026-05-21,0.011060574746586378,-0.004233101051696836,0.017293675798283212,0.013060574746586378,0.002,2.0,0.3668638814322104,0.02209597568792554,1.0,gap_residual,0.7,long_short_mean_gap,-0.008099707896589111,0.009072481917103697,0.6719948325716013,10,0.012806972973797142,0.011530121775898983
2026-05-22,-0.01269556165807443,-0.004760247631516112,-0.005935314026558319,-0.01069556165807443,0.002,2.0,0.11714736409465831,0.009595732136265878,1.0,gap_residual,0.7,long_short_mean_gap,-0.0030231226899213185,0.004559350198158809,0.769023588241935,10,0.0045097518331067565,0.007066421257128791
2026-05-25,-0.021249240008348456,-0.0049095439988601185,-0.014339696009488334,-0.019249240008348455,0.002,2.0,0.0918847505658892,0.017118339456951494,1.0,gap_residual,0.7,long_short_mean_gap,-0.004911361424560044,0.0077672178548302715,0.7015297029302971,10,0.007451245273364323,0.011115318419288846
2026-05-27,-0.011503067992185338,-0.00936829610265505,-0.00013477188953028765,-0.009503067992185338,0.0019999999999999996,1.9999999999999998,0.3612514630745154,0.010175568686337932,1.0,gap_residual,0.7,long_short_mean_gap,-7.475025756373428e-05,0.004435794433991915,0.6797405101740472,10,0.0013296444360463419,0.008063275556331325
2026-05-28,0.009415195059684677,0.0033293442661319426,0.008085850793552734,0.011415195059684677,0.002,2.0,0.10107084412785787,0.013068560648120831,1.0,gap_residual,0.7,long_short_mean_gap,0.0008548788637257838,0.005839476851163878,0.6969892014798715,10,-0.001480129411472464,0.00944496401488234
2026-05-29,-0.001042807049296936,0.011217678311786813,-0.010260485361083748,0.000957192950703064,0.002,2.0,0.15510564338288185,0.012484356420237153,1.0,gap_residual,0.7,long_short_mean_gap,-0.00161138596023454,0.005473384034024642,0.7044906410836637,10,0.0021336188832176465,0.008216406694156285
2026-06-01,0.010794788548210995,0.002137037273726379,0.010657751274484619,0.012794788548210995,0.002,2.0,0.1600701219598104,0.010238364468455474,1.0,gap_residual,0.7,long_short_mean_gap,0.00391319622701114,0.004490454974241496,0.6900186906677651,10,-0.0052817379644727125,0.0060049081811486315
2026-06-02,0.0005386801582691236,0.0035888285582326624,-0.0010501483999635383,0.0025386801582691237,0.002,2.0,0.4060232995196696,0.01940565566350385,1.0,gap_residual,0.7,long_short_mean_gap,0.0039897248628872044,0.008447328172202973,0.7047748860555698,10,-0.005970726638252384,0.009585939114118607
