trade_date,Close-to-Close (Baseline),Open-to-Close (Experiment)
2015-01-05,0.0035676313907697004,0.003443961363664435
2015-01-06,0.00022909286358570357,0.0012539518529818814
2015-01-07,0.008631755630031593,0.008511009459374505
2015-01-08,0.009296012614504884,0.007615225899586591
2015-01-09,0.0073158923934519456,0.007399755168872986
2015-01-13,0.009458338054231756,0.009583522857117641
2015-01-14,0.010249832861136114,0.009298609942984402
2015-01-15,0.003932594497242247,0.0009700459521965988
2015-01-16,-0.003993240574779762,-0.004332612010854028
2015-01-19,-0.0014439917657009483,-0.0007337606137216091
2015-01-21,0.002883107853743557,0.005256600077505063
2015-01-22,0.000573624783032511,0.0013546445570754297
2015-01-23,0.003974690064894558,0.004927739527404051
2015-01-26,0.00023399846982701718,0.00284200127036736
2015-01-27,0.009033821936866604,0.007440450426217771
2015-01-28,0.005549616803333411,0.004018008504982623
2015-01-29,0.001128490820750498,0.0040561129728865645
2015-01-30,-0.0020202941129969574,-0.0028555644826232123
2015-02-02,0.005105389209505762,0.0030366269358867294
2015-02-03,0.01616982134174056,0.013456680812243695
2015-02-04,0.014901683746148276,0.012152286655172116
2015-02-05,0.0021938701064403952,0.0013566271304938761
2015-02-06,0.003115820340337917,0.005540941805816806
2015-02-09,0.005850990328235014,0.006522836303689944
2015-02-10,-0.0029289440109972788,-0.0038666965953989595
2015-02-12,0.00466053723749731,0.005232798112644968
2015-02-13,0.005299537910987106,0.000919770926652142
2015-02-16,0.009017492048040334,0.008327528566468519
2015-02-18,0.001876574505729599,0.00045006925930531246
2015-02-19,0.006855164213752376,0.006839474147850806
2015-02-20,0.0037202182264128077,0.002450423950585002
2015-02-23,0.004165500354433553,0.0033345344103391118
2015-02-24,0.004986399060140814,0.004577335604170214
2015-02-25,0.015791442501921507,0.012391291769799894
2015-02-26,0.008294978045599272,0.006402795020095199
2015-02-27,0.0026533006626184895,0.0037116002615011174
2015-03-02,0.002877179124304914,0.0017598664231604747
2015-03-03,0.008205417965452351,0.007380695583709346
2015-03-04,-0.00021310818049712695,-0.0007386451777399892
2015-03-05,0.0013964636033268049,0.0007939198573703721
2015-03-06,0.006575686584857906,0.006184072460109186
2015-03-09,0.010732081170611075,0.008935471190640566
2015-03-10,0.003921027375502008,0.0029217037801193193
2015-03-11,0.005651124513057927,0.003726988540514343
2015-03-12,0.006396142169340584,0.006422713385069395
2015-03-13,0.004161901701809191,0.003955817494841276
2015-03-16,-0.007492768351202348,-0.00747001927310528
2015-03-17,0.00923744267161777,0.008491920564176433
2015-03-18,0.006553530240690096,0.007029782686395629
2015-03-19,0.01208021305284064,0.013573296235069632
2015-03-20,0.0057883472568512635,0.005378349229493897
2015-03-23,0.009065306679017001,0.004819471585204413
2015-03-24,0.007225918625935331,0.006846048686591225
2015-03-25,0.0026414509052332213,0.003023197733171702
2015-03-26,0.01099440889818232,0.01192755867178726
2015-03-27,0.0154184241574402,0.014188847001529139
2015-03-30,0.007552402085972512,0.006460877841300589
2015-03-31,0.009747649276057632,0.0042427450372607665
2015-04-01,0.0032720671050925076,0.006843154950070103
2015-04-02,0.01832445631857568,0.016733437915731536
2015-04-03,0.00411976158331275,0.004406079690008681
