model,AR,RISK,R/R,Sharpe,MDD,Total Return
Close-to-Close (Baseline),1.4396819702319599,0.28677589085747385,5.020233625383364,5.020233625383364,-0.04867281412293012,3881329.3353040256
Open-to-Close (Experiment),1.3653212739075946,0.2823657421643431,4.835293628194271,4.83529362819427,-0.054341681975060174,1830185.060159918
delta(exp-baseline),-0.07436069632436526,-0.004410148693130722,-0.18493999718909304,,-0.005668867852130055,-2051144.2751441076
