,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2020-01-06,0.30535654226676834,-0.383480678779642,0.10658743665022202,0.0,0.0,0.0,0.0,0.12548208055396332,-0.09407533803808278,0.0,0.0,0.2901705891493163,-0.1765825539531913,-0.24697097497180506,0.0,0.17240335137973012,-0.09889045425727885
2020-01-07,0.11116494031082857,0.0,0.0,0.09290930747404876,-0.07371082510109674,0.2752412866051184,-0.33918798497757574,-0.28172244053529233,0.1430384272464702,0.37764603836353405,-0.24296733460793649,0.0,0.0,-0.0624114147780987,0.0,0.0,0.0
2020-01-08,-0.1981010140927874,0.0,0.0,-0.09728756273397715,0.0,0.0,0.0,-0.29023592459235226,0.1260299889852796,-0.3313659889603264,0.10227500836424651,-0.08300950962055684,0.0,0.46145263343927845,0.17790323901693914,0.0,0.13233913019425633
2020-01-09,0.0,0.0,0.0,0.2024996360296353,0.20070124820043267,0.0,-0.11327085528185482,-0.38377678089105793,-0.27767241067737747,0.0,-0.06968565725041315,0.0,0.17704892738667533,0.34299175975357715,0.0,-0.15559429589929646,0.07675842862967941
2020-01-10,-0.0799514382127519,0.0,-0.20406990613732606,0.1819634708791086,0.159490008380745,0.0,-0.14381078513633874,-0.20910897115646498,0.0,-0.3630588993571183,0.0,0.08211563754362201,0.0,0.45583966541987764,0.12059121777664672,0.0,0.0
2020-01-14,-0.3600775709290157,0.0,0.0,-0.1971663988545502,0.1168586273598029,0.0,0.0,-0.11517032918864306,-0.11764168345408393,0.0,0.2351351221549886,0.0,0.0,0.17377656022945087,0.2370579886990566,-0.20994401757370712,0.237171701556701
2020-01-15,-0.1283076373883414,0.0,-0.10823456404461214,-0.11024875465301569,0.0,0.07209308205796984,-0.12963515169400602,0.07886941200573026,0.0,0.0,0.0,-0.5235738922200247,0.43552454187750494,0.28641145293064,0.0,0.0,0.12710151112815488
2020-01-16,0.06638594886170772,-0.13666327424643407,0.0,-0.4257169211952233,0.13083801958776134,-0.18362925571255892,0.0,-0.14211497554079727,0.0,0.335838654518797,0.3658504580936799,0.0,0.0,-0.1118755733049863,0.0,0.0,0.10108691893805404
2020-01-17,0.0,-0.11334560323371125,0.0,-0.4435926693979404,0.0,-0.1944522969935777,0.0,0.0,-0.13091017204529595,-0.11769925832947467,0.0,0.0,0.1437001671202209,0.16540957112080784,0.3582659214555684,0.1570559721089427,0.17556836819446017
2020-01-20,0.29204063435361766,-0.08039031611257925,0.09225074416680733,-0.2639420730874577,0.0,0.0,-0.31889175309882056,0.0,0.0,0.0,0.3207283000615893,0.0,-0.21510941827069657,0.16835957053633388,0.0,0.12662075088165176,-0.12166643943044597
2020-01-22,0.0,-0.1561972024738755,0.0,0.0,0.09200579957525855,-0.15241152020364926,0.0,0.0,0.15037238309866774,-0.2792065531342928,0.12327046109027648,0.24970674428454373,-0.25159360666033714,0.0,0.0,-0.16059111752784536,0.3846446119512535
2020-01-23,0.146308471965221,-0.2069962390127389,0.31699383675473686,-0.23051144873532065,0.0,0.0,0.0,0.0,0.0,0.0,0.14806172664457018,-0.12673207633106096,-0.14515110486633181,0.0,0.12554589141812825,0.2630900732173437,-0.2906091310545476
2020-01-24,0.0,0.0,0.14649195846811178,-0.07872945678507201,-0.35031513384774887,0.38085434233966553,0.0,0.0,0.1569907940530478,-0.20669923381080293,0.24720295717360347,0.06845994796557146,-0.07800985267597371,0.0,0.0,0.0,-0.28624632288040247
2020-01-27,0.0,-0.14400562256957436,0.0,0.1975813571600216,-0.2404422331839523,0.0,0.0,0.3520022517264402,0.0,0.1657946240312834,0.0,0.12959123524040086,0.15503053184185409,-0.14180813611581672,-0.23186568557581894,0.0,-0.24187832255483763
2020-01-28,0.1729113810703326,-0.03485022612798258,0.264508976729039,0.0,0.25511631388892386,-0.3511450333339772,0.1137012743448497,0.0,-0.14822665343673466,-0.047820181430539815,0.0,-0.41795790567076563,0.0,0.19376205396685472,0.0,0.0,0.0
