,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2020-01-06,0.24988381305841942,-0.24989186417176223,0.0004647477663180329,0.0,0.0,0.0,0.0,0.2498838130584208,-0.24989186417176223,0.0,0.0,0.2498838130584208,-0.24989186417176223,-0.24989186417176223,0.0,0.2498838130584208,-0.0004325433129508338
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,-0.2498375709604729,-0.05624709739372512,-0.019447082991486578,-0.24983757096047296,-0.07382717450649208,0.24982192082282506,0.24982192082282462,0.24982192082282506,-0.017727249136352836,0.24982192082282503,0.000712316708700047,-0.24983757096047296,0.0,-0.06232709765276459,0.0,-0.020911585437759814,0.0
2020-01-09,0.0,0.24987883405987263,0.0,-0.24989336944901971,-0.24989336944901955,-0.00042652220392114487,0.24987883405987263,0.24987883405987263,0.24987883405987263,0.0,0.0,0.0,-0.24989336944901971,-0.24989336944901971,0.0,0.00048466376050929554,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.14614174518735204,0.13300978996819923,-0.10833135498203154,-0.2500065970317963,-0.05314853668480478,0.07276403087504764,-0.12967126804398402,0.006053782556977079,0.0,0.06812401883492769,0.2499934029682032,-0.2500065970317965,0.24999340296820352,-0.005607814689552164,0.00023235837809673047,0.0,-0.12954036327304186
2020-01-17,0.0,-0.1365637697889065,0.0,-0.2498667166641148,0.0,-0.24986671666411464,0.24988787825969014,0.0,-0.2498667166641146,-0.11383608021874952,0.0,0.0,0.1492495145694787,0.0,0.24988787825969036,0.2498878782596902,0.10108685065145069
2020-01-20,0.2498720104835296,-0.11336923891067158,0.00025915152819888285,-0.1370728263505702,0.0,0.0002749473706050616,-0.24985264491291945,0.0,0.0,0.0,0.2498720104835296,0.06100034917323865,-0.24985264491291947,0.22551284482192424,0.0,0.21320868613897415,-0.24985264491291947
2020-01-22,0.0001626839835532141,-0.24984746594513246,0.0,0.00012600956175367472,0.0,0.0,-0.24984746594513274,-0.00020656109686789943,0.24985991786390893,-0.24984746594513266,0.2498599178639092,0.24985991786390882,-0.24984746594513274,0.00027163499905672784,-0.00017774159584979692,-0.0002258335267515905,0.2498599178639092
2020-01-23,-0.00010122848780735527,0.24988447153937413,-0.24985373765078,0.0,-0.00010765754529030975,0.0004621138425022312,0.24988447153937463,0.0,0.24988447153937457,-0.00018999532772223586,-0.24985373765077987,0.0,0.24988447153937424,-0.00018616803605934896,-0.2498537376507803,-0.24985373765078034,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.00014325970468925982,0.2498813729925509,0.0,-0.04421577732025798,0.0001353147832842213,0.0,0.2498813729925509,-0.24984811366001836,-0.24984811366001836,-0.20623988169968704,0.0,0.0,-0.24984811366001836,0.0001959335418230291,0.2498813729925509,0.0,0.2498813729925509
