trade_date,V2,Convex_V2_Prior,Convex_Conv_Prior
2020-01-06,-0.01155333714734629,-0.00439151812589435,-0.00439151812589435
2020-01-07,0.013172840122271849,0.0,0.0
2020-01-08,0.007709442635957421,-0.005433957181069211,-0.005104272354377619
2020-01-09,0.019005280491296423,-0.023192221610119766,-0.02324105752456065
2020-01-10,0.000633967948136839,0.0,-0.008375057593316467
2020-01-14,0.0009765615766768512,0.0,-0.0038313275435548568
2020-01-15,0.0008983185780038034,0.0,0.006645246373732924
2020-01-16,0.00603142724144318,0.00499301443454171,0.005064169622391007
2020-01-17,0.01781317573145952,0.0165246393460483,0.016570791883971703
2020-01-20,0.0042860667864380985,0.0022960429132636603,0.0024463993801702704
2020-01-22,0.004699989804414731,0.003212996536542852,0.0031934183609548645
2020-01-23,-0.004772044720297761,-0.008297737665687924,-0.008295539640753642
2020-01-24,-0.018833005612607406,0.0,-0.00683879312033185
2020-01-27,0.008917051517340189,-0.017703444681729005,-0.01724479713169325
2020-01-28,0.004025942318660715,-0.008466962246867922,-0.007991453205859892
2020-01-29,-0.005845066874315177,-0.007048693509958735,-0.007017928334509885
2020-01-30,0.0018204392020724593,0.004418511358976013,0.004693104651978726
2020-01-31,-0.01606969545003993,0.0,0.004025785797732902
2020-02-03,0.018987921074066938,-0.004541690501071916,3.399361739032567e-05
2020-02-04,0.016477137995016718,0.004031271364971866,0.005290256931497162
2020-02-05,0.004800887856392591,-0.0012179919662248684,0.0024789539947208416
2020-02-06,0.012061193672294012,0.008151216618887205,0.008216684891828085
2020-02-07,0.0021169792587074827,0.0011311205430812295,0.0011337235024426805
2020-02-10,-0.00538379511356112,0.006484395075790639,0.0
2020-02-12,-0.001334143225475955,-0.001113969697703819,-0.0007740658482837384
2020-02-13,0.0019209679824666633,-0.0018138798748008503,-0.0018138448058888047
2020-02-14,-0.003081848529690173,-0.0008808788579947797,-0.003993050958983516
2020-02-17,0.012113628790225078,0.00974119754052091,0.009779011488982409
2020-02-19,0.02430942931563155,0.01863889528339422,0.018638585618849693
2020-02-20,0.0019396399120062968,0.0018559760713307738,0.0018560449175001616
2020-02-21,-0.00061847025579262,-0.01571694885362774,-0.01573073828081936
2020-02-25,0.016178093028863215,-0.028304448167412368,-0.028306910617464782
2020-02-26,0.005817135801868692,-0.012898345174370765,-0.012897847268783166
2020-02-27,-0.008193475632631618,-0.015914616317045098,-0.01885512827869945
2020-02-28,0.0036099438129311564,-0.013829351521673798,-0.013804452590934924
2020-03-02,0.03183121280745437,-0.0167454691366297,-0.01674541756821777
2020-03-03,-0.003949705786447346,-0.00026200073063400086,-0.0002640521694880942
2020-03-04,0.025067909907053147,0.015273966621753843,0.01527385204555483
2020-03-05,-0.006268130784198337,-0.013948809588977845,-0.012471614636959765
2020-03-06,0.024974706277486894,-0.03977240622566377,-0.038317331416842244
2020-03-09,0.06432527288554199,-0.061891508801364854,-0.06196328953884994
2020-03-10,0.008687562712643293,0.00026471164649102797,0.00026338779541254325
2020-03-11,-0.01514055838143642,-0.011529048913694299,-0.0115780575301874
2020-03-12,0.04479285512120893,0.012979750999378252,0.01297849113245222
2020-03-13,0.12676574503173235,-0.09688256768667396,-0.09688402421009198
2020-03-16,-0.007597584985809199,-0.009649390215769934,-0.009643331193575825
2020-03-17,0.027700684555132915,-0.0221903072601758,-0.022189998538244313
2020-03-18,-0.023912584016303657,0.06246927114268292,0.06250294548153043
2020-03-19,-0.021371556092320165,0.017234546259461237,0.017236076455499953
2020-03-23,0.012696721311111133,0.006208734275023312,0.006135757455523228
2020-03-24,0.002653337544815425,-0.03134958995298205,-0.031282173748570806
2020-03-25,0.02216156405530186,0.007091757318324423,0.0070887904787224655
2020-03-26,0.03537954243113598,0.04527941286572447,0.04527991283406758
2020-03-27,0.03789433179926544,-0.040740535243847756,-0.04074030082909853
2020-03-30,0.0009061435292899015,-0.024189708900296193,-0.02429669249635635
2020-03-31,-0.014144170139138398,-0.004651439935593509,0.004331900546440586
2020-04-01,0.009248405190205387,0.028579293515722203,0.028531157209994187
2020-04-02,0.008685132740076696,0.0007237456836117575,0.0007234507231364947
2020-04-03,0.06524511890536464,0.08221517439941088,0.0822149410613431
2020-04-06,0.005323236678318394,0.020800650170284086,0.02080123385402842
2020-04-07,0.0035825174848240007,-0.009558074781280856,-0.009558327092779428
2020-04-08,3.4266722498459525e-05,0.011491813540841054,0.011451160134246347
2020-04-09,0.028359970974726673,0.01533341868412165,0.015884759419597085
2020-04-10,-0.0025255150162369036,0.008276660769770372,0.008034800948613264
2020-04-14,0.019510508404142667,0.01703103162495066,0.02349304608277176
2020-04-15,-0.011388980140979652,0.0011063661963700343,0.001150570187175709
2020-04-16,0.013853431005778065,0.015425753216562171,0.006570171219238977
2020-04-17,0.012606810110475621,0.007219067297216725,0.007260984190232429
2020-04-20,-0.008551967087468382,0.0010597909434679174,0.005033629661939509
2020-04-21,0.0020873534617043567,-0.017741055691382138,-0.017766386981814184
2020-04-22,0.003942498055398136,-0.011925713626999922,-0.013282003535842923
2020-04-23,0.014849438060460445,0.021711005568743055,0.02183901145034752
