variant,net_sharpe,gross_sharpe,annualized_net_return,annualized_net_vol,return_risk,total_net_return,max_drawdown,avg_daily_turnover,avg_gross_exposure,total_slippage_cost,total_financing_cost,total_borrow_cost,total_reverse_fee
V2 Baseline,4.816229330031524,5.931995722485418,1.6529169393622074,0.3431973077061487,4.816229330031524,20159.99264114584,-0.06609350115770918,1.2890850877239297,1.7849740932642486,2.2305078749031604,0.16501284246575343,0.05060393835616439,0.321225
Convex (V2 prior),2.440129449269044,3.6188754434952313,0.7498472943511404,0.3072981618150471,2.440129449269044,90.2384025951374,-0.28857973602749254,1.2213721011357106,1.6089810096799928,2.0613425390239177,0.1483953631270323,0.04550791135895657,0.2888763068872895
Convex (convex prior),2.500421775956674,3.7741786162540456,0.7247150548420646,0.2898371234048243,2.5004217759566743,79.3248864727145,-0.29257249585573664,1.1841613206470547,1.6433922633605549,2.077348881272305,0.15196745589260977,0.04660335314040033,0.2958299808042803
