,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2020-01-06,0.24988381305841942,-0.24989186417176223,0.0004647477663180329,0.0,0.0,0.0,0.0,0.2498838130584208,-0.24989186417176223,0.0,0.0,0.2498838130584208,-0.24989186417176223,-0.24989186417176223,0.0,0.2498838130584208,-0.0004325433129508338
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,-0.24985589243332482,-0.0745583306954921,-0.07156749051085934,-0.24985589243332487,-0.0002795239289322019,0.24983385983713657,0.24983385983713635,0.24983385983713643,-0.029725373454813818,0.24983385983713607,0.0006645606514545305,-0.24985589243332493,0.0,0.0,0.0,-0.07430160410992794,0.0
2020-01-09,0.0,0.24987816083814793,0.0,-0.24989182848435712,-0.24989182848435712,-0.0004326860625715714,0.24987816083814793,0.24987816083814793,0.24987816083814793,0.0,0.0,0.0,-0.24989182848435712,-0.24989182848435712,0.0,0.0004873566474083341,0.0
2020-01-10,-0.00019710011070622776,0.24994012707874658,-0.24994889946894483,-0.041562587172162505,-0.10527147129482475,0.00021084600700555222,-0.000514728358869478,0.24965960906859166,0.24994012707874658,-0.24994889946894477,0.24994012707874638,-0.0001483068882988603,-0.24994889946894489,-0.10245910776830358,0.0003091636881632158,0.0,0.0
2020-01-14,-0.24986265139627206,0.10514465895752355,-0.03355162526098401,0.0,-0.11319342260415839,0.24983548933610467,0.2498354893361049,9.445431170325698e-05,0.24983548933610486,-0.24986265139627273,0.14525441872245856,-0.0011271966570137427,0.0,-0.10253980128902618,-0.24986265139627273,0.0,0.0
2020-01-15,0.0,-0.249855279354826,-0.00015699580760231087,-0.00023031532579508628,-0.11269634215377398,0.24971965809077337,-0.13735050864835058,0.2498666395425802,0.24986663954258032,0.0006804232814856458,0.0,-0.249855279354826,0.24986663954258032,0.0,-0.24985527935482596,0.0,0.0
2020-01-16,0.0,0.0,-0.00017447200939964738,-0.24985180411314167,-0.11946927094293887,0.24976635461646832,-0.13727385251107757,0.0,0.2497687572217422,0.000797994543690819,0.2498923860759136,-0.24971974467727362,0.2497745075421851,-0.0007581959750079055,-0.2425458342675543,0.0,-0.00020682550360644626
2020-01-17,0.0,-0.0004948894936604786,0.0,-0.24987627762658499,0.0,-0.24987627762658499,0.2498845599834524,0.0,-0.24987627762658476,-0.24987627762658493,0.0,0.0,0.24988455998345258,0.0,0.24988455998345224,0.2498845599834524,0.0004617600661905901
2020-01-20,0.24987168066917612,-0.0008835525931538687,0.0002406988816422707,-0.24955377222446715,0.0,0.0002903252510430961,-0.24985422506079313,0.0,0.0,0.0,0.24987168066917606,0.11211760516265755,-0.249854225060793,0.13773632869712865,0.0,0.24987168066917617,-0.2498542250607928
2020-01-22,0.0001580914145286052,-0.24984441962963017,0.0,0.00012463911822524558,0.0,0.0,-0.2497514178855999,-0.00023378614515820394,0.24985794757490518,-0.24984441962963033,0.24985794757490512,0.24985794757490518,-0.2498444196296304,0.0002854791676265438,-0.00018412011226309896,-0.0002974169680881045,0.2498579475749043
2020-01-23,0.0,0.24986320764821143,-0.24986838086649374,0.00013649911792019452,-0.00014574219995485245,0.00041067028923425506,0.24986320764821143,0.0,0.24986320764821138,-0.0001971965200392871,-0.24986838086649374,0.0,0.24986320764821143,-0.00018353781403099347,-0.24986838086649374,-0.24986838086649374,0.0
