ticker,open_price,signal,weight,action,etf_amount,quantity
1617.T,45170.0,-0.004725431300264149,0.06737599956380383,BUY,90340.0,2
1618.T,33990.0,0.005091669214977834,0.16914517945179533,BUY,135960.0,4
1619.T,49200.0,-0.03588405957555041,-0.29563128567537217,SELL,246000.0,5
1620.T,39270.0,-0.015057727209259242,0.0,HOLD,0.0,0
1621.T,29700.0,-0.017714579002722664,0.0,HOLD,0.0,0
1622.T,34170.0,-0.026741869192853374,-0.18602867800280357,SELL,136680.0,4
1623.T,70500.0,-0.004732029581539288,0.0,HOLD,0.0,0
1624.T,87750.0,-0.03603601771847975,-0.2974530601107043,SELL,263250.0,3
1625.T,67420.0,-0.0011117367692736746,0.10483744026247387,BUY,67420.0,1
1626.T,44460.0,0.035593424216361136,0.48534226705579314,BUY,400140.0,9
1627.T,11445.0,-0.01987212050758025,-0.10366960009668268,SELL,91560.0,8
1628.T,20600.0,-0.011224815109397213,0.0,HOLD,0.0,0
1629.T,267.3,-0.009109031772802423,0.0,HOLD,0.0,0
1630.T,37150.0,-0.013122526415466074,0.0,HOLD,0.0,0
1631.T,35000.0,0.005492375890228107,0.17329911366613385,BUY,140000.0,4
1632.T,39380.0,-0.00675280611631679,0.0,HOLD,0.0,0
1633.T,50990.0,-0.021002169785116265,-0.11721737611443726,SELL,101980.0,2
