trade_date,linear_return,corrected_return
2016-12-05,0.0070806456136498636,0.0070754730858315976
2016-12-06,0.01151226708117254,0.011553646365266942
2016-12-07,0.020379216034161943,0.020445466381461615
2016-12-08,0.005607639210595206,0.005513035001709587
2016-12-09,0.01314934818839534,0.013533599017026388
2016-12-12,0.012660286119234587,0.012722116829553314
2016-12-13,0.008696818441086033,0.008753020831643865
2016-12-14,0.005851271918232783,0.005903885658205278
2016-12-15,-0.0008707891001888746,-0.0005097968923605657
2016-12-16,0.004945121129022983,0.004930286710147838
2016-12-19,0.01733365408398866,0.017446298537143315
2016-12-20,0.0018793724194394457,0.0018916315825504237
2016-12-21,0.0008031546680246232,0.000903383177027264
2016-12-22,0.0013488947585958777,0.001320590382169561
2016-12-26,0.0077040236130243205,0.0077040236130243205
2016-12-28,0.009223377368684036,0.009429343794297582
2016-12-29,0.006673415852443694,0.007242217108952195
2016-12-30,-0.004540036623216686,-0.004568201161771347
2017-01-04,0.020447241185856477,0.02041528791800912
2017-01-05,0.00862125495716951,0.008605202372382888
2017-01-06,0.009257614346255251,0.00925618513088173
2017-01-10,0.0032408752217259274,0.0032408752217259274
2017-01-11,0.009836828592950504,0.00999380446363381
2017-01-12,0.01162641942152266,0.011754878331143769
2017-01-13,0.004502174181931579,0.0045798234643960305
2017-01-16,0.008576954594427016,0.008669690251221255
2017-01-18,-9.611829728892857e-05,8.167011940986074e-05
2017-01-19,0.004449865531828909,0.004432879836667419
2017-01-20,0.0073219802196538165,0.007306814116664007
2017-01-23,-8.997217661589087e-05,-8.522137520165438e-05
2017-01-24,0.000193347731405716,0.0002273366694663057
2017-01-25,0.010160980313601815,0.010160980313601815
2017-01-26,0.005375809440931219,0.005375809440931219
2017-01-27,0.003967770611066358,0.003967770611066358
2017-01-30,0.00448012262079224,0.0044129373316916225
2017-01-31,0.01038258068481493,0.010385334506194773
2017-02-01,0.01436254875503105,0.01436254875503105
2017-02-02,0.007170684507459759,0.007193712673141865
2017-02-03,0.009645436922628932,0.009733742489762602
2017-02-06,0.016887312560590593,0.017063752251036797
2017-02-07,-0.0032296950378634696,-0.0031809451286512044
2017-02-08,0.018042494346611877,0.01801497234873365
2017-02-09,0.007122342735298182,0.0069716832913962875
2017-02-10,0.017657569911502368,0.017631672249670192
2017-02-13,0.004977468356520965,0.004885378894306453
2017-02-14,0.005649728941671551,0.005582381841845075
2017-02-15,0.00049143968464297,0.0004925717856275989
2017-02-16,0.00044194480398172516,0.0004519185241386425
2017-02-17,0.005670240183093903,0.005689868420941731
2017-02-20,0.011334292518791894,0.011439641815314792
2017-02-22,0.01064455943630891,0.01064455943630891
2017-02-23,0.0028707433361514602,0.002835565482149137
2017-02-24,0.010744975927223677,0.010732611069639391
2017-02-27,0.00880508507572102,0.008799821110359384
2017-02-28,0.0117318728158808,0.011877815172527156
2017-03-01,0.00385664772186247,0.003915004188127838
2017-03-02,0.003439158918026355,0.003441658224176085
2017-03-03,0.007861672481934947,0.008303591946752727
2017-03-06,0.005986764180303799,0.005986764180303799
2017-03-07,-0.0001346861003748912,2.1322806837617927e-05
2017-03-08,0.002218031237020487,0.002344496341846261
2017-03-09,0.0052457452295489185,0.0052157077617182995
2017-03-10,0.010320728049884594,0.010279088070874843
2017-03-13,0.0037943367568786255,0.0037711884073697325
2017-03-14,0.00628566259237337,0.0064458807022202075
2017-03-15,-0.0005594688412790444,-0.0005490962435143712
2017-03-16,0.003483803404674135,0.003469643498488286
2017-03-17,0.009501973922374087,0.00965726073820633
2017-03-21,0.007604300871161699,0.007597180697196898
2017-03-22,0.011200025121139278,0.01123951475719951
2017-03-23,0.007067252823043974,0.007098668677530433
2017-03-24,0.014155126977900688,0.01410615240495369
2017-03-27,0.006448720962063682,0.006448720962063682
2017-03-28,0.008400284204946262,0.008385956530487525
2017-03-29,0.0012271798396059435,0.0012271798396059426
2017-03-30,0.0004241118767697868,0.000487774888713227
