trade_date,linear_return,corrected_return,net_linear,net_corrected
2020-01-06,-0.0072829415348890265,-0.007294367397923901,-0.009282941534889027,-0.0092943673979239
2020-01-07,0.004456178559305326,0.004456178559305326,0.002456178559305326,0.002456178559305326
2020-01-08,0.010006232829933326,0.010098790997910456,0.008006232829933325,0.008098790997910455
2020-01-09,0.014479618350936843,0.014479618350936843,0.012479618350936843,0.012479618350936843
2020-01-10,0.003735915701160728,0.003805408882512146,0.0017359157011607278,0.001805408882512146
2020-01-14,1.6558541305044096e-05,-5.831666677168565e-05,-0.001983441458694956,-0.0020583166667716857
2020-01-15,0.0035323241163752444,0.00361699039370569,0.0015323241163752443,0.00161699039370569
2020-01-16,0.009236416907635875,0.009236416907635875,0.007236416907635875,0.007236416907635875
2020-01-17,0.01540988979518888,0.01547665314682015,0.01340988979518888,0.01347665314682015
2020-01-20,0.001517418519336669,0.0014559289434936736,-0.0004825814806633311,-0.0005440710565063264
2020-01-22,0.003280165002357359,0.0033983674351425732,0.0012801650023573589,0.0013983674351425732
2020-01-23,0.00016509132094321495,0.0002286197824881086,-0.001834908679056785,-0.0017713802175118914
2020-01-24,-0.0026405844892397534,-0.0026978458913744533,-0.004640584489239753,-0.004697845891374453
2020-01-27,0.0071940146264953195,0.007439697232267775,0.0051940146264953194,0.005439697232267775
2020-01-28,0.004854085195144817,0.005141704133363966,0.002854085195144817,0.003141704133363966
2020-01-29,-0.0010892250275908923,-0.0010155525771689097,-0.0030892250275908924,-0.00301555257716891
2020-01-30,0.00420901979123073,0.0044168815181608555,0.00220901979123073,0.0024168815181608554
2020-01-31,0.004759312958658255,0.004785750885800151,0.002759312958658255,0.002785750885800151
2020-02-03,0.010744894072602896,0.01095601842718792,0.008744894072602896,0.00895601842718792
2020-02-04,0.005735917668254669,0.005662070037669512,0.0037359176682546687,0.0036620700376695124
2020-02-05,0.006746175540743459,0.006746175540743459,0.004746175540743459,0.004746175540743459
2020-02-06,0.018098709075162242,0.01827774408475467,0.01609870907516224,0.016277744084754672
2020-02-07,0.0003393056432720394,-0.0001702695675098382,-0.0016606943567279606,-0.0021702695675098384
2020-02-10,-0.004050742354808231,-0.003894058769766125,-0.006050742354808231,-0.005894058769766125
2020-02-12,-0.0012752119897211681,-0.0012949399200316845,-0.003275211989721168,-0.0032949399200316847
2020-02-13,0.003517039141737749,0.0035746294818443983,0.0015170391417377491,0.0015746294818443983
2020-02-14,0.0025176393816563267,0.002474957757302675,0.0005176393816563266,0.0004749577573026748
2020-02-17,0.0062459184371371585,0.00623608725252944,0.0042459184371371585,0.0042360872525294396
2020-02-19,0.01976001867539014,0.020093299808016055,0.017760018675390142,0.018093299808016057
2020-02-20,0.001004191680940734,0.0009708287923368341,-0.0009958083190592661,-0.001029171207663166
2020-02-21,0.01302983955975287,0.012998368421681908,0.01102983955975287,0.010998368421681908
2020-02-25,0.008125801096319817,0.008176002539320772,0.006125801096319817,0.006176002539320772
2020-02-26,0.004425047537651873,0.004574867720545965,0.002425047537651873,0.0025748677205459647
2020-02-27,0.010174427445395949,0.010111059383601049,0.008174427445395949,0.008111059383601049
2020-02-28,0.0057503018187396535,0.005536394914209547,0.0037503018187396535,0.0035363949142095466
2020-03-02,0.0004759360520059765,0.0004759360520059765,-0.0015240639479940235,-0.0015240639479940235
2020-03-03,-0.0020837598884129497,-0.0020837598884129497,-0.00408375988841295,-0.00408375988841295
2020-03-04,0.005232123871170748,0.005232123871170748,0.0032321238711707483,0.0032321238711707483
2020-03-05,0.004438955342227505,0.004395428047250688,0.0024389553422275046,0.0023954280472506875
2020-03-06,0.026379746533977046,0.025416169916464684,0.024379746533977044,0.023416169916464682
2020-03-09,0.039889565194531684,0.03940626589229499,0.03788956519453168,0.03740626589229499
2020-03-10,0.003858056821433686,0.003938480920298159,0.0018580568214336861,0.001938480920298159
2020-03-11,-0.005380364481376664,-0.005380364481376662,-0.007380364481376664,-0.007380364481376662
2020-03-12,0.025844325278958517,0.02631692348562635,0.023844325278958516,0.02431692348562635
2020-03-13,0.04199900125014884,0.04183953376669808,0.03999900125014884,0.039839533766698076
2020-03-16,-0.024326261706219772,-0.024326261706219772,-0.026326261706219774,-0.026326261706219774
2020-03-17,0.002059036559335447,0.00017504073831146362,5.903655933544704e-05,-0.0018249592616885364
2020-03-18,-0.0022989138123039286,-0.0022989138123039286,-0.004298913812303929,-0.004298913812303929
2020-03-19,-0.0003121056406966303,-0.0003148833389406821,-0.0023121056406966304,-0.002314883338940682
2020-03-23,0.006123051202767968,0.006239217871178633,0.004123051202767968,0.004239217871178633
2020-03-24,0.005914555015902644,0.005573188522243767,0.003914555015902644,0.003573188522243767
2020-03-25,0.025065760833810725,0.02509962643171307,0.023065760833810726,0.023099626431713073
2020-03-26,0.033486303439118424,0.033486303439118424,0.03148630343911842,0.03148630343911842
2020-03-27,0.02999806780296762,0.02999806780296762,0.027998067802967617,0.027998067802967617
2020-03-30,0.007814728035979768,0.007814728035979768,0.005814728035979768,0.005814728035979768
2020-03-31,-0.012381717069623918,-0.01241653734420255,-0.014381717069623918,-0.01441653734420255
2020-04-01,0.008938256478989787,0.008887036478066839,0.006938256478989787,0.006887036478066839
2020-04-02,0.004054012263696744,0.003840656340104243,0.002054012263696744,0.001840656340104243
2020-04-03,0.05587789387660162,0.05587789387660162,0.05387789387660162,0.05387789387660162
2020-04-06,-0.004858108221069437,-0.004803131529650605,-0.006858108221069437,-0.006803131529650605
2020-04-07,-0.004694403315472478,-0.004830321873155401,-0.006694403315472478,-0.006830321873155401
2020-04-08,0.0001126646568345626,-0.00018785376819827407,-0.0018873353431654374,-0.002187853768198274
2020-04-09,0.017642740014078083,0.01754849126769809,0.01564274001407808,0.015548491267698089
2020-04-10,-0.003265442528549484,-0.003321889868360862,-0.005265442528549484,-0.005321889868360862
2020-04-14,0.005712478170780778,0.005655163439401575,0.0037124781707807784,0.0036551634394015754
2020-04-15,0.007170423596329014,0.007170423596329014,0.005170423596329014,0.005170423596329014
2020-04-16,0.012949224787937908,0.012883778274376194,0.010949224787937908,0.010883778274376194
2020-04-17,0.00938059599229967,0.009440148046321123,0.00738059599229967,0.007440148046321123
2020-04-20,-0.0031084009602833276,-0.0031554494151626,-0.005108400960283328,-0.0051554494151626
2020-04-21,0.005019706472598372,0.004946626885891651,0.0030197064725983724,0.0029466268858916508
2020-04-22,0.0018570221312027542,0.0017953809622520446,-0.0001429778687972458,-0.00020461903774795544
2020-04-23,-0.009566148542754836,-0.009565616373442602,-0.011566148542754836,-0.011565616373442602
2020-04-24,0.017782657210601294,0.01774547458357479,0.015782657210601292,0.015745474583574788
2020-04-27,0.009412029402328898,0.00932718224116008,0.007412029402328898,0.0073271822411600795
