trade_date,daily_return
2015-01-05,0.0035676313907697004
2015-01-06,0.00022909286358570357
2015-01-07,0.008631755630031593
2015-01-08,0.009296012614504884
2015-01-09,0.0073158923934519456
2015-01-13,0.009458338054231756
2015-01-14,0.010249832861136114
2015-01-15,0.003932594497242247
2015-01-16,-0.003993240574779762
2015-01-19,-0.0014439917657009483
2015-01-21,0.002883107853743557
2015-01-22,0.000573624783032511
2015-01-23,0.003974690064894558
2015-01-26,0.00023399846982701718
2015-01-27,0.009033821936866604
2015-01-28,0.005549616803333411
2015-01-29,0.001128490820750498
2015-01-30,-0.0020202941129969574
2015-02-02,0.005105389209505762
2015-02-03,0.01616982134174056
2015-02-04,0.014901683746148276
2015-02-05,0.0021938701064403952
2015-02-06,0.003115820340337917
2015-02-09,0.005850990328235014
2015-02-10,-0.0029289440109972788
2015-02-12,0.00466053723749731
2015-02-13,0.005299537910987106
2015-02-16,0.009017492048040334
2015-02-18,0.001876574505729599
2015-02-19,0.006855164213752376
2015-02-20,0.0037202182264128077
2015-02-23,0.004165500354433553
2015-02-24,0.004986399060140814
2015-02-25,0.015791442501921507
2015-02-26,0.008294978045599272
2015-02-27,0.0026533006626184895
2015-03-02,0.002877179124304914
2015-03-03,0.008205417965452351
2015-03-04,-0.00021310818049712695
2015-03-05,0.0013964636033268049
2015-03-06,0.006575686584857906
2015-03-09,0.010732081170611075
2015-03-10,0.003921027375502008
2015-03-11,0.005651124513057927
2015-03-12,0.006396142169340584
2015-03-13,0.004161901701809191
2015-03-16,-0.007492768351202348
2015-03-17,0.00923744267161777
2015-03-18,0.006553530240690096
2015-03-19,0.01208021305284064
2015-03-20,0.0057883472568512635
2015-03-23,0.009065306679017001
2015-03-24,0.007225918625935331
2015-03-25,0.0026414509052332213
2015-03-26,0.01099440889818232
2015-03-27,0.0154184241574402
2015-03-30,0.007552402085972512
2015-03-31,0.009747649276057632
2015-04-01,0.0032720671050925076
2015-04-02,0.01832445631857568
2015-04-03,0.00411976158331275
2015-04-07,0.005118865882766016
2015-04-08,0.0029317911412246747
2015-04-09,0.005774817404060064
2015-04-10,0.00618563396464973
2015-04-13,0.005827933129938483
2015-04-14,0.005440282802076095
2015-04-15,0.004445596262907693
2015-04-16,0.010832560471056487
2015-04-17,0.0036223879978491504
2015-04-20,0.013377706047381591
2015-04-21,0.003728209570712481
2015-04-22,-0.0064007830213441775
2015-04-23,0.005195471500657796
2015-04-24,0.0025960616886558244
2015-04-27,-0.005671470850741081
2015-04-28,0.009998219230958267
2015-04-30,0.018519746637064634
2015-05-01,-0.0033276690873338143
2015-05-07,0.0010809595406849391
2015-05-08,0.017875909277709493
2015-05-11,0.015945283769284987
2015-05-12,0.0012871052250012604
2015-05-13,-0.0023529426608109205
2015-05-14,0.0008880133126361049
2015-05-15,0.01230710137148434
2015-05-18,0.017268287630157364
2015-05-19,0.00444759878966177
2015-05-20,0.00848438208840921
2015-05-21,0.0007039685338403775
2015-05-22,0.0019164928396726677
2015-05-25,0.006338321857333695
2015-05-27,-0.004276488038127824
2015-05-28,0.02612498521086777
2015-05-29,0.0016132164406377591
2015-06-01,0.004023983178280282
2015-06-02,0.0039724653351570025
2015-06-03,0.009351270937516896
2015-06-04,0.006043600412765252
2015-06-05,-0.005513417121868713
2015-06-08,0.007926792525145514
2015-06-09,0.015560796441707773
2015-06-10,0.006816248911696155
2015-06-11,0.01891617976603443
2015-06-12,0.0005603060096282236
2015-06-15,0.009172164495034003
2015-06-16,0.008834405865611517
2015-06-17,0.002009585778533776
2015-06-18,0.00945952450932518
2015-06-19,0.019124982284862698
2015-06-22,0.002542622131407069
2015-06-23,0.01215658770820402
2015-06-24,0.007561136334016495
2015-06-25,0.009668087962469351
2015-06-26,0.009196931491815339
2015-06-29,0.03311153614249619
2015-06-30,0.008382770588652236
2015-07-01,0.004398843563692403
2015-07-02,-0.005302551925430261
2015-07-03,0.006601304589306394
2015-07-07,0.017489401650295472
2015-07-08,0.011959242914065468
2015-07-09,0.03843612766240287
2015-07-10,0.008413652343442542
2015-07-13,-0.007722319406256526
2015-07-14,0.013854742593768319
2015-07-15,0.017880860676852274
2015-07-16,0.006624817576779028
2015-07-17,0.004791423412301488
2015-07-21,0.01523321672428578
2015-07-22,0.010068830264510671
2015-07-23,0.007166729895469717
2015-07-24,-2.8529939905649416e-05
2015-07-27,0.009826718644752503
2015-07-28,0.02200633869143705
2015-07-29,0.014813983833062826
2015-07-30,0.010184965551450216
2015-07-31,-0.0031518844050224745
2015-08-03,0.00145685263232978
2015-08-04,0.02120261850524765
2015-08-05,0.0037170376375995503
2015-08-06,0.010016308093343182
2015-08-07,-0.0008159143566311461
2015-08-10,0.010841477258291043
2015-08-11,0.0094314608528157
2015-08-12,0.016131552989663227
2015-08-13,0.00548646069126036
2015-08-14,0.002514894576637258
2015-08-17,0.006137566530515087
2015-08-18,-0.0029862804531460042
2015-08-19,0.010642302108723894
2015-08-20,0.01255425864421113
2015-08-21,0.03654499951449356
2015-08-24,0.026479415407360138
2015-08-25,0.030207967303813057
2015-08-26,-0.005613460947565121
2015-08-27,0.027804887801840723
2015-08-28,0.032600751691705177
2015-08-31,0.010968763017070856
2015-09-01,0.024020389044658655
2015-09-02,0.0356042718150979
2015-09-03,0.008333073980941384
2015-09-04,0.01864002342579154
2015-09-07,0.008740285874227127
2015-09-09,0.04126336157423659
2015-09-10,0.005204810189266284
2015-09-11,0.008684408051902797
2015-09-14,0.013261231750903778
2015-09-15,0.016001415229374056
2015-09-16,0.01140200834407508
2015-09-17,0.003718537782159876
2015-09-18,0.019516154616002493
2015-09-24,0.02938230661853934
2015-09-25,0.015188830824357267
2015-09-28,0.004468161433213196
2015-09-29,0.035942341767123756
2015-09-30,0.009515080388528286
2015-10-01,0.005918297676458602
2015-10-02,0.011494302950276872
2015-10-05,0.017851452862809127
2015-10-06,0.004330580679761912
2015-10-07,0.01009483784346292
2015-10-08,0.011081484034750828
2015-10-09,0.0022504430652407273
2015-10-13,0.006271340142319785
2015-10-14,0.008365948174247052
2015-10-15,0.008140516738637128
2015-10-16,0.007794253455206712
2015-10-19,-0.0002680928056412067
2015-10-20,0.016742128662745714
2015-10-21,0.0005497601431797561
2015-10-22,0.00607991399214987
2015-10-23,0.013024862530411241
2015-10-26,0.012059192029179216
2015-10-27,0.005094376158515056
2015-10-28,0.009335537106477481
2015-10-29,0.004745862527147942
2015-10-30,0.00792360850917963
2015-11-02,0.027218769116722195
2015-11-04,0.009272701276508144
2015-11-05,2.7158420235718402e-05
2015-11-06,0.0044323959798692174
2015-11-09,0.015029344971535073
2015-11-10,0.0007219163812094253
2015-11-11,-0.01559933112519702
2015-11-12,0.008748420613360907
2015-11-13,0.01810447297951717
2015-11-16,0.03871263550696449
2015-11-17,0.008652571970527972
2015-11-18,0.009077049214303719
2015-11-19,0.0166854766027235
2015-11-20,0.003830753827612836
2015-11-24,0.006997798203359708
2015-11-25,0.004262402743680138
2015-11-26,0.011451146712306133
2015-11-30,0.009735002071031878
2015-12-01,0.002251432212250779
2015-12-02,0.004633781565556664
2015-12-03,0.010704057566662728
2015-12-04,0.011985283793197818
2015-12-07,0.015089088529399986
2015-12-08,0.01610807850768884
2015-12-09,0.008090742322828904
2015-12-10,-0.0007775673602164806
2015-12-11,0.0093294434307468
2015-12-14,0.01214175654451976
2015-12-15,0.011941089030732264
2015-12-16,0.0071394652921043175
2015-12-17,0.03335964002291195
2015-12-18,0.02237467935855045
2015-12-21,0.01282947067767419
2015-12-22,0.006448764189687706
2015-12-24,-0.0027156385017340187
2015-12-25,0.012657869784837673
2015-12-29,0.009158111537985151
2015-12-30,0.009451391589480631
2016-01-04,0.015461920083682908
2016-01-05,0.02032743017487616
2016-01-06,0.01294323720766985
2016-01-07,0.016100855556226513
2016-01-08,0.020100353179845078
2016-01-12,0.02689612870222332
2016-01-13,0.01675067165346757
2016-01-14,0.023151692693127064
2016-01-15,0.020941900450249688
2016-01-18,0.025250710087317038
2016-01-20,0.01775790238901102
2016-01-21,0.02815815585092476
2016-01-22,0.028984747042430623
2016-01-25,0.02713539511546778
2016-01-26,0.01061024175778605
2016-01-27,0.016197472533586433
2016-01-28,0.007994464576144254
2016-01-29,0.004843354880858981
2016-02-01,0.0024221869722787868
2016-02-02,0.021963268697166437
2016-02-03,0.009310359699027188
2016-02-04,0.013238488559678862
2016-02-05,0.018385694400543533
2016-02-08,0.035436242550684484
2016-02-09,0.046492083926672284
2016-02-10,0.03603556032771814
2016-02-12,0.03948531032671023
2016-02-15,0.05170501269556979
2016-02-17,0.012177014455688754
2016-02-18,0.011680290565667637
2016-02-19,0.010150476696294432
2016-02-22,0.009977404641626159
2016-02-23,0.013488417170362178
2016-02-24,0.007357176776091803
2016-02-25,0.015441002275596334
2016-02-26,0.01289854770782182
2016-02-29,0.029763515389447978
2016-03-01,0.005425786926794935
2016-03-02,0.02667808929775567
2016-03-03,-0.01535638153160252
2016-03-04,0.005189269925553665
2016-03-07,0.009746629476248578
2016-03-08,0.014571692755435645
2016-03-09,0.004369102206288358
2016-03-10,0.008311536962217
2016-03-11,0.003743905624256276
2016-03-14,0.022202915635370867
2016-03-15,0.011231210904024937
2016-03-16,0.00853610999616151
2016-03-17,0.020065969407492622
2016-03-18,0.011708559168054763
2016-03-22,0.006669625595637291
2016-03-23,0.00723239677716366
2016-03-24,0.011160309911012403
2016-03-25,0.0101025340003342
2016-03-29,0.01427675631501153
2016-03-30,0.005786792373740363
2016-03-31,0.0029062008232122946
2016-04-01,0.031054183540479077
2016-04-04,0.016249701071337268
2016-04-05,0.01751957838134717
2016-04-06,0.0053144066662257836
2016-04-07,0.006543546988694065
2016-04-08,0.017799195956648375
2016-04-11,0.012898605166481959
2016-04-12,0.021249524201306717
2016-04-13,0.012246609579816995
2016-04-14,0.0227239087448709
2016-04-15,0.012864165819078108
2016-04-18,0.010523145631428546
2016-04-19,0.0005794271274553358
2016-04-20,0.021801711286645337
2016-04-21,0.007358756966656438
2016-04-22,0.00292865348156151
2016-04-25,0.00668055792077906
2016-04-26,0.00840531148709235
2016-04-27,0.008273410292344989
2016-04-28,0.02380596150388127
2016-05-02,0.028610041570752948
2016-05-06,0.007056800115905383
2016-05-09,0.013933322807887751
2016-05-10,0.008786929919060625
2016-05-11,0.014115344864698249
2016-05-12,0.017949336229335186
2016-05-13,0.012011920052176809
2016-05-16,0.004855875742696069
2016-05-17,0.010600849517422163
2016-05-18,0.02190975220511563
2016-05-19,0.004258168895264575
2016-05-20,0.0064666068374018264
2016-05-23,0.008696028242520243
2016-05-24,0.0037524486284961256
2016-05-25,0.009994626393712626
2016-05-26,0.004527620493066175
2016-05-27,0.012322695653693198
2016-05-30,0.007407368159285297
2016-06-01,0.010036100305732565
2016-06-02,0.009356524444184604
2016-06-03,0.0035777798684640517
2016-06-06,0.009495108652721677
2016-06-07,0.004666746524662171
2016-06-08,0.008752762465075439
2016-06-09,0.0026201479748173264
2016-06-10,0.00473566424003807
2016-06-13,0.028690561027421044
2016-06-14,0.014978485687753737
2016-06-15,0.007374007263286552
2016-06-16,-0.003793876359896104
2016-06-17,0.013935615742624764
2016-06-20,0.015458444448631571
2016-06-21,0.010548192690143485
2016-06-22,-0.0010082244961227393
2016-06-23,0.021768454254989623
2016-06-24,0.0701550835560831
2016-06-27,0.021247463894903208
2016-06-28,0.02411972289842515
2016-06-29,0.017081455366412025
2016-06-30,0.011505286120464074
2016-07-01,0.020750243048732794
2016-07-04,0.01208945727656703
2016-07-06,0.017319053695765002
2016-07-07,0.014111685243018597
2016-07-08,0.03186178723728072
2016-07-11,0.018651219682137676
2016-07-12,0.012314869206518848
2016-07-13,0.0036888569941398554
2016-07-14,0.0008580128726490284
2016-07-15,0.008167957672110251
2016-07-19,0.012720594679253489
2016-07-20,-0.005545389605547183
2016-07-21,0.00494181915294771
2016-07-22,0.009118764177615191
2016-07-25,0.0033692414179381583
